id,element,useCase,type,component
1,User:Add provider button,Add New Provider,boundary,Provider Profile
2,User:provider information input page,Add New Provider,boundary,Medical services pricing information
3,User:Provider created success message,Add New Provider,boundary,Provider Profile
4,Add provider button:Display provider add page,Add New Provider,boundary,Provider Profile
5,Display provider add page:provider information input page,Add New Provider,boundary,Medical services pricing information
6,create a new provider:Provider,Add New Provider,boundary,Provider Profile
7,Provider created success message:Update provider rating information,Add New Provider,boundary,Rating and review information
8,create a new provider:Provider created success message,Add New Provider,boundary,Provider Profile
9,Update provider rating information:Rating,Add New Provider,boundary,Rating and review information
10,provider information input page:create a new provider,Add New Provider,boundary,Provider Profile
11,stl#User:Add provider button,Add New Provider,Stimulus,undefined
12,stl#User:provider information input page,Add New Provider,Stimulus,undefined
13,stl#User:Provider created success message,Add New Provider,Stimulus,undefined
14,User:Error message for update failure,Edit Consumer Profile,boundary,Medical services pricing information
15,User:User profile page,Edit Consumer Profile,actor,Consumer Profile
16,verify input message:Error message for update failure,Edit Consumer Profile,boundary,Medical services pricing information
17,User profile page:verify input message,Edit Consumer Profile,boundary,Medical services pricing information
18,save udpated profile:profile,Edit Consumer Profile,actor,Consumer Profile
19,verify input message:save udpated profile,Edit Consumer Profile,actor,Consumer Profile
20,stl#User:Error message for update failure,Edit Consumer Profile,Stimulus,undefined
21,stl#User:User profile page,Edit Consumer Profile,Stimulus,undefined
22,User:follow/unfollow button,Follow/unfollow a provider,boundary,followunfollowbutton
23,User:Confirm dialog,Follow/unfollow a provider,actor,Consumer Profile
24,User:Search provide page,Follow/unfollow a provider,boundary,Provider Profile
25,Confirm dialog:Update subscription information,Follow/unfollow a provider,boundary,Rating and review information
26,Popup confirm diagram:Confirm dialog,Follow/unfollow a provider,actor,Consumer Profile
27,Display all provider based on criteria:follow/unfollow button,Follow/unfollow a provider,boundary,followunfollowbutton
28,Display all provider based on criteria:Provider,Follow/unfollow a provider,boundary,Provider Profile
29,Search provide page:Display all provider based on criteria,Follow/unfollow a provider,boundary,Provider Profile
30,Popup confirm diagram:Redirect to search page,Follow/unfollow a provider,control,$help://usecasediagram.htm
31,follow/unfollow button:Popup confirm diagram,Follow/unfollow a provider,control,$help://usecasediagram.htm
32,Redirect to search page:Search provide page,Follow/unfollow a provider,boundary,Provider Profile
33,Update subscription information:Subscription,Follow/unfollow a provider,control,Network Information
34,stl#User:follow/unfollow button,Follow/unfollow a provider,Stimulus,undefined
35,stl#User:Confirm dialog,Follow/unfollow a provider,Stimulus,undefined
36,stl#User:Search provide page,Follow/unfollow a provider,Stimulus,undefined
37,send email including credential:Email Protocol,Login,actor,Consumer Profile
38,User:Forgotten username or password link,Login,boundary,$help://use_case_model_pattern.htm
39,User:Invalid information error message,Login,boundary,Medical services pricing information
40,User:My account page,Login,boundary,Myaccountpage
41,User:Login page,Login,boundary,Myaccountpage
42,Forgotten username or password link:send email including credential,Login,boundary,Medical services pricing information
43,Invalid information error message:redirect to login page,Login,boundary,Myaccountpage
44,verify user information:Invalid information error message,Login,boundary,Medical services pricing information
45,Login page:verify user information,Login,control,Network Information
46,redirect to login page:Login page,Login,boundary,Myaccountpage
47,verify user information:My account page,Login,boundary,Myaccountpage
48,verify user information:user info,Login,boundary,Medical services pricing information
49,stl#User:Forgotten username or password link,Login,Stimulus,undefined
50,stl#User:Invalid information error message,Login,Stimulus,undefined
51,stl#User:My account page,Login,Stimulus,undefined
52,stl#User:Login page,Login,Stimulus,undefined
53,User:check requests button,Maintain the system,boundary,checkrequestsbutton
54,User:request list,Maintain the system,boundary,checkrequestsbutton
55,User:request status is successfully updated.,Maintain the system,boundary,checkrequestsbutton
56,update status of requests:Request,Maintain the system,boundary,checkrequestsbutton
57,load requests:Request,Maintain the system,boundary,checkrequestsbutton
58,check requests button:load requests,Maintain the system,boundary,checkrequestsbutton
59,load requests:request list,Maintain the system,boundary,checkrequestsbutton
60,request list:update status of requests,Maintain the system,boundary,checkrequestsbutton
61,update status of requests:request status is successfully updated.,Maintain the system,boundary,checkrequestsbutton
62,stl#User:check requests button,Maintain the system,Stimulus,undefined
63,stl#User:request list,Maintain the system,Stimulus,undefined
64,stl#User:request status is successfully updated.,Maintain the system,Stimulus,undefined
65,User:Rating input page,Rate a provider,boundary,Rating and review information
66,User:rate button,Rate a provider,boundary,ratebutton
67,User:Search provider page,Rate a provider,boundary,Provider Profile
68,Display all provider based on criteria:Provider,Rate a provider,boundary,Provider Profile
69,Display all provider based on criteria:rate button,Rate a provider,boundary,ratebutton
70,Search provider page:Display all provider based on criteria,Rate a provider,boundary,Provider Profile
71,Display rating input page:Redirect to search page,Rate a provider,control,$help://usecasediagram.htm
72,Display rating input page:Rating input page,Rate a provider,boundary,Rating and review information
73,rate button:Display rating input page,Rate a provider,boundary,Rating and review information
74,Update provider rating information:Rating,Rate a provider,boundary,Rating and review information
75,Rating input page:Update provider rating information,Rate a provider,boundary,Rating and review information
76,Redirect to search page:Search provider page,Rate a provider,boundary,Provider Profile
77,stl#User:Rating input page,Rate a provider,Stimulus,undefined
78,stl#User:rate button,Rate a provider,Stimulus,undefined
79,stl#User:Search provider page,Rate a provider,Stimulus,undefined
80,User:Invalid input message,Search Provider,boundary,Searchcrieteriainputpage
81,User:Search crieteria input page,Search Provider,boundary,Searchcrieteriainputpage
82,User:non matched doctor,Search Provider,boundary,$help://actor.htm
83,update the recognized information into database.:Doctor,Search Provider,boundary,$help://actor.htm
84,retrieve matched doctors from db:Doctor,Search Provider,boundary,$help://actor.htm
85,Invalid input message:OCR read the medical information,Search Provider,boundary,Medical services pricing information
86,retrieve matched doctors from db:Invalid input message,Search Provider,boundary,Searchcrieteriainputpage
87,OCR read the medical information:non matched doctor,Search Provider,boundary,$help://actor.htm
88,OCR read the medical information:update the recognized information into database.,Search Provider,boundary,Rating and review information
89,Search crieteria input page:retrieve matched doctors from db,Search Provider,boundary,Rating and review information
90,retrieve matched doctors from db:non matched doctor,Search Provider,boundary,$help://actor.htm
91,stl#User:Invalid input message,Search Provider,Stimulus,undefined
92,stl#User:Search crieteria input page,Search Provider,Stimulus,undefined
93,stl#User:non matched doctor,Search Provider,Stimulus,undefined
94,User:Share price through picture capture button,Share Price through OCR capture,boundary,Medical services pricing information
95,User:photo list,Share Price through OCR capture,boundary,photolist
96,User:unable to recoginize information from photo,Share Price through OCR capture,boundary,Rating and review information
97,OCR read the medical information:update the recognized information into database.,Share Price through OCR capture,boundary,Rating and review information
98,OCR read the medical information:unable to recoginize information from photo,Share Price through OCR capture,boundary,Rating and review information
99,photo list:OCR read the medical information,Share Price through OCR capture,boundary,Medical services pricing information
100,update the recognized information into database.:Price,Share Price through OCR capture,boundary,Medical services pricing information
101,Share price through picture capture button:load photo from library,Share Price through OCR capture,boundary,photolist
102,load photo from library:photo list,Share Price through OCR capture,boundary,photolist
103,stl#User:Share price through picture capture button,Share Price through OCR capture,Stimulus,undefined
104,stl#User:photo list,Share Price through OCR capture,Stimulus,undefined
105,stl#User:unable to recoginize information from photo,Share Price through OCR capture,Stimulus,undefined
106,User:input information invalid error message,Share Prices,boundary,Medical services pricing information
107,User:Share price button,Share Prices,boundary,Medical services pricing information
108,User:price detail input page,Share Prices,boundary,Medical services pricing information
109,Share price button:diplay price input page,Share Prices,boundary,Medical services pricing information
110,diplay price input page:price detail input page,Share Prices,boundary,Medical services pricing information
111,verify input price information:input information invalid error message,Share Prices,boundary,Medical services pricing information
112,price detail input page:verify input price information,Share Prices,boundary,Medical services pricing information
113,save input price information:profile,Share Prices,actor,Consumer Profile
114,verify input price information:save input price information,Share Prices,boundary,Medical services pricing information
115,stl#User:input information invalid error message,Share Prices,Stimulus,undefined
116,stl#User:Share price button,Share Prices,Stimulus,undefined
117,stl#User:price detail input page,Share Prices,Stimulus,undefined
118,send email including credential:Email Protocol,View Dashboard Page,actor,Consumer Profile
119,User:Feature List,View Dashboard Page,boundary,FeatureList
120,User:Invalid information error message,View Dashboard Page,boundary,Medical services pricing information
121,User:Forgotten username or password link,View Dashboard Page,boundary,$help://use_case_model_pattern.htm
122,User:feature detail,View Dashboard Page,boundary,FeatureList
123,Feature List:redirect to feature page,View Dashboard Page,boundary,FeatureList
124,Forgotten username or password link:send email including credential,View Dashboard Page,boundary,Medical services pricing information
125,Invalid information error message:update feature detail,View Dashboard Page,boundary,FeatureList
126,redirect to feature page:Invalid information error message,View Dashboard Page,boundary,Medical services pricing information
127,update feature detail:feature,View Dashboard Page,boundary,FeatureList
128,feature detail:update feature detail,View Dashboard Page,boundary,FeatureList
129,redirect to feature page:feature detail,View Dashboard Page,boundary,FeatureList
130,stl#User:Feature List,View Dashboard Page,Stimulus,undefined
131,stl#User:Invalid information error message,View Dashboard Page,Stimulus,undefined
132,stl#User:Forgotten username or password link,View Dashboard Page,Stimulus,undefined
133,stl#User:feature detail,View Dashboard Page,Stimulus,undefined
