id,element,useCase,type,component
1,create user information page:Email protocol,Create high-level user,control,Case_email
2,User:user management page,Create high-level user,boundary,Case Manager
3,User:User Management Button,Create high-level user,boundary,Case Manager
4,User:information invalid message,Create high-level user,boundary,Documentation Type
5,User:create user information page,Create high-level user,boundary,Case Manager
6,User:unauthorized error message,Create high-level user,entity,Manager
7,insert user info:User,Create high-level user,entity,Users
8,User Management Button:validate role of user,Create high-level user,control,Limited_User
9,create user information page:validate input information,Create high-level user,boundary,Education Level
10,create user information page:create user information page,Create high-level user,boundary,Case Manager
11,user management page:create user information page,Create high-level user,boundary,Case Manager
12,validate input information:information invalid message,Create high-level user,boundary,Documentation Type
13,validate input information:insert user info,Create high-level user,entity,Users
14,validate role of user:role,Create high-level user,entity,Groups
15,validate role of user:unauthorized error message,Create high-level user,entity,Manager
16,validate role of user:user management page,Create high-level user,boundary,Case Manager
17,stl#User:user management page,Create high-level user,Stimulus,undefined
18,stl#User:User Management Button,Create high-level user,Stimulus,undefined
19,stl#User:information invalid message,Create high-level user,Stimulus,undefined
20,stl#User:create user information page,Create high-level user,Stimulus,undefined
21,stl#User:unauthorized error message,Create high-level user,Stimulus,undefined
