id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:unauthorized error message->User:unauthorized error message,Create high-level user,CTRL;EXTCLL;DM;EI,2,0,2,1,4
2,stl#User:create user information page->User:create user information page->create user information page:validate input information->validate input information:insert user info->insert user info:User,Create high-level user,TRAN_NA,5,1,3.25,4,16.25
3,stl#User:create user information page->User:create user information page->create user information page:validate input information->validate input information:information invalid message,Create high-level user,TRAN_NA,4,0,3.6666666666666665,3,14.666666666666666
4,stl#User:information invalid message->User:information invalid message,Create high-level user,CTRL;EXTCLL;INT,2,0,2,1,4
5,stl#User:User Management Button->User:User Management Button->User Management Button:validate role of user->validate role of user:user management page->user management page:create user information page->create user information page:Email protocol,Create high-level user,TRAN_NA,6,3,4.6,5,27.599999999999998
6,stl#User:User Management Button->User:User Management Button->User Management Button:validate role of user->validate role of user:user management page->user management page:create user information page->create user information page:create user information page->create user information page:validate input information->validate input information:insert user info->insert user info:User,Create high-level user,TRAN_NA,9,3,4.375,8,39.375
7,stl#User:User Management Button->User:User Management Button->User Management Button:validate role of user->validate role of user:user management page->user management page:create user information page->create user information page:create user information page->create user information page:validate input information->validate input information:information invalid message,Create high-level user,TRAN_NA,8,2,4.714285714285714,7,37.714285714285715
8,stl#User:User Management Button->User:User Management Button->User Management Button:validate role of user->validate role of user:unauthorized error message,Create high-level user,TRAN_NA,4,1,3.3333333333333335,3,13.333333333333334
9,stl#User:User Management Button->User:User Management Button->User Management Button:validate role of user->validate role of user:role,Create high-level user,TRAN_NA,4,2,3,3,12
10,stl#User:user management page->User:user management page->user management page:create user information page->create user information page:Email protocol,Create high-level user,TRAN_NA,4,1,5,3,20
11,stl#User:user management page->User:user management page->user management page:create user information page->create user information page:create user information page->create user information page:validate input information->validate input information:insert user info->insert user info:User,Create high-level user,TRAN_NA,7,1,4.5,6,31.5
12,stl#User:user management page->User:user management page->user management page:create user information page->create user information page:create user information page->create user information page:validate input information->validate input information:information invalid message,Create high-level user,TRAN_NA,6,0,5,5,30
