id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#Administrator:user edit page->Administrator:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:display user information->display user information:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information,Activate user,TRAN_NA,9,1,4.5,8,40.5
2,stl#Administrator:user edit page->Administrator:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:User,Activate user,TRAN_NA,5,2,4,4,20
3,stl#Administrator:user edit page->Administrator:user edit page->user edit page:validate input user information->validate input user information:invalid input information error,Activate user,TRAN_NA,4,1,4,3,16
4,stl#Administrator:user management page->Administrator:user management page->user management page:check the status of user->check the status of user:user is already activated error,Activate user,TRAN_NA,4,1,4,3,16
5,stl#Administrator:user management page->Administrator:user management page->user management page:check the status of user->check the status of user:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:display user information->display user information:user information page->user information page:display user edit page,Activate user,TRAN_NA,11,1,4.9,10,53.900000000000006
6,stl#Administrator:user management page->Administrator:user management page->user management page:check the status of user->check the status of user:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:User,Activate user,TRAN_NA,9,2,4.75,8,42.75
7,stl#Administrator:user management page->Administrator:user management page->user management page:check the status of user->check the status of user:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:invalid input information error,Activate user,TRAN_NA,8,1,4.857142857142857,7,38.857142857142854
8,stl#Administrator:user management page->Administrator:user management page->user management page:check the status of user->check the status of user:activtate the user->activtate the user:activation success message,Activate user,TRAN_NA,5,1,4,4,20
9,stl#Administrator:user management page->Administrator:user management page->user management page:check the status of user->check the status of user:activtate the user->activtate the user:User,Activate user,TRAN_NA,5,2,4.25,4,21.25
10,stl#Administrator:user information page->Administrator:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:display user information->display user information:user information page->user information page:display user edit page,Activate user,TRAN_NA,9,0,4.875,8,43.875
11,stl#Administrator:user information page->Administrator:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:User,Activate user,TRAN_NA,7,1,4.666666666666667,6,32.66666666666667
12,stl#Administrator:user information page->Administrator:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:invalid input information error,Activate user,TRAN_NA,6,0,4.8,5,28.799999999999997
13,stl#Administrator:unauthorized error message->Administrator:unauthorized error message,Activate user,CTRL;EXTCLL;DM;EI,2,0,2,1,4
14,stl#Administrator:user is already activated error->Administrator:user is already activated error,Activate user,CTRL;EXTIVK,2,0,2,1,4
15,stl#Administrator:invalid input information error->Administrator:invalid input information error,Activate user,CTRL,2,0,3,1,6
16,stl#Administrator:activation success message->Administrator:activation success message,Activate user,CTRL,2,0,3,1,6
17,stl#Administrator:User management button->Administrator:User management button->User management button:validate role of user->validate role of user:user management page->user management page:check the status of user->check the status of user:user is already activated error,Activate user,TRAN_NA,6,2,4.8,5,28.799999999999997
18,stl#Administrator:User management button->Administrator:User management button->User management button:validate role of user->validate role of user:user management page->user management page:check the status of user->check the status of user:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:display user information->display user information:user information page->user information page:display user edit page,Activate user,TRAN_NA,13,2,5.083333333333333,12,66.08333333333333
19,stl#Administrator:User management button->Administrator:User management button->User management button:validate role of user->validate role of user:user management page->user management page:check the status of user->check the status of user:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:User,Activate user,TRAN_NA,11,3,5,10,55
20,stl#Administrator:User management button->Administrator:User management button->User management button:validate role of user->validate role of user:user management page->user management page:check the status of user->check the status of user:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:invalid input information error,Activate user,TRAN_NA,10,2,5.111111111111111,9,51.11111111111111
21,stl#Administrator:User management button->Administrator:User management button->User management button:validate role of user->validate role of user:user management page->user management page:check the status of user->check the status of user:activtate the user->activtate the user:activation success message,Activate user,TRAN_NA,7,2,4.666666666666667,6,32.66666666666667
22,stl#Administrator:User management button->Administrator:User management button->User management button:validate role of user->validate role of user:user management page->user management page:check the status of user->check the status of user:activtate the user->activtate the user:User,Activate user,TRAN_NA,7,3,4.833333333333333,6,33.83333333333333
23,stl#Administrator:User management button->Administrator:User management button->User management button:validate role of user->validate role of user:unauthorized error message,Activate user,TRAN_NA,4,1,4.666666666666667,3,18.666666666666668
24,stl#Administrator:User management button->Administrator:User management button->User management button:validate role of user->validate role of user:role,Activate user,TRAN_NA,4,2,4.333333333333333,3,17.333333333333332
