id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Invalid modified information->User:Invalid modified information,Manage teams/volunteers/girls,CTRL,2,1,12,1,24
2,stl#User:Save modified information success message->User:Save modified information success message,Manage teams/volunteers/girls,CTRL;EXTCLL;INT,2,1,2,1,4
3,stl#User:Delete information successfully->User:Delete information successfully,Manage teams/volunteers/girls,CTRL,2,0,12,1,24
4,stl#User:manage girls/teams/volunteers page->User:manage girls/teams/volunteers page->manage girls/teams/volunteers page:query girl info->query girl info:query teams info->query teams info:query volunteers info->query volunteers info:Volunteers,Manage teams/volunteers/girls,TRAN_NA,6,2,6.2,5,37.2
5,stl#User:manage girls/teams/volunteers page->User:manage girls/teams/volunteers page->manage girls/teams/volunteers page:query girl info->query girl info:query teams info->query teams info:query volunteers info->query volunteers info:Girls/Teams/Volunteers manage page->Girls/Teams/Volunteers manage page:process input information for girs/teams/volunteers->process input information for girs/teams/volunteers:Save modified information->Save modified information:Volunteers,Manage teams/volunteers/girls,TRAN_NA,9,3,7.25,8,65.25
6,stl#User:manage girls/teams/volunteers page->User:manage girls/teams/volunteers page->manage girls/teams/volunteers page:query girl info->query girl info:query teams info->query teams info:query volunteers info->query volunteers info:Girls/Teams/Volunteers manage page->Girls/Teams/Volunteers manage page:process input information for girs/teams/volunteers->process input information for girs/teams/volunteers:Save modified information->Save modified information:Teams,Manage teams/volunteers/girls,TRAN_NA,9,2,8,8,72
7,stl#User:manage girls/teams/volunteers page->User:manage girls/teams/volunteers page->manage girls/teams/volunteers page:query girl info->query girl info:query teams info->query teams info:query volunteers info->query volunteers info:Girls/Teams/Volunteers manage page->Girls/Teams/Volunteers manage page:process input information for girs/teams/volunteers->process input information for girs/teams/volunteers:Save modified information->Save modified information:Save modified information success message,Manage teams/volunteers/girls,TRAN_NA,9,3,6.75,8,60.75
8,stl#User:manage girls/teams/volunteers page->User:manage girls/teams/volunteers page->manage girls/teams/volunteers page:query girl info->query girl info:query teams info->query teams info:query volunteers info->query volunteers info:Girls/Teams/Volunteers manage page->Girls/Teams/Volunteers manage page:process input information for girs/teams/volunteers->process input information for girs/teams/volunteers:Save modified information->Save modified information:Girl,Manage teams/volunteers/girls,TRAN_NA,9,3,7,8,63
9,stl#User:manage girls/teams/volunteers page->User:manage girls/teams/volunteers page->manage girls/teams/volunteers page:query girl info->query girl info:query teams info->query teams info:query volunteers info->query volunteers info:Girls/Teams/Volunteers manage page->Girls/Teams/Volunteers manage page:process input information for girs/teams/volunteers->process input information for girs/teams/volunteers:Required information missing error message,Manage teams/volunteers/girls,TRAN_NA,8,2,7.428571428571429,7,59.42857142857143
10,stl#User:manage girls/teams/volunteers page->User:manage girls/teams/volunteers page->manage girls/teams/volunteers page:query girl info->query girl info:query teams info->query teams info:query volunteers info->query volunteers info:Girls/Teams/Volunteers manage page->Girls/Teams/Volunteers manage page:process input information for girs/teams/volunteers->process input information for girs/teams/volunteers:Invalid modified information,Manage teams/volunteers/girls,TRAN_NA,8,2,7.428571428571429,7,59.42857142857143
11,stl#User:manage girls/teams/volunteers page->User:manage girls/teams/volunteers page->manage girls/teams/volunteers page:query girl info->query girl info:query teams info->query teams info:query volunteers info->query volunteers info:Girls/Teams/Volunteers manage page->Girls/Teams/Volunteers manage page:Delete girls/volunteers/teams->Delete girls/volunteers/teams:Delete information successfully,Manage teams/volunteers/girls,TRAN_NA,8,2,6.571428571428571,7,52.57142857142857
