id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#User:Data format error message->User:Data format error message,Import data from csv,2,1,0,0,0
2,stl#User:Date import button->User:Date import button->Date import button:Display data import page->Display data import page:Data import page->Data import page:Process data->Process data:Data format error message,Import data from csv,6,4,0,1,0
3,stl#User:Date import button->User:Date import button->Date import button:Display data import page->Display data import page:Data import page->Data import page:Process data->Process data:Save teams data->Save teams data:Invalid input user information,Import data from csv,7,3,2,1,0
4,stl#User:Date import button->User:Date import button->Date import button:Display data import page->Display data import page:Data import page->Data import page:Process data->Process data:Save teams data->Save teams data:User info,Import data from csv,7,3,1,2,0
5,stl#User:Date import button->User:Date import button->Date import button:Display data import page->Display data import page:Data import page->Data import page:Process data->Process data:Save Volunteers data->Save Volunteers data:Invalid input user information,Import data from csv,7,3,2,1,0
6,stl#User:Date import button->User:Date import button->Date import button:Display data import page->Display data import page:Data import page->Data import page:Process data->Process data:Save Volunteers data->Save Volunteers data:User info,Import data from csv,7,3,1,2,0
7,stl#User:Date import button->User:Date import button->Date import button:Display data import page->Display data import page:Data import page->Data import page:Process data->Process data:Save girls data->Save girls data:Invalid input user information,Import data from csv,7,3,2,1,0
8,stl#User:Date import button->User:Date import button->Date import button:Display data import page->Display data import page:Data import page->Data import page:Process data->Process data:Save girls data->Save girls data:User info,Import data from csv,7,3,1,2,0
9,stl#User:Invalid input user information->User:Invalid input user information,Import data from csv,2,0,1,0,0
10,stl#User:Data import page->User:Data import page->Data import page:Process data->Process data:Data format error message,Import data from csv,4,3,0,0,0
11,stl#User:Data import page->User:Data import page->Data import page:Process data->Process data:Save teams data->Save teams data:Invalid input user information,Import data from csv,5,2,2,0,0
12,stl#User:Data import page->User:Data import page->Data import page:Process data->Process data:Save teams data->Save teams data:User info,Import data from csv,5,2,1,1,0
13,stl#User:Data import page->User:Data import page->Data import page:Process data->Process data:Save Volunteers data->Save Volunteers data:Invalid input user information,Import data from csv,5,2,2,0,0
14,stl#User:Data import page->User:Data import page->Data import page:Process data->Process data:Save Volunteers data->Save Volunteers data:User info,Import data from csv,5,2,1,1,0
15,stl#User:Data import page->User:Data import page->Data import page:Process data->Process data:Save girls data->Save girls data:Invalid input user information,Import data from csv,5,2,2,0,0
16,stl#User:Data import page->User:Data import page->Data import page:Process data->Process data:Save girls data->Save girls data:User info,Import data from csv,5,2,1,1,0
