id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#Staff:Attendance page->Staff:Attendance page->Attendance page:display type of attendance for export->display type of attendance for export:attendance,Export attendance,CTRL,4,2,13,3,52
2,stl#Staff:Attendance page->Staff:Attendance page->Attendance page:display type of attendance for export->display type of attendance for export:Types of attendance->Types of attendance:export data to csv file->export data to csv file:Select file location to save->Select file location to save:csv files,Export attendance,CTRL,7,3,8,6,56
3,stl#Staff:Attendance page->Staff:Attendance page->Attendance page:display type of attendance for export->display type of attendance for export:Types of attendance->Types of attendance:export data to csv file->export data to csv file:Select file location to save->Select file location to save:Data export success message,Export attendance,CTRL;EXTCLL;INT,7,2,7.833333333333333,6,54.83333333333333
4,stl#Staff:Types of attendance->Staff:Types of attendance->Types of attendance:export data to csv file->export data to csv file:Select file location to save->Select file location to save:csv files,Export attendance,CTRL,5,1,5.5,4,27.5
5,stl#Staff:Types of attendance->Staff:Types of attendance->Types of attendance:export data to csv file->export data to csv file:Select file location to save->Select file location to save:Data export success message,Export attendance,CTRL;EXTCLL;INT,5,0,5.25,4,26.25
6,stl#Staff:Data export success message->Staff:Data export success message,Export attendance,CTRL;EXTCLL;INT,2,0,3,1,6
7,stl#Admin:Select attendance button->Admin:Select attendance button->Select attendance button:Display attendance page->Display attendance page:attendance,Export attendance,CTRL,4,3,13,3,52
8,stl#Admin:Select attendance button->Admin:Select attendance button->Select attendance button:Display attendance page->Display attendance page:Attendance page->Attendance page:display type of attendance for export->display type of attendance for export:attendance,Export attendance,CTRL,6,5,13,5,78
9,stl#Admin:Select attendance button->Admin:Select attendance button->Select attendance button:Display attendance page->Display attendance page:Attendance page->Attendance page:display type of attendance for export->display type of attendance for export:Types of attendance->Types of attendance:export data to csv file->export data to csv file:Select file location to save->Select file location to save:csv files,Export attendance,CTRL,9,6,9.25,8,83.25
10,stl#Admin:Select attendance button->Admin:Select attendance button->Select attendance button:Display attendance page->Display attendance page:Attendance page->Attendance page:display type of attendance for export->display type of attendance for export:Types of attendance->Types of attendance:export data to csv file->export data to csv file:Select file location to save->Select file location to save:Data export success message,Export attendance,CTRL;EXTCLL;INT,9,5,9.125,8,82.125
11,stl#Admin:Data export success message->Admin:Data export success message,Export attendance,CTRL;EXTCLL;INT,2,0,3,1,6
12,stl#Admin:Attendance page->Admin:Attendance page->Attendance page:display type of attendance for export->display type of attendance for export:attendance,Export attendance,CTRL,4,2,13,3,52
13,stl#Admin:Attendance page->Admin:Attendance page->Attendance page:display type of attendance for export->display type of attendance for export:Types of attendance->Types of attendance:export data to csv file->export data to csv file:Select file location to save->Select file location to save:csv files,Export attendance,CTRL,7,3,8,6,56
14,stl#Admin:Attendance page->Admin:Attendance page->Attendance page:display type of attendance for export->display type of attendance for export:Types of attendance->Types of attendance:export data to csv file->export data to csv file:Select file location to save->Select file location to save:Data export success message,Export attendance,CTRL;EXTCLL;INT,7,2,7.833333333333333,6,54.83333333333333
15,stl#Admin:Types of attendance->Admin:Types of attendance->Types of attendance:export data to csv file->export data to csv file:Select file location to save->Select file location to save:csv files,Export attendance,CTRL,5,1,5.5,4,27.5
16,stl#Admin:Types of attendance->Admin:Types of attendance->Types of attendance:export data to csv file->export data to csv file:Select file location to save->Select file location to save:Data export success message,Export attendance,CTRL;EXTCLL;INT,5,0,5.25,4,26.25
