id,attribute,type,element
1,CreatedBy,EAJava_char__,Girl Attendance
2,CreationTime,EAJava_Date,Girl Attendance
3,GirldID,EAJava_int,Girl Attendance
4,ModificationTime,EAJava_TimeStamp,Girl Attendance
5,ModifiedBy,EAJava_char__,Girl Attendance
6,Presence,EAJava_int,Girl Attendance
7,Session,EAJava_String,Girl Attendance
8,TeamID,EAJava_int,Girl Attendance
9,CreatedBy,EAJava_String,Girl Details
10,DateOfBirth,EAJava_char__,Girl Details
11,FirstName,EAJava_String,Girl Details
12,GirlID,EAJava_int,Girl Details
13,LastName,EAJava_String,Girl Details
14,Medications,EAJava_String,Girl Details
15,ModificationTime,EAJava_Date,Girl Details
16,ModifiedBy,EAJava_String,Girl Details
17,PaymentMode,EAJava_int,Girl Details
18,Phone,EAJava_String,Girl Details
19,SpecialProblems,EAJava_String,Girl Details
20,TeamId,EAJava_String,Girl Details
21,Waiver,EAJava_int,Girl Details
22,Comments,EAJava_String,Girl Details from RacePlanner
23,DateofBirth,EAJava_int,Girl Details from RacePlanner
24,FirstName,EAJava_String,Girl Details from RacePlanner
25,LastName,EAJava_String,Girl Details from RacePlanner
26,Medications,EAJava_String,Girl Details from RacePlanner
27,PaymentMode,EAJava_String,Girl Details from RacePlanner
28,Phone,EAJava_int,Girl Details from RacePlanner
29,SpecialProblems,EAJava_String,Girl Details from RacePlanner
30,TeamName,EAJava_String,Girl Details from RacePlanner
31,Waiver,EAJava_String,Girl Details from RacePlanner
32,Comments,EAJava_String,Paper Forms
33,DateofBirth,EAJava_Date,Paper Forms
34,FirstName,EAJava_String,Paper Forms
35,LastName,EAJava_String,Paper Forms
36,Medications,EAJava_String,Paper Forms
37,PaymentMode,EAJava_char__,Paper Forms
38,Phone,EAJava_int,Paper Forms
39,SpecialProblems,EAJava_String,Paper Forms
40,TeamName,EAJava_String,Paper Forms
41,Waiver,EAJava_String,Paper Forms
42,undefined,EAID_F34AF79F_5267_4f36_A72D_4373D23A5E18,Paper Forms
43,TeamPlanner,EAJava_String,Team Details From RacePlanner
44,Createdby,EAJava_char__,Team Information
45,CreationTime,EAJava_String,Team Information
46,Duration,EAJava_String,Team Information
47,ModificationTime,EAJava_String,Team Information
48,ModifiedBy,EAJava_String,Team Information
49,Name,EAJava_String,Team Information
50,TeamId,EAJava_char__,Team Information
51,CreatedBy,EAJava_char__,User Details
52,CreationTime,EAJava_Date,User Details
53,Email,EAJava_String,User Details
54,ModificationTime,EAJava_Date,User Details
55,Modifiedby,EAJava_char__,User Details
56,Password,EAJava_String,User Details
57,UserID,EAJava_char,User Details
58,UserType,EAJava_String,User Details
59,CreatedBy,EAJava_String,Volunteeer Coach Attendance
60,CreationTime,EAJava_Date,Volunteeer Coach Attendance
61,ModificationTime,EAJava_TimeStamp,Volunteeer Coach Attendance
62,ModifiedBy,EAJava_String,Volunteeer Coach Attendance
63,Presence,EAJava_int,Volunteeer Coach Attendance
64,Session,EAJava_char__,Volunteeer Coach Attendance
65,TeamID,EAJava_char__,Volunteeer Coach Attendance
66,VolunteerID,EAJava_char__,Volunteeer Coach Attendance
67,Email,EAJava_String,Volunteer Coach Details From RacePlanner
68,FirstName,EAJava_String,Volunteer Coach Details From RacePlanner
69,LastName,EAJava_String,Volunteer Coach Details From RacePlanner
70,TeamName,EAJava_String,Volunteer Coach Details From RacePlanner
71,CreatedBy,EAJava_Date,Volunteer Couch Details
72,CreationTime,EAJava_Date,Volunteer Couch Details
73,Email,EAJava_String,Volunteer Couch Details
74,ModificationTime,EAJava_Date,Volunteer Couch Details
75,ModifiedBy,EAJava_char__,Volunteer Couch Details
76,Name,EAJava_String,Volunteer Couch Details
77,Password,EAJava_String,Volunteer Couch Details
78,Phone,EAJava_int,Volunteer Couch Details
79,TeamID,EAJava_String,Volunteer Couch Details
80,VolunteerID,EAJava_char__,Volunteer Couch Details
