id,element,useCase,type,component
1,send reset link by email:Email Protocol,Add users,control,Volunteer Couch Details
2,User:User add page,Add users,entity,User Details
3,User:User add button,Add users,entity,User Details
4,User:save user information success message,Add users,control,Team Information
5,User add button:display user add page,Add users,entity,User Details
6,User add page:save user information,Add users,control,Team Information
7,User add page:send reset link by email,Add users,entity,User Details
8,display user add page:User add page,Add users,entity,User Details
9,save user information:User info,Add users,entity,User Details
10,save user information:save user information success message,Add users,control,Team Information
11,stl#User:User add page,Add users,Stimulus,undefined
12,stl#User:User add button,Add users,Stimulus,undefined
13,stl#User:save user information success message,Add users,Stimulus,undefined
14,User:Delete user info success,Delete users,entity,User Details
15,User:User List,Delete users,entity,User Details
16,User:User info page,Delete users,boundary,Paper Forms
17,Delete user info:Delete user info success,Delete users,entity,User Details
18,Delete user info:User info,Delete users,entity,User Details
19,User info page:Delete user info,Delete users,entity,User Details
20,User List:query user info,Delete users,entity,User Details
21,query user info:User info,Delete users,entity,User Details
22,query user info:User info page,Delete users,boundary,Paper Forms
23,stl#User:Delete user info success,Delete users,Stimulus,undefined
24,stl#User:User List,Delete users,Stimulus,undefined
25,stl#User:User info page,Delete users,Stimulus,undefined
26,Admin:Types of attendance,Export attendance,control,Girl Attendance
27,Admin:Attendance page,Export attendance,control,Girl Attendance
28,Admin:Data export success message,Export attendance,boundary,Dataexportsuccessmessage
29,Admin:Select attendance button,Export attendance,control,Girl Attendance
30,Staff:Data export success message,Export attendance,boundary,Dataexportsuccessmessage
31,Staff:Types of attendance,Export attendance,control,Girl Attendance
32,Staff:Attendance page,Export attendance,control,Girl Attendance
33,Attendance page:display type of attendance for export,Export attendance,control,Girl Attendance
34,Display attendance page:Attendance page,Export attendance,control,Girl Attendance
35,Select file location to save:Data export success message,Export attendance,boundary,Dataexportsuccessmessage
36,Display attendance page:attendance,Export attendance,control,Girl Attendance
37,Select attendance button:Display attendance page,Export attendance,control,Girl Attendance
38,Select file location to save:csv files,Export attendance,control,csvfiles
39,export data to csv file:Select file location to save,Export attendance,control,Team Information
40,Types of attendance:export data to csv file,Export attendance,control,csvfiles
