id,element,useCase,type,component
1,User:Publishes a meeting ,Send Notification,control,Meeting
2,User:Hompage,Send Notification,boundary,Hompage
3,User:Submits a comment to an assigned task,Send Notification,boundary,<<entity>>  Comment  Datastore
4,Adds comment to the minute :sends a Parse Push notification ,Send Notification,control,Status Notification
5,Publishes meeting and sends a Parse Push notification :Adds comment to the minute ,Send Notification,control,Meeting Minute Content
6,Submits a comment to an assigned task:Adds comment to the minute ,Send Notification,control,Meeting Minute Content
7,sends a Parse Push notification :Hompage,Send Notification,boundary,Hompage
8,Publishes a meeting :Publishes meeting and sends a Parse Push notification ,Send Notification,control,Status Notification
9,stl#User:Publishes a meeting ,Send Notification,Stimulus,undefined
10,stl#User:Hompage,Send Notification,Stimulus,undefined
11,stl#User:Submits a comment to an assigned task,Send Notification,Stimulus,undefined
