id,element,useCase,type,component
1,User:Input new information about the product and click Create.,UC11: write comments,control,Medical Create Form
2,User:Homepage,UC11: write comments,control,Homepage
3,User:Click post page,UC11: write comments,control,Homepage
4,Click post page:Redirect vendor to the product Create page.,UC11: write comments,control,Medical Create Form
5,show confirmation page:Homepage,UC11: write comments,control,Homepage
6,Input new information about the product and click Create.:Update the new information in product page ,UC11: write comments,boundary,Buyer Registration Form
7,Redirect vendor to the product Create page.:Update the new information in product page ,UC11: write comments,boundary,Buyer Registration Form
8,Redirect vendor to the product Create page.:show confirmation page,UC11: write comments,control,Homepage
9,Update the new information in product page :show confirmation page,UC11: write comments,control,Homepage
10,show confirmation page:comment db,UC11: write comments,entity,Component
11,stl#User:Input new information about the product and click Create.,UC11: write comments,Stimulus,undefined
12,stl#User:Homepage,UC11: write comments,Stimulus,undefined
13,stl#User:Click post page,UC11: write comments,Stimulus,undefined
