id,element,useCase,type,component
1,User:Enter username and password,Register,boundary,User Error Log
2,User:Homepage,Register,boundary,Homepage
3,User:Click Register,Register,boundary,Shelter
4,User:Receive verification and session data,Register,boundary,User Authentication
5,Click Register:Send the form to Authentication backend to check its valid,Register,control,Sendtheformtobackendtocheckitsvalid
6,Enter username and password:Send the form to Authentication backend to check its valid,Register,control,Sendtheformtobackendtocheckitsvalid
7,show confirmation page:Homepage,Register,boundary,Homepage
8,Receive verification and session data:show confirmation page,Register,control,Shelter Information
9,Send the form to Authentication backend to check its valid:show confirmation page,Register,control,Shelter Information
10,stl#User:Enter username and password,Register,Stimulus,undefined
11,stl#User:Homepage,Register,Stimulus,undefined
12,stl#User:Click Register,Register,Stimulus,undefined
13,stl#User:Receive verification and session data,Register,Stimulus,undefined
