id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,Appointment,0,0,0,0,0,0
2,Appointment Notification,0,0,0,0,0,0
3,Authentication,0,0,0,0,0,0
4,Display,0,0,0,0,0,0
5,Fuppy,0,0,100,0,0,0
6,Google Map API,0,0,0,0,0,0
7,Pet,0,0,0,0,0,0
8,Pet Information,0,0,0,0,0,0
9,PetFinder Interface,0,0,0,0,0,0
10,Search,0,0,0,0,0,0
11,Shelter,0,0,0,0,0,0
12,Shelter Information,0,0,0,0,0,0
13,User,0,0,0,0,0,0
14,User Authentication,0,0,0,0,0,0
15,User Error Log,0,0,0,0,0,0
16,User Profile,0,0,0,0,0,0
17,Sendtheformtobackendtocheckitsvalid,0,0,0,0,0,0
18,Homepage,0,0,0,0,0,0
19,Receivefeedbackandsuccessfulmessage,0,0,0,0,0,0
