id,element,useCase,type,component
1,User:Click on view content ,Play Video for the chapter opened,boundary,chapter view
2,User:opens Go Grrrls App ,Play Video for the chapter opened,boundary,Go Grrrls App
3,User:clicks on specific chapter ,Play Video for the chapter opened,control,Chapter
4,User:user clicks on the play button,Play Video for the chapter opened,boundary,TheuserclicksontheForwardRewindbuttonlistedinthevideowindow
5,User:clicks on Watch more link ,Play Video for the chapter opened,boundary,TheuserclicksontheForwardRewindbuttonlistedinthevideowindow
6,Chapter content is loaded and with watch more link listed :The video is loaded from the YouTube API and is available to watch along with the text in-line,Play Video for the chapter opened,boundary,TheuserclicksontheForwardRewindbuttonlistedinthevideowindow
7,clicks on specific chapter :Chapter content is loaded and with watch more link listed ,Play Video for the chapter opened,boundary,TheuserclicksontheForwardRewindbuttonlistedinthevideowindow
8,Display all the chapters listed:Chapter content is loaded and with watch more link listed ,Play Video for the chapter opened,boundary,TheuserclicksontheForwardRewindbuttonlistedinthevideowindow
9,Click on view content :Display all the chapters listed,Play Video for the chapter opened,control,Chapter
10,Show the home page of the app :Display all the chapters listed,Play Video for the chapter opened,control,Chapter
11,opens Go Grrrls App :Show the home page of the app ,Play Video for the chapter opened,control,Home
12,The video is loaded from the YouTube API and is available to watch along with the text in-line:The video starts playing ,Play Video for the chapter opened,control,Video
13,clicks on Watch more link :The video is loaded from the YouTube API and is available to watch along with the text in-line,Play Video for the chapter opened,boundary,TheuserclicksontheForwardRewindbuttonlistedinthevideowindow
14,user clicks on the play button:The video starts playing ,Play Video for the chapter opened,control,Video
15,stl#User:Click on view content ,Play Video for the chapter opened,Stimulus,undefined
16,stl#User:opens Go Grrrls App ,Play Video for the chapter opened,Stimulus,undefined
17,stl#User:clicks on specific chapter ,Play Video for the chapter opened,Stimulus,undefined
18,stl#User:user clicks on the play button,Play Video for the chapter opened,Stimulus,undefined
19,stl#User:clicks on Watch more link ,Play Video for the chapter opened,Stimulus,undefined
