id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,Main view,0,0,164,0,0,0
2,Quiz controller,0,0,0,0,0,0
3,Quiz view,0,0,0,0,0,1
4,UI View,2,2,4,0,2,0
5,UI Web view,1,1,2,0,1,0
6,Video controller,0,0,0,0,0,0
7,Video view,0,0,0,0,0,1
8,chapter controller,0,0,0,0,0,0
9,chapter view,0,0,164,0,0,1
10,Bill of Rights,0,0,0,0,0,0
11,Chapter,0,0,0,0,0,0
12,Facebook,0,0,0,0,0,0
13,Home,0,0,0,0,0,0
14,Questions,0,0,0,0,0,0
15,Quiz,0,0,0,0,0,0
16,Quiz hint,0,0,0,0,0,0
17,Twitter,0,0,0,0,0,0
18,Video,0,0,0,0,0,0
19,Go Grrrls App,0,0,0,0,0,0
20,Youtube API,0,0,0,0,0,0
21,Video Management,0,0,0,0,0,0
22,ios UI,0,0,0,0,0,0
23,Quiz System,0,0,0,0,0,0
24,Displaywelcomemessage,0,0,0,0,0,0
25,clicksonreadbutton,0,0,0,0,0,0
26,Object1,0,0,0,0,0,0
