id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,$help://use_case_model_pattern.htm,0,0,0,0,0,0
2,$help://usecasediagram.htm,0,0,0,0,0,0
3,$help://actor.htm,0,0,0,0,0,0
4,$help://domain_model_pattern.htm,0,0,0,0,0,0
5,Customer,0,0,0,0,0,0
6,Location,0,0,0,0,0,0
7,Valet,0,0,0,0,0,0
8,Valet Check In,0,0,0,0,0,0
9,Valet Company,0,0,0,0,0,0
10,Valet Company Located IN,0,0,0,0,0,0
11,Valet Request,0,0,0,0,0,0
12,displaydropdown,0,0,0,0,0,0
13,systemerrorwhenconnectingserver,0,0,0,0,0,0
14,GooglePlacesAPI,0,0,0,0,0,0
15,searchforbestmatch,0,0,0,0,0,0
16,paymentpage,0,0,0,0,0,0
17,Emailprotocol,0,0,0,0,0,0
