NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,NI,NE,EXT,ERY,RED,WRT,SWTI,SWTII,SWTIII
1,Add Employee,12,20,0,16,12,3,1,0,0,1,0,2,0,1,10,2,28,3.6818181818181817,22,17,103.0909090909091,0,0,50,12,12,12,12,12,12,12,12.177599999999996,25.6345,20.361100000000004
2,Add location,14,20,0,15,11,3,1,0,0,1,0,2,0,1,12,2,42,4.885714285714286,35,65,205.20000000000002,0,0,68,14,14,14,14,14,14,14,14.207199999999995,68.9862,67.20270000000002
3,Check in as customer,32,32,0,25,3,12,10,0,0,0,0,4,0,0,28,4,49,6.670731707317073,41,7.25,326.8658536585366,0,0,115,32,32,32,32,32,32,32,32.47360000000001,183.1936999999999,101.24959999999997
4,Check in as valet,15,27,0,21,2,6,13,1,0,0,1,3,0,1,12,3,23.666666666666668,4.821428571428571,18.666666666666668,5,114.10714285714286,0,0,52,15,15,15,15,15,15,15,15.221999999999994,49.5296,26.709999999999997
5,Register as Customer,23,32,0,23,14,9,0,0,0,2,0,6,0,2,17,6,18,5.729411764705882,14.166666666666666,3.3333333333333335,103.12941176470588,0,0,82,23,23,23,23,23,23,23,23.340400000000002,88.51890000000003,52.90240000000001
6,Register as Valet,23,32,0,23,11,11,1,0,0,2,0,6,0,2,17,6,18,5.423529411764706,14.166666666666666,1.1666666666666667,97.62352941176471,0,0,85,23,23,23,23,23,23,23,23.340400000000002,90.1889,49.69440000000003
7,Register as Valet Company,23,32,0,23,11,11,1,0,0,2,0,6,0,2,17,6,18,5.423529411764706,14.166666666666666,2.6666666666666665,97.62352941176471,0,0,82,23,23,23,23,23,23,23,23.340400000000002,90.18890000000003,49.694400000000016
8,Remove Employee,15,21,0,16,6,8,2,0,0,1,0,3,0,1,12,3,32,5.283950617283951,27,69,169.08641975308643,0,0,79,15,15,15,15,15,15,15,15.221999999999994,73.6813,85.54450000000001
9,Remove Location,12,17,0,13,4,9,0,0,0,0,0,2,0,0,10,2,29,4.608695652173913,23,35,133.65217391304347,0,0,56,12,12,12,12,12,12,12,12.177599999999996,34.45750000000001,27.829100000000004
10,Request and Pay,10,24,0,18,5,7,6,1,0,0,1,3,0,1,7,3,13,3.793103448275862,9.666666666666666,8,49.310344827586206,0,0,40,10,10,10,10,10,10,10,10.147999999999998,16.793699999999998,15.3485
11,Retrieve and Return Vehicle,26,40,0,31,18,4,9,1,0,3,1,4,0,4,22,4,33,7.632075471698113,26.5,6,251.85849056603772,0,0,91,26,26,26,26,26,26,26,26.384800000000006,130.35520000000002,79.29230000000001
