id,operation,element
1,SystemBoundary,System Boundary
2,SystemSettingPage,System Boundary
3,User,User
4,Hashtagicon,Hashtagicon
5,Showhashtagtextinput,Hashtagicon
6,ConfirmBox,Hashtagicon
7,Showsconfirmprompt,Hashtagicon
8,HeartIcononapicture,Hashtagicon
9,CameraIcon,Hashtagicon
10,FilterIcon,Hashtagicon
11,SearchResult,SearchResult
12,Checkpresenceoftheevent,SearchResult
13,Searchboxofevents,SearchResult
14,Warninginformationofduplicate,Warninginformationofduplicate
15,Showwarningofdeletion,Warninginformationofduplicate
16,Storethelikeinformation,Warninginformationofduplicate
17,galleryapplication,Warninginformationofduplicate
18,DeleteEventButton,DeleteEventButton
19,Event,DeleteEventButton
20,Closewarninganddeleteevent,DeleteEventButton
21,LogoutButton,DeleteEventButton
22,EventandcaptionInput,DeleteEventButton
23,storepictureintheevent,DeleteEventButton
24,retrieveevents,DeleteEventButton
25,RadiusSettingButton,DeleteEventButton
26,AppMainPage,AppMainPage
27,LoginPage,AppMainPage
28,CameraApp,AppMainPage
29,RegisterPage,AppMainPage
30,ImageFilterBox,AppMainPage
31,Optionstopost,Optionstopost
32,showpictureandoptionstopostnearbyortoanevent,Optionstopost
33,retriveuserslocationandpoststhepictureatlocation,Optionstopost
34,Sortingoptions,Optionstopost
35,Picture,Picture
36,showsthepictureandtextboxforcaption,Picture
37,Restorereportedpicture,Picture
38,retrivethelistofpicture,Picture
39,Searchpicturesbyradius,Picture
40,downloadtophone,downloadtophone
41,ConfirmDialog,ConfirmDialog
42,PromptEventUpdateDialog,ConfirmDialog
