NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,NI,NE,EXT,ERY,RED,WRT,SWTI,SWTII,SWTIII
1,Browse Event Pictures,4,16,0,12,4,8,0,0,0,0,0,2,0,0,2,2,12,4.8,10,2,57.599999999999994,0,0,16,4,4,4,4,4,4,4,4.0592,16.607,8.456199999999999
2,Browse Users,4,11,0,8,8,0,0,0,0,1,0,1,0,1,3,1,16,9,12,0,144,0,0,16,4,4,4,4,4,4,4,4.0592,16.562,9.050699999999999
3,Change App Settings,2,8,0,6,0,6,0,0,0,0,0,2,0,0,0,2,5,7,4,1,35,0,0,6,2,2,2,2,2,2,2,2.0296,10.5388,5.0261
4,Create Private Event,8,10,0,8,2,0,6,0,0,1,0,1,0,1,7,1,48,8.4,40,0,403.20000000000005,0,0,32,8,8,8,8,8,8,8,8.1184,51.119600000000005,29.539900000000003
5,Create Public Events,3,8,0,6,2,4,0,0,0,2,0,3,0,2,0,3,3.3333333333333335,2.4285714285714284,2.3333333333333335,0.3333333333333333,8.095238095238095,0,0,11,3,3,3,3,3,3,3,3.0443999999999996,3.2220000000000004,3.5004
6,Delete Event,5,11,0,9,7,0,2,0,0,0,0,0,0,0,5,0,0,3.3636363636363638,0,0,0,0,0,20,5,5,5,5,5,5,5,5.074,10.385299999999997,7.6675
7,Delete Picture,4,9,0,7,5,0,2,0,0,0,0,0,0,0,4,0,0,3.6666666666666665,0,0,0,0,0,14,4,4,4,4,4,4,4,4.0592,11.2564,6.453200000000001
8,Generate Statistics Report,3,7,0,5,5,0,0,0,0,1,0,1,0,1,2,1,10,5,7,0,50,0,0,12,3,3,3,3,3,3,3,3.0443999999999996,6.0321,3.6429
9,Like Picture,3,7,0,5,5,0,0,0,0,1,0,1,0,1,2,1,10,1.7142857142857142,7,0,17.142857142857142,0,0,12,3,3,3,3,3,3,3,3.0443999999999996,3.2220000000000004,3.5004
10,Login,5,9,0,7,4,3,0,0,0,1,0,1,0,1,4,1,19,4,14,2,76,0,0,18,5,5,5,5,5,5,5,5.074,6.7135,6.8694999999999995
11,Logout,1,4,0,3,1,2,0,0,0,0,0,0,0,0,1,0,0,1.6666666666666667,0,0,0,0,0,4,1,1,1,1,1,1,1,1.0148,1.074,1.1668
12,Post Picture,13,24,0,20,10,8,2,0,0,0,0,1,0,0,12,1,100,4.563218390804598,87,24,456.32183908045977,0,0,55,13,13,13,13,13,13,13,13.192399999999996,64.60139999999998,35.1734
13,Register,3,7,0,5,4,0,1,0,0,1,0,1,0,1,2,1,10,2.142857142857143,7,1,21.428571428571427,0,0,11,3,3,3,3,3,3,3,3.0443999999999996,3.2220000000000004,3.5004
14,Report Picture - Submit,3,9,0,7,0,2,5,0,0,0,0,0,0,0,3,0,0,5.75,0,0,0,0,0,11,3,3,3,3,3,3,3,3.0443999999999996,10.0807,7.038399999999999
15,Restore Reported Picture,1,4,0,3,0,2,1,1,0,0,1,1,0,1,0,1,4,1.6666666666666667,3,1,6.666666666666667,0,0,3,1,1,1,1,1,1,1,1.0148,1.074,1.1668
16,Save Picture to Device,3,6,0,5,1,3,1,0,0,0,0,0,0,0,3,0,0,1.7692307692307692,0,0,0,0,0,13,3,3,3,3,3,3,3,3.0443999999999996,5.0954,3.5953999999999997
17,Search Events,3,7,0,5,3,2,0,0,0,3,0,3,0,3,0,3,3.3333333333333335,2.4285714285714284,2.3333333333333335,1,8.095238095238095,0,0,9,3,3,3,3,3,3,3,3.0443999999999996,3.2220000000000004,3.5004
18,Search Pictures,4,11,0,8,2,6,0,0,0,0,0,2,0,0,2,2,8,6.166666666666667,6,3.5,49.333333333333336,0,0,16,4,4,4,4,4,4,4,4.0592,13.0923,8.2527
19,Sort Pictures,5,13,0,9,1,8,0,0,0,0,0,3,0,0,2,3,6,4,4.333333333333333,0.6666666666666666,24,0,0,18,5,5,5,5,5,5,5,5.074,8.5494,6.821999999999999
20,Suspend User - Confirm,5,11,0,8,5,3,0,0,0,1,0,1,0,1,4,1,22,4.9411764705882355,17,2,108.70588235294119,0,0,18,5,5,5,5,5,5,5,5.074,16.148899999999998,8.4655
21,Unlike Picture,3,7,0,5,4,1,0,0,0,1,0,1,0,1,2,1,10,1.7142857142857142,7,5,17.142857142857142,0,0,11,3,3,3,3,3,3,3,3.0443999999999996,3.2220000000000004,3.5004
22,Update Event,7,14,0,11,10,1,0,0,0,0,0,0,0,0,7,0,0,5.555555555555555,0,0,0,0,0,36,7,7,7,7,7,7,7,7.1036,34.673,18.0921
23,View Nearby Pictures,1,4,0,3,1,2,0,0,0,0,0,0,0,0,1,0,0,1.6666666666666667,0,0,0,0,0,4,1,1,1,1,1,1,1,1.0148,1.074,1.1668
24,View Specific Picture,1,4,0,3,0,3,0,0,0,0,0,1,0,0,0,1,4,3,3,2,12,0,0,3,1,1,1,1,1,1,1,1.0148,1.074,1.1668
