id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Sign up Screen->User:Sign up Screen->Sign up Screen:verify email->verify email:verify username->verify username:verify password->verify password:verify confirm password,Create Account,TRAN_NA,6,0,8.8,5,52.800000000000004
2,stl#User:Sign up Screen->User:Sign up Screen->Sign up Screen:verify email->verify email:verify username->verify username:verify password->verify password:Display pop-up "invalid password" on Sign Up Screen->Display pop-up "invalid password" on Sign Up Screen:Sign up Screen->Sign up Screen:verify email,Create Account,TRAN_NA,8,2,8.571428571428571,7,68.57142857142857
3,stl#User:Sign up Screen->User:Sign up Screen->Sign up Screen:verify email->verify email:verify username->verify username:User Collection,Create Account,TRAN_NA,5,0,6.75,4,33.75
4,stl#User:Sign up Screen->User:Sign up Screen->Sign up Screen:verify email->verify email:verify username->verify username:Display pop-up "invalid Useername or Username is already in use" on Sign Up Screen->Display pop-up "invalid Useername or Username is already in use" on Sign Up Screen:Sign up Screen->Sign up Screen:verify email,Create Account,TRAN_NA,7,0,8.5,6,59.5
5,stl#User:Sign up Screen->User:Sign up Screen->Sign up Screen:verify email->verify email:Display pop-up "invalid email or email is already in use" on Sign Up Screen->Display pop-up "invalid email or email is already in use" on Sign Up Screen:Sign up Screen->Sign up Screen:verify email,Create Account,TRAN_NA,6,0,8.4,5,50.400000000000006
6,stl#Actor:Sign up Screen->Actor:Sign up Screen->Sign up Screen:verify email->verify email:verify username->verify username:verify password->verify password:verify confirm password,Create Account,TRAN_NA,6,0,8.8,5,52.800000000000004
7,stl#Actor:Sign up Screen->Actor:Sign up Screen->Sign up Screen:verify email->verify email:verify username->verify username:verify password->verify password:Display pop-up "invalid password" on Sign Up Screen->Display pop-up "invalid password" on Sign Up Screen:Sign up Screen->Sign up Screen:verify email,Create Account,TRAN_NA,8,2,8.571428571428571,7,68.57142857142857
8,stl#Actor:Sign up Screen->Actor:Sign up Screen->Sign up Screen:verify email->verify email:verify username->verify username:User Collection,Create Account,TRAN_NA,5,0,6.75,4,33.75
9,stl#Actor:Sign up Screen->Actor:Sign up Screen->Sign up Screen:verify email->verify email:verify username->verify username:Display pop-up "invalid Useername or Username is already in use" on Sign Up Screen->Display pop-up "invalid Useername or Username is already in use" on Sign Up Screen:Sign up Screen->Sign up Screen:verify email,Create Account,TRAN_NA,7,0,8.5,6,59.5
10,stl#Actor:Sign up Screen->Actor:Sign up Screen->Sign up Screen:verify email->verify email:Display pop-up "invalid email or email is already in use" on Sign Up Screen->Display pop-up "invalid email or email is already in use" on Sign Up Screen:Sign up Screen->Sign up Screen:verify email,Create Account,TRAN_NA,6,0,8.4,5,50.400000000000006
