id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Show Empty Result Page->User:Show Empty Result Page->Show Empty Result Page:Event Collection->Event Collection:Search Result Page->Search Result Page:Search API->Search API:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search,Search by event,TRAN_NA,10,2,7.666666666666667,9,76.66666666666667
2,stl#User:Show Empty Result Page->User:Show Empty Result Page->Show Empty Result Page:Event Collection->Event Collection:Search Result Page->Search Result Page:Search API->Search API:Pop up Server Error Message->Pop up Server Error Message:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text,Search by event,TRAN_NA,11,2,7.2,10,79.2
3,stl#User:Show Empty Result Page->User:Show Empty Result Page->Show Empty Result Page:Event Collection->Event Collection:Search Result Page->Search Result Page:Search API->Search API:Event Collection->Event Collection:Search Result Page,Search by event,TRAN_NA,7,3,5.833333333333333,6,40.83333333333333
4,stl#User:Show Empty Result Page->User:Show Empty Result Page->Show Empty Result Page:Event Collection->Event Collection:Search Result Page->Search Result Page:Search API->Search API:Event Collection->Event Collection:Pop up daabase Error Message->Pop up daabase Error Message:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage,Search by event,TRAN_NA,12,2,7.363636363636363,11,88.36363636363636
5,stl#User:Show Empty Result Page->User:Show Empty Result Page->Show Empty Result Page:Event Collection->Event Collection:Pop up daabase Error Message->Pop up daabase Error Message:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage,Search by event,TRAN_NA,9,0,7.625,8,68.625
6,stl#User:Search Result Page->User:Search Result Page->Search Result Page:Search API->Search API:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search,Search by event,CTRL,8,2,8.571428571428571,7,68.57142857142857
7,stl#User:Search Result Page->User:Search Result Page->Search Result Page:Search API->Search API:Pop up Server Error Message->Pop up Server Error Message:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text,Search by event,TRAN_NA,9,2,7.875,8,70.875
8,stl#User:Search Result Page->User:Search Result Page->Search Result Page:Search API->Search API:Event Collection->Event Collection:Search Result Page->Search Result Page:Search API,Search by event,TRAN_NA,6,4,7.4,5,44.400000000000006
9,stl#User:Search Result Page->User:Search Result Page->Search Result Page:Search API->Search API:Event Collection->Event Collection:Pop up daabase Error Message->Pop up daabase Error Message:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage,Search by event,TRAN_NA,10,2,8,9,80
10,stl#User:Search Event Homepage->User:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text,Search by event,CTRL,6,0,8.6,5,51.599999999999994
11,stl#Actor:Search Event Homepage->Actor:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text,Search by event,CTRL,6,0,8.6,5,51.599999999999994
12,stl#Actor:Show Empty Result Page->Actor:Show Empty Result Page->Show Empty Result Page:Event Collection->Event Collection:Search Result Page->Search Result Page:Search API->Search API:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search,Search by event,TRAN_NA,10,2,7.666666666666667,9,76.66666666666667
13,stl#Actor:Show Empty Result Page->Actor:Show Empty Result Page->Show Empty Result Page:Event Collection->Event Collection:Search Result Page->Search Result Page:Search API->Search API:Pop up Server Error Message->Pop up Server Error Message:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text,Search by event,TRAN_NA,11,2,7.2,10,79.2
14,stl#Actor:Show Empty Result Page->Actor:Show Empty Result Page->Show Empty Result Page:Event Collection->Event Collection:Search Result Page->Search Result Page:Search API->Search API:Event Collection->Event Collection:Search Result Page,Search by event,TRAN_NA,7,3,5.833333333333333,6,40.83333333333333
15,stl#Actor:Show Empty Result Page->Actor:Show Empty Result Page->Show Empty Result Page:Event Collection->Event Collection:Search Result Page->Search Result Page:Search API->Search API:Event Collection->Event Collection:Pop up daabase Error Message->Pop up daabase Error Message:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage,Search by event,TRAN_NA,12,2,7.363636363636363,11,88.36363636363636
16,stl#Actor:Show Empty Result Page->Actor:Show Empty Result Page->Show Empty Result Page:Event Collection->Event Collection:Pop up daabase Error Message->Pop up daabase Error Message:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage,Search by event,TRAN_NA,9,0,7.625,8,68.625
17,stl#Actor:Search Result Page->Actor:Search Result Page->Search Result Page:Search API->Search API:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search,Search by event,CTRL,8,2,8.571428571428571,7,68.57142857142857
18,stl#Actor:Search Result Page->Actor:Search Result Page->Search Result Page:Search API->Search API:Pop up Server Error Message->Pop up Server Error Message:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text,Search by event,TRAN_NA,9,2,7.875,8,70.875
19,stl#Actor:Search Result Page->Actor:Search Result Page->Search Result Page:Search API->Search API:Event Collection->Event Collection:Search Result Page->Search Result Page:Search API,Search by event,TRAN_NA,6,4,7.4,5,44.400000000000006
20,stl#Actor:Search Result Page->Actor:Search Result Page->Search Result Page:Search API->Search API:Event Collection->Event Collection:Pop up daabase Error Message->Pop up daabase Error Message:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage,Search by event,TRAN_NA,10,2,8,9,80
