id,element,useCase,type,component
1,Actor:Create Event Screen,Create a Public Event,boundary,event
2,Create Event Screen:Validate hashtag containts alphanume dash underscore,Create a Public Event,control,Validatehashtaguniqueness
3,Create Event Screen:Handle Validate Error,Create a Public Event,control,Validatehashtaguniqueness
4,User:Create Event Screen,Create a Public Event,boundary,event
5,Validate hashtag uniqueness:Event Collection,Create a Public Event,boundary,event
6,Handle Validate Error:Event Collection,Create a Public Event,boundary,event
7,Validate hashtag containts alphanume dash underscore:Handle Validate Error,Create a Public Event,control,Validatehashtaguniqueness
8,Validate hashtag uniqueness:Handle Validate Error,Create a Public Event,control,Validatehashtaguniqueness
9,Validate hashtag containts alphanume dash underscore:Validate hashtag uniqueness,Create a Public Event,control,Validatehashtaguniqueness
10,stl#Actor:Create Event Screen,Create a Public Event,Stimulus,undefined
11,stl#User:Create Event Screen,Create a Public Event,Stimulus,undefined
