id,element,useCase,type,component
1,Actor:result,Upload photo to my event,control,Result
2,Actor:upload choice,Upload photo to my event,boundary,myupload
3,Actor:my events,Upload photo to my event,boundary,event
4,Actor:confirm,Upload photo to my event,boundary,confirm
5,camera:upload finished,Upload photo to my event,boundary,myupload
6,display my events:camera,Upload photo to my event,boundary,cameraroll
7,can't access server:upload choice,Upload photo to my event,boundary,myupload
8,my event:can't access server,Upload photo to my event,control,User
9,confirm:confirm upload,Upload photo to my event,boundary,confirm
10,User:confirm,Upload photo to my event,boundary,confirm
11,select an event:confirm,Upload photo to my event,boundary,confirm
12,confirm upload:photos in the event,Upload photo to my event,boundary,event
13,display my events:my events,Upload photo to my event,boundary,event
14,my event:display my events,Upload photo to my event,boundary,event
15,failed to upload:result,Upload photo to my event,control,Result
16,photos in the event:failed to upload,Upload photo to my event,boundary,myupload
17,upload to my event:my event,Upload photo to my event,boundary,event
18,my events:select an event,Upload photo to my event,boundary,event
19,User:my events,Upload photo to my event,boundary,event
20,upload finished:photos in the event,Upload photo to my event,boundary,event
21,upload finished:result,Upload photo to my event,control,Result
22,User:result,Upload photo to my event,control,Result
23,upload choice:upload to my event,Upload photo to my event,boundary,myupload
24,User:upload choice,Upload photo to my event,boundary,myupload
25,stl#Actor:result,Upload photo to my event,Stimulus,undefined
26,stl#Actor:upload choice,Upload photo to my event,Stimulus,undefined
27,stl#Actor:my events,Upload photo to my event,Stimulus,undefined
28,stl#Actor:confirm,Upload photo to my event,Stimulus,undefined
29,stl#User:confirm,Upload photo to my event,Stimulus,undefined
30,stl#User:my events,Upload photo to my event,Stimulus,undefined
31,stl#User:result,Upload photo to my event,Stimulus,undefined
32,stl#User:upload choice,Upload photo to my event,Stimulus,undefined
