id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,Admin,0,0,0,0,0,0
2,Check inventory,0,0,0,0,0,0
3,Class1,0,0,0,0,0,0
4,Create and update lesson plans,0,0,0,0,0,0
5,Create lesson plans, update lesson plans, update data, track materials, generate reports,0,0,0,0,0,0
6,Develop new system, provide training manual,0,0,0,0,0,0
7,Developers,0,0,0,0,0,0
8,Enough Materials for Lesson,0,0,0,0,0,0
9,Place order for materials,0,0,0,0,0,0
10,Student workers,0,0,0,0,0,0
11,Take materials from the inventory,0,0,0,0,0,0
12,Track and measure data, measure outcome, track materials,0,0,0,0,0,0
13,Update inventory database,0,0,0,0,0,0
14,Misssion Science Database,0,0,0,0,0,0
15,still save info,0,0,0,0,0,0
