Team. NO.,Semester,PROJ,Type,PREC,FLEX,RESL,TEAM,PMAT,RELY,DATA,CPLX,RUSE,DOCU,TIME,STOR,PVOL,ACAP,PCAP,PCON,APEX,PLEX,LTEX,TOOL,SITE,SCED
1,Fall 2013,f13a_LA_Commons_upgradeof_website,Web,N,N,H,H,H,,,,,,,,,,,,,,,,,
,,,Neighborhood and project page module,,,,,,H,N,L,H,N,N,N,H,H,H,L,N,L,L,N,H,N
,,,Interactive map module,,,,,,N,N,N,H,N,N,N,H,H,H,L,N,L,L,N,H,N
,,,Gallery module,,,,,,N,N,N,H,N,N,N,H,H,H,L,N,L,L,N,H,N
,,,Cosmetic changes module,,,,,,N,N,L,H,N,N,N,H,H,H,L,N,L,L,N,H,N
,,,Social network sharing module,,,,,,N,N,N,H,N,N,N,H,H,H,L,N,N,N,N,H,N
2,Fall 2013,F13a_Cityof_LosAngeles_Personnel_Department_Mobile_Applications,Web,L,N,N,VH,N,,,,,,,,,,,,,,,,,
,,,Component 1 module,,,,,,N,L,L,L,N,VH,N,L,N,N,VH,N,N,N,N,H,
,,,Component 2 module,,,,,,N,L,N,N,N,VH,N,L,N,N,VH,N,N,N,N,H,
5,Fall 2013,S14b_E-LockBox,Web,H,N,N,H,N,,,,,,,,,,,,,,,,,
,,,Module 1,,,,,,N,N,N,N,N,H,N,L,N,N,N,L,N,N,N,H,N
,,,Module 2,,,,,,N,N,N,N,N,H,N,L,N,N,N,L,N,N,N,H,N
,,,Module 3,,,,,,N,N,N,N,N,H,N,L,N,N,N,L,N,N,N,H,N
,,,Module 4,,,,,,H,H,N,N,N,H,H,L,N,N,N,L,N,N,N,H,N
8,Fall 2013,S14b_Lose4Good.org_Database_Driven_Socially_Connected_Website,Web,L,H,N,N,N,,,,,,,,,,,,,,,,,
,,,Profile management module,,,,,,L,N,N,N,N,N,H,L,N,L,VL,L,L,N,N,H,
,,,Donation management,,,,,,H,N,H,N,N,N,H,L,N,L,VL,L,L,N,N,H,
,,,Goal creation and tracking management,,,,,,L,N,N,N,N,N,H,L,N,L,VL,L,L,N,N,H,
,,,Reward management,,,,,,L,N,N,L,N,N,N,L,N,L,VL,L,L,N,N,H,
,,,Marketing management,,,,,,L,N,L,L,N,N,N,L,N,L,VL,L,L,N,N,H,
11,Fall 2013,F13a_Surgery_Assist,Web,N,N,H,H,N,,,,,,,,,,,,,,,,,
,,,Module 1,,,,,,H,L,L,L,N,N,N,L,H,H,VL,N,L,N,L,VH,N
,,,Module 2,,,,,,N,L,L,L,N,N,N,L,H,H,VL,N,L,N,L,VH,N
,,,Module 3,,,,,,H,L,L,L,N,N,N,L,H,H,VL,N,L,N,L,VH,N
,,,Module 4,,,,,,H,L,L,L,N,N,N,L,H,H,VL,N,L,L,L,VH,N
,,,Module 5,,,,,,N,L,L,L,N,N,L,L,H,H,VL,N,L,N,L,VH,N
,,,Module 5.2,,,,,,L,L,L,L,N,N,N,L,H,H,VL,N,L,N,L,VH,N
,,,Module 6,,,,,,L,L,N,L,N,N,N,L,H,H,VL,N,L,N,L,VH,N
13,Fall 2013,F13a_Spherical_Modeling_Tool,Java,L,H,H,VH,H,,,,,,,,,,,,,,,,,
,,,Module 1,,,,,,N,L,N,L,N,N,N,L,H,H,L,L,L,N,L,H,N
,,,Module 2,,,,,,N,L,VH,L,N,N,N,L,H,H,L,L,L,N,L,H,N
,,,Module 3,,,,,,N,L,L,L,N,N,N,L,H,H,L,L,L,N,L,H,N
,,,Module 4,,,,,,N,L,L,L,N,N,N,L,H,H,L,L,L,N,L,H,N
,,,Module 5,,,,,,N,L,H,L,N,N,N,L,H,H,L,L,L,N,L,H,N
9,Fall 2013,F13a_City_of_LosAngeles_Public_Safety_Applicant_Resource_Center,Web,H,N,H,H,N,,,,,,,,,,,,,,,,,
,,,Module 1,,,,,,N,H,H,N,N,H,H,L,H,H,L,N,L,L,L,VH,N
,,,Module 2,,,,,,N,H,H,N,N,H,H,L,H,H,L,N,L,L,L,VH,N
,,,Module 3,,,,,,N,L,H,N,N,H,N,L,H,H,L,N,L,L,L,VH,N
,,,Module 4,,,,,,VH,H,H,N,N,H,H,L,H,H,L,N,L,L,L,VH,N
,,,Module 5,,,,,,N,H,H,N,N,H,H,L,H,H,L,N,L,L,L,VH,N
,,,Module 6,,,,,,L,L,N,N,N,H,N,L,H,H,L,N,L,L,L,VH,N
7,Spring 2014,S14b_ThrdPlace_Social_Networking,Web,N,H,N,H,N,,,,,,,,,,,,,,,,,
,,,Module 1,,,,,,N,L,N,L,N,H,N,L,H,H,N,N,L,N,L,VH,N
,,,Module 2,,,,,,N,H,L,L,N,N,N,L,H,H,N,N,L,N,L,VH,N
,,,Module 3,,,,,,N,H,H,L,N,H,N,L,H,H,N,N,L,N,L,VH,N
10,Spring 2014,S14b_Student_Scheduling_Systemb,Java,H,L,VH,H,VH,,,,,,,,,,,,,,,,,
,,,Data driver entity module,,,,,,L,H,L,L,VL,N,N,L,VH,VH,VH,H,N,H,N,XH,N
,,,Data access module,,,,,,VL,L,L,L,VL,N,N,L,VH,VH,VH,VL,N,H,H,XH,N
,,,Data processing module,,,,,,N,L,N,L,VL,N,N,L,N,VH,VH,H,N,H,VH,XH,N
,,,Scheduling solver module,,,,,,H,H,VH,L,H,XH,N,L,N,VH,VH,H,N,H,VH,XH,N
,,,Student side gui module,,,,,,N,L,H,H,H,N,N,L,H,VH,VH,N,N,H,H,XH,N
,,,Administrative side GUI module,,,,,,N,L,H,H,H,N,N,L,H,VH,VH,N,N,H,H,XH,N
15,Spring 2014,S14b_JEP_Online_Platform,Web,L,H,N,H,L,,,,,,,,,,,,,,,,,
,,,Module- check_in,,,,,,N,L,H,L,N,N,N,L,N,N,N,L,N,N,L,H,N
,,,Module-authentication,,,,,,H,L,N,L,N,N,N,L,N,N,N,L,N,N,L,H,N
