id,transaction,useCase,transactional, TL, DETs, TD, TC, Arch_Diff
1,User:Homepage,Add Employees,CTRL;EXTCLL;INT,2,0,4,1,8
2,User:Catagory page-->Catagory page:Validate values-->Validate values:Update the database-->Update the database:Display update information-->Display update information:Homepage,Add Employees,TRAN_NA,6,1,2.8,5,16.799999999999997
3,User:Catagory page-->Catagory page:Validate values-->Validate values:Update the database-->Update the database:Display update information-->Display update information:Catagory page-->Catagory page:Validate values,Add Employees,TRAN_NA,7,1,2.6666666666666665,6,18.666666666666664
4,User:Product select page-->Product select page:Validate values-->Validate values:Update database-->Update database:Display update confirmation-->Display update confirmation:Homepage,Add New Product,TRAN_NA,6,1,2.8,5,16.799999999999997
5,User:Product select page-->Product select page:Validate values-->Validate values:Update database-->Update database:Display update confirmation-->Display update confirmation:Product select page-->Product select page:Validate values,Add New Product,TRAN_NA,7,0,2.6666666666666665,6,18.666666666666664
6,User:Send Page-->Send Page:Display approval confirmation-->Display approval confirmation:Update database-->Update database:Make report visible-->Make report visible:Display transfer confirmation -->Display transfer confirmation :Employee select page-->Employee select page:Display approval confirmation-->Display approval confirmation:Update database,Approve Timesheets,TRAN_NA,9,3,3.875,8,34.875
7,User:Send Page-->Send Page:Display approval confirmation-->Display approval confirmation:Update database-->Update database:Make report visible-->Make report visible:Display transfer confirmation -->Display transfer confirmation :Homepage,Approve Timesheets,TRAN_NA,7,2,3.8333333333333335,6,26.833333333333336
8,User:Send Page-->Send Page:Display approval confirmation-->Display approval confirmation:Update database,Approve Timesheets,TRAN_NA,4,1,4.333333333333333,3,17.333333333333332
9,User:Employee select page-->Employee select page:Display approval confirmation-->Display approval confirmation:Update database-->Update database:Make report visible-->Make report visible:Display transfer confirmation -->Display transfer confirmation :Employee select page-->Employee select page:Display approval confirmation,Approve Timesheets,TRAN_NA,8,3,3.857142857142857,7,30.857142857142858
10,User:Employee select page-->Employee select page:Display approval confirmation-->Display approval confirmation:Update database-->Update database:Make report visible-->Make report visible:Display transfer confirmation -->Display transfer confirmation :Homepage,Approve Timesheets,TRAN_NA,7,3,3.8333333333333335,6,26.833333333333336
11,User:Employee select page-->Employee select page:Display approval confirmation-->Display approval confirmation:Update database,Approve Timesheets,TRAN_NA,4,2,4.333333333333333,3,17.333333333333332
12,User:Timesheet select page-->Timesheet select page:Validate entries-->Validate entries:Give Saving confirmation-->Give Saving confirmation:Update datebase-->Update datebase:Create APD formate-->Create APD formate:Homepage,Create ADP-compatible file,TRAN_NA,7,3,4,6,28
13,User:Timesheet select page-->Timesheet select page:Validate entries-->Validate entries:Give Saving confirmation-->Give Saving confirmation:Update datebase-->Update datebase:Create APD formate-->Create APD formate:Timesheet select page-->Timesheet select page:Validate entries,Create ADP-compatible file,TRAN_NA,8,3,4,7,32
14,User:ADP format saving page-->ADP format saving page:Update datebase-->Update datebase:Create APD formate-->Create APD formate:Homepage,Create ADP-compatible file,TRAN_NA,5,2,4.25,4,21.25
15,User:ADP format saving page-->ADP format saving page:Update datebase-->Update datebase:Create APD formate-->Create APD formate:Timesheet select page-->Timesheet select page:Validate entries-->Validate entries:Give Saving confirmation-->Give Saving confirmation:Update datebase-->Update datebase:Create APD formate,Create ADP-compatible file,TRAN_NA,9,3,3.875,8,34.875
16,User:Catagory page-->Catagory page:Validate values-->Validate values:Update database-->Update database:Homepage,Create a Transaction,TRAN_NA,5,1,3.5,4,17.5
17,User:Catagory page-->Catagory page:Validate values-->Validate values:Update database-->Update database:Catagory page-->Catagory page:Validate values,Create a Transaction,TRAN_NA,6,0,3.4,5,20.4
18,User:Delete catagory select page-->Delete catagory select page:Validate values-->Validate values:Update the database-->Update the database:Display update confirmation-->Display update confirmation:Homepage,Delete Employees,TRAN_NA,6,1,3,5,18
19,User:Delete catagory select page-->Delete catagory select page:Validate values-->Validate values:Update the database-->Update the database:Display update confirmation-->Display update confirmation:Delete catagory select page-->Delete catagory select page:Validate values,Delete Employees,TRAN_NA,7,1,3,6,21
20,User:Edit catagory select page-->Edit catagory select page:Validate values-->Validate values:Update the database-->Update the database:Display update confirmation-->Display update confirmation:Edit catagory select page-->Edit catagory select page:Validate values,Edit Employees,TRAN_NA,7,1,3,6,21
21,User:Edit catagory select page-->Edit catagory select page:Validate values-->Validate values:Update the database-->Update the database:Display update confirmation-->Display update confirmation:Homepage,Edit Employees,TRAN_NA,6,1,3,5,18
22,User:Product select page-->Product select page:Validate values-->Validate values:Update database-->Update database:Display update information-->Display update information:Product select page-->Product select page:Validate values,Edit Product Information,TRAN_NA,7,1,3,6,21
23,User:Product select page-->Product select page:Validate values-->Validate values:Update database-->Update database:Display update information-->Display update information:Homepage,Edit Product Information,TRAN_NA,6,2,3,5,18
24,User: Product select page--> Product select page:Validate values-->Validate values:Update database-->Update database:Display update information-->Display update information:Homepage,Edit Product Quantity,TRAN_NA,6,2,3,5,18
25,User: Product select page--> Product select page:Validate values-->Validate values:Update database-->Update database:Display update information-->Display update information: Product select page--> Product select page:Validate values,Edit Product Quantity,TRAN_NA,7,1,3,6,21
26,User:Catageory select page-->Catageory select page:Validate values-->Validate values:Update database-->Update database:Display update information-->Display update information:Homepage,Edit Timesheet,TRAN_NA,6,2,3,5,18
