id,operation,element
1,parseRSSfeed,parseRSSfeed
2,RSS,parseRSSfeed
3,Invaliddetailinputmessage,Invaliddetailinputmessage
4,inputthedetailintouserdatabase,Invaliddetailinputmessage
5,displaysuccessmessageandredirecttohomepage,Invaliddetailinputmessage
6,savingsuccessmessage,Invaliddetailinputmessage
7,timeouterrormessage,Invaliddetailinputmessage
8,jobdescriptiondetail,Invaliddetailinputmessage
9,Localstorage,Localstorage
10,redirecttoprofilepage,Localstorage
11,homepage,Localstorage
12,redicttosearchpage,Localstorage
13,UserProfilebutton,UserProfilebutton
14,userdatabase,UserProfilebutton
15,XMLfile,UserProfilebutton
16,storeRSSfeedinXMLfile,UserProfilebutton
17,searchthroughtheuserprofiledatabase,UserProfilebutton
18,subscribebutton,UserProfilebutton
19,searchforjobsbutton,UserProfilebutton
20,redirecttoprofiledetailspage,UserProfilebutton
21,formforinputtinguserinformation,UserProfilebutton
22,viewopenjobsbutton,UserProfilebutton
23,checkifemailidandmodelnumberareexisting,checkifemailidandmodelnumberareexisting
24,senddetailsinanencryptedfashiontosearch,checkifemailidandmodelnumberareexisting
25,joblistingdatabase,checkifemailidandmodelnumberareexisting
26,validateifsearchtermisnonempty,checkifemailidandmodelnumberareexisting
27,Notification,Notification
28,descriptionpage,Notification
29,readexistinginformation,Notification
30,retryrequest,retryrequest
31,retriveRSSfeed,retryrequest
32,searchjobdetailrequest,retryrequest
33,sendrequesttotheserver,retryrequest
34,triggerdownloadthelistofjobstoasubscriber,triggerdownloadthelistofjobstoasubscriber
35,subscribetoajob,triggerdownloadthelistofjobstoasubscriber
36,displaythejobsearchresultinthejobpage,triggerdownloadthelistofjobstoasubscriber
37,redirecttojobdescriptionpage,triggerdownloadthelistofjobstoasubscriber
38,job,job
39,joblistpage,job
40,displayunopenjobs,job
41,jobssearchlist,job
42,redirecttowebsite,redirecttowebsite
43,Applynoewlink,Applynoewlink
