id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Confirmation box-->User:Confirmation box-->Confirmation box:Check user exist or invalid username-->Check user exist or invalid username:Redirect to view market director accounts page-->Redirect to view market director accounts page:View Market Director Accounts Page,view marketing director accounts,TRAN_NA,5,1,8.5,4,42.5
2,stl#User:Confirmation box-->User:Confirmation box-->Confirmation box:Check user exist or invalid username-->Check user exist or invalid username:not exist or invlide username.,view marketing director accounts,CTRL,4,1,5.333333333333333,3,21.333333333333332
3,stl#User:Confirmation box-->User:Confirmation box-->Confirmation box:Cancel-->Cancel:View Market Director Accounts Page,view marketing director accounts,CTRL;EXTCLL;INT,4,1,6,3,24
4,stl#User:not exist or invlide username.-->User:not exist or invlide username.,view marketing director accounts,CTRL,2,0,6,1,12
5,stl#User:View Market Director Accounts Page-->User:View Market Director Accounts Page,view marketing director accounts,CTRL;EXTCLL;INT,2,0,12,1,24
6,stl#User:list of director account records-->User:list of director account records-->list of director account records:Popup Confirmation box-->Popup Confirmation box:Confirmation box-->Confirmation box:Check user exist or invalid username-->Check user exist or invalid username:Redirect to view market director accounts page-->Redirect to view market director accounts page:View Market Director Accounts Page,view marketing director accounts,TRAN_NA,7,3,8.333333333333334,6,58.333333333333336
7,stl#User:list of director account records-->User:list of director account records-->list of director account records:Popup Confirmation box-->Popup Confirmation box:Confirmation box-->Confirmation box:Check user exist or invalid username-->Check user exist or invalid username:not exist or invlide username.,view marketing director accounts,TRAN_NA,6,3,6.4,5,38.400000000000006
8,stl#User:list of director account records-->User:list of director account records-->list of director account records:Popup Confirmation box-->Popup Confirmation box:Confirmation box-->Confirmation box:Cancel-->Cancel:View Market Director Accounts Page,view marketing director accounts,TRAN_NA,6,3,6.8,5,40.8
9,stl#User:list of director account records-->User:list of director account records-->list of director account records:Popup Confirmation box-->Popup Confirmation box:Check user exist or invalid username-->Check user exist or invalid username:Redirect to view market director accounts page-->Redirect to view market director accounts page:View Market Director Accounts Page,view marketing director accounts,TRAN_NA,6,2,9.2,5,55.199999999999996
10,stl#User:list of director account records-->User:list of director account records-->list of director account records:Popup Confirmation box-->Popup Confirmation box:Check user exist or invalid username-->Check user exist or invalid username:not exist or invlide username.,view marketing director accounts,TRAN_NA,5,2,7,4,35
11,stl#User:"Account Management" Page-->User:"Account Management" Page-->"Account Management" Page:REtrieve a list of marketing director account records-->REtrieve a list of marketing director account records:list of director account records-->list of director account records:Popup Confirmation box-->Popup Confirmation box:Confirmation box-->Confirmation box:Check user exist or invalid username-->Check user exist or invalid username:Redirect to view market director accounts page-->Redirect to view market director accounts page:View Market Director Accounts Page,view marketing director accounts,TRAN_NA,9,3,9.25,8,83.25
12,stl#User:"Account Management" Page-->User:"Account Management" Page-->"Account Management" Page:REtrieve a list of marketing director account records-->REtrieve a list of marketing director account records:list of director account records-->list of director account records:Popup Confirmation box-->Popup Confirmation box:Confirmation box-->Confirmation box:Check user exist or invalid username-->Check user exist or invalid username:not exist or invlide username.,view marketing director accounts,TRAN_NA,8,3,8,7,64
13,stl#User:"Account Management" Page-->User:"Account Management" Page-->"Account Management" Page:REtrieve a list of marketing director account records-->REtrieve a list of marketing director account records:list of director account records-->list of director account records:Popup Confirmation box-->Popup Confirmation box:Confirmation box-->Confirmation box:Cancel-->Cancel:View Market Director Accounts Page,view marketing director accounts,TRAN_NA,8,3,8.285714285714286,7,66.28571428571429
14,stl#User:"Account Management" Page-->User:"Account Management" Page-->"Account Management" Page:REtrieve a list of marketing director account records-->REtrieve a list of marketing director account records:list of director account records-->list of director account records:Popup Confirmation box-->Popup Confirmation box:Check user exist or invalid username-->Check user exist or invalid username:Redirect to view market director accounts page-->Redirect to view market director accounts page:View Market Director Accounts Page,view marketing director accounts,TRAN_NA,8,2,10,7,80
15,stl#User:"Account Management" Page-->User:"Account Management" Page-->"Account Management" Page:REtrieve a list of marketing director account records-->REtrieve a list of marketing director account records:list of director account records-->list of director account records:Popup Confirmation box-->Popup Confirmation box:Check user exist or invalid username-->Check user exist or invalid username:not exist or invlide username.,view marketing director accounts,TRAN_NA,7,2,8.666666666666666,6,60.666666666666664
16,stl#User:"Account Management" Page-->User:"Account Management" Page-->"Account Management" Page:REtrieve a list of marketing director account records-->REtrieve a list of marketing director account records:director accounts db,view marketing director accounts,TRAN_NA,4,0,12,3,48
17,stl#User:"Account Management" Page-->User:"Account Management" Page-->"Account Management" Page:REtrieve a list of marketing director account records-->REtrieve a list of marketing director account records:"Account Management" Page-->"Account Management" Page:REtrieve a list of marketing director account records,view marketing director accounts,TRAN_NA,5,0,12,4,60
