id,element,useCase,type,component
1,Timer:idle for 30 or more minutes,create marketing director account,boundary,DeleteButton
2,User:Marketing Director Account form,create marketing director account,boundary,ViewMarketDirectorAccountsPage
3,User:"create account" button,create marketing director account,boundary,DeleteButton
4,User:Username exists message,create marketing director account,control,pdfformatisnotvalidmessage
5,User:username exists message,create marketing director account,control,pdfformatisnotvalidmessage
6,User:View Market Director Accounts Page,create marketing director account,boundary,ViewMarketDirectorAccountsPage
7,"create account" button:Redict to an empty marketing director account form,create marketing director account,boundary,ViewMarketDirectorAccountsPage
8,Redict to an empty marketing director account form:"create account" button,create marketing director account,boundary,DeleteButton
9,Add new marketing director account to db:Redirect to View Market director accounts page,create marketing director account,boundary,ViewMarketDirectorAccountsPage
10,check input format and record redundancy:Add new marketing director account to db,create marketing director account,boundary,ViewMarketDirectorAccountsPage
11,check input format and record redundancy:Check input format and record redundancy,create marketing director account,control,addasubscriberrecorderintothedatabase
12,Redirect to View Market director accounts page:Direct Account DB,create marketing director account,boundary,ViewMarketDirectorAccountsPage
13,Marketing Director Account form:check input format and record redundancy,create marketing director account,control,addasubscriberrecorderintothedatabase
14,Redict to an empty marketing director account form:Marketing Director Account form,create marketing director account,boundary,ViewMarketDirectorAccountsPage
15,Redict to an empty marketing director account form:User Info,create marketing director account,control,User
16,idle for 30 or more minutes:Redict to an empty marketing director account form,create marketing director account,boundary,ViewMarketDirectorAccountsPage
17,Redirect to View Market director accounts page:View Market Director Accounts Page,create marketing director account,boundary,ViewMarketDirectorAccountsPage
18,check input format and record redundancy:Username exists message,create marketing director account,control,pdfformatisnotvalidmessage
19,check input format and record redundancy:username exists message,create marketing director account,control,pdfformatisnotvalidmessage
20,stl#Timer:idle for 30 or more minutes,create marketing director account,Stimulus,undefined
21,stl#User:Marketing Director Account form,create marketing director account,Stimulus,undefined
22,stl#User:"create account" button,create marketing director account,Stimulus,undefined
23,stl#User:Username exists message,create marketing director account,Stimulus,undefined
24,stl#User:username exists message,create marketing director account,Stimulus,undefined
25,stl#User:View Market Director Accounts Page,create marketing director account,Stimulus,undefined
