id,element,attributeNum,operationNum,instanceVarNum,externalOperNum,parameterNum,weightedOperNum,numberOfDerivedClasses,numberOfChildren,numberOfClassesInherited,depthInheritanceTree,numberOfDerivingClasses,isTopLevelClass,numberOfClassesInheritedFrom,numberOfInheritanceRelationships,numberOfAssociatedClasses,numberOfAssociatingClasses,numberOfAssociationRelationships,numberOfUsedClasses,numberOfUsingClasses,numberOfUsageRelationships,couplingBetweenObjects
1,Cancel,0,1,0,0,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
2,DeleteButton,0,8,0,0,0,2.4,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
3,pdfformatisnotvalidmessage,0,13,0,0,0,3.899999999999999,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
4,Confirmbox,0,2,0,0,0,0.6,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
5,User,0,5,0,0,0,1.5,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
6,Object1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
7,addasubscriberrecorderintothedatabase,0,5,0,0,0,1.5,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
8,uploadfile,0,5,0,0,0,1.5,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
9,microwebsiteform,0,5,0,0,0,1.5,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
10,ViewMarketDirectorAccountsPage,0,5,0,0,0,1.5,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
