id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#Supervisor:Manage individualss page with list of individual details-->Supervisor:Manage individualss page with list of individual details-->Manage individualss page with list of individual details:Redirects to the individual resend OTP page-->Redirects to the individual resend OTP page:Username and password db,Resent one time pass email,TRAN_NA,4,1,9.666666666666666,3,38.666666666666664
2,stl#Supervisor:Manage individualss page with list of individual details-->Supervisor:Manage individualss page with list of individual details-->Manage individualss page with list of individual details:Redirects to the individual resend OTP page-->Redirects to the individual resend OTP page:"Resend OTP" Page-->"Resend OTP" Page:Redirects to the manage individuals page,Resent one time pass email,TRAN_NA,5,1,11,4,55
3,stl#Supervisor:Manage individualss page with list of individual details-->Supervisor:Manage individualss page with list of individual details-->Manage individualss page with list of individual details:Redirects to the individual resend OTP page-->Redirects to the individual resend OTP page:"Resend OTP" Page-->"Resend OTP" Page:Redirect to the manage individuals page-->Redirect to the manage individuals page:Manage Individuals Page,Resent one time pass email,TRAN_NA,6,1,11.6,5,69.6
4,stl#Supervisor:Manage individualss page with list of individual details-->Supervisor:Manage individualss page with list of individual details-->Manage individualss page with list of individual details:Redirects to the individual resend OTP page-->Redirects to the individual resend OTP page:"Resend OTP" Page-->"Resend OTP" Page:clears device ID of volunteer-->clears device ID of volunteer:volunteer info database,Resent one time pass email,TRAN_NA,6,1,6.8,5,40.8
5,stl#Supervisor:Manage individualss page with list of individual details-->Supervisor:Manage individualss page with list of individual details-->Manage individualss page with list of individual details:Redirects to the individual resend OTP page-->Redirects to the individual resend OTP page:"Resend OTP" Page-->"Resend OTP" Page:clears device ID of volunteer-->clears device ID of volunteer:sends OTP to volunteer's email ID-->sends OTP to volunteer's email ID:Redirect to the manage individuals page-->Redirect to the manage individuals page:Manage Individuals Page,Resent one time pass email,TRAN_NA,8,1,9.142857142857142,7,73.14285714285714
6,stl#Supervisor:"manage individuals" button-->Supervisor:"manage individuals" button-->"manage individuals" button:Redirects tot he manage individual page with list of individual details-->Redirects tot he manage individual page with list of individual details:Manage individualss page with list of individual details-->Manage individualss page with list of individual details:Redirects to the individual resend OTP page-->Redirects to the individual resend OTP page:Username and password db,Resent one time pass email,TRAN_NA,6,1,11.4,5,68.4
7,stl#Supervisor:"manage individuals" button-->Supervisor:"manage individuals" button-->"manage individuals" button:Redirects tot he manage individual page with list of individual details-->Redirects tot he manage individual page with list of individual details:Manage individualss page with list of individual details-->Manage individualss page with list of individual details:Redirects to the individual resend OTP page-->Redirects to the individual resend OTP page:"Resend OTP" Page-->"Resend OTP" Page:Redirects to the manage individuals page,Resent one time pass email,TRAN_NA,7,1,12,6,84
8,stl#Supervisor:"manage individuals" button-->Supervisor:"manage individuals" button-->"manage individuals" button:Redirects tot he manage individual page with list of individual details-->Redirects tot he manage individual page with list of individual details:Manage individualss page with list of individual details-->Manage individualss page with list of individual details:Redirects to the individual resend OTP page-->Redirects to the individual resend OTP page:"Resend OTP" Page-->"Resend OTP" Page:Redirect to the manage individuals page-->Redirect to the manage individuals page:Manage Individuals Page,Resent one time pass email,TRAN_NA,8,1,12.285714285714286,7,98.28571428571429
9,stl#Supervisor:"manage individuals" button-->Supervisor:"manage individuals" button-->"manage individuals" button:Redirects tot he manage individual page with list of individual details-->Redirects tot he manage individual page with list of individual details:Manage individualss page with list of individual details-->Manage individualss page with list of individual details:Redirects to the individual resend OTP page-->Redirects to the individual resend OTP page:"Resend OTP" Page-->"Resend OTP" Page:clears device ID of volunteer-->clears device ID of volunteer:volunteer info database,Resent one time pass email,TRAN_NA,8,1,8.857142857142858,7,70.85714285714286
10,stl#Supervisor:"manage individuals" button-->Supervisor:"manage individuals" button-->"manage individuals" button:Redirects tot he manage individual page with list of individual details-->Redirects tot he manage individual page with list of individual details:Manage individualss page with list of individual details-->Manage individualss page with list of individual details:Redirects to the individual resend OTP page-->Redirects to the individual resend OTP page:"Resend OTP" Page-->"Resend OTP" Page:clears device ID of volunteer-->clears device ID of volunteer:sends OTP to volunteer's email ID-->sends OTP to volunteer's email ID:Redirect to the manage individuals page-->Redirect to the manage individuals page:Manage Individuals Page,Resent one time pass email,TRAN_NA,10,1,10.222222222222221,9,102.22222222222221
11,stl#Supervisor:Manage Individuals Page-->Supervisor:Manage Individuals Page,Resent one time pass email,CTRL;EXTCLL;INT,2,0,14,1,28
12,stl#Supervisor:"Resend OTP" Page-->Supervisor:"Resend OTP" Page-->"Resend OTP" Page:Redirects to the manage individuals page,Resent one time pass email,TRAN_NA,3,0,8,2,24
13,stl#Supervisor:"Resend OTP" Page-->Supervisor:"Resend OTP" Page-->"Resend OTP" Page:Redirect to the manage individuals page-->Redirect to the manage individuals page:Manage Individuals Page,Resent one time pass email,TRAN_NA,4,0,10,3,40
14,stl#Supervisor:"Resend OTP" Page-->Supervisor:"Resend OTP" Page-->"Resend OTP" Page:clears device ID of volunteer-->clears device ID of volunteer:volunteer info database,Resent one time pass email,TRAN_NA,4,0,2,3,8
15,stl#Supervisor:"Resend OTP" Page-->Supervisor:"Resend OTP" Page-->"Resend OTP" Page:clears device ID of volunteer-->clears device ID of volunteer:sends OTP to volunteer's email ID-->sends OTP to volunteer's email ID:Redirect to the manage individuals page-->Redirect to the manage individuals page:Manage Individuals Page,Resent one time pass email,TRAN_NA,6,0,7.2,5,43.2
