id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#Supervisor:Delete Page-->Supervisor:Delete Page,Manage individuals in the database,2,1,0,0,0
2,stl#Supervisor:Update individual's record-->Supervisor:Update individual's record-->Update individual's record:Individual records,Manage individuals in the database,3,2,0,0,0
3,stl#Supervisor:Update individual's record-->Supervisor:Update individual's record-->Update individual's record:Redirects to the manage individuals page-->Redirects to the manage individuals page:Management Individuals Page,Manage individuals in the database,4,3,0,0,0
4,stl#Supervisor:Individual details page-->Supervisor:Individual details page-->Individual details page:Redirects to the update individual form page-->Redirects to the update individual form page:Update Individual Form Page-->Update Individual Form Page:Redirect to delete page-->Redirect to delete page:Delete Page,Manage individuals in the database,6,5,0,0,0
5,stl#Supervisor:Individual details page-->Supervisor:Individual details page-->Individual details page:Redirects to the update individual form page-->Redirects to the update individual form page:Update Individual Form Page-->Update Individual Form Page:Update individual's record-->Update individual's record:Individual records,Manage individuals in the database,6,5,0,0,0
6,stl#Supervisor:Individual details page-->Supervisor:Individual details page-->Individual details page:Redirects to the update individual form page-->Redirects to the update individual form page:Update Individual Form Page-->Update Individual Form Page:Update individual's record-->Update individual's record:Redirects to the manage individuals page-->Redirects to the manage individuals page:Management Individuals Page,Manage individuals in the database,7,6,0,0,0
7,stl#Supervisor:Individual details page-->Supervisor:Individual details page-->Individual details page:Redirects to the update individual form page-->Redirects to the update individual form page:Validates input-->Validates input:Update individual's record-->Update individual's record:Individual records,Manage individuals in the database,6,4,1,0,0
8,stl#Supervisor:Individual details page-->Supervisor:Individual details page-->Individual details page:Redirects to the update individual form page-->Redirects to the update individual form page:Validates input-->Validates input:Update individual's record-->Update individual's record:Redirects to the manage individuals page-->Redirects to the manage individuals page:Management Individuals Page,Manage individuals in the database,7,5,1,0,0
9,stl#Supervisor:"manage individuals" button-->Supervisor:"manage individuals" button-->"manage individuals" button:Redirects to the management individusal page-->Redirects to the management individusal page:Individual details page-->Individual details page:Redirects to the update individual form page-->Redirects to the update individual form page:Update Individual Form Page-->Update Individual Form Page:Redirect to delete page-->Redirect to delete page:Delete Page,Manage individuals in the database,8,7,0,0,0
10,stl#Supervisor:"manage individuals" button-->Supervisor:"manage individuals" button-->"manage individuals" button:Redirects to the management individusal page-->Redirects to the management individusal page:Individual details page-->Individual details page:Redirects to the update individual form page-->Redirects to the update individual form page:Update Individual Form Page-->Update Individual Form Page:Update individual's record-->Update individual's record:Individual records,Manage individuals in the database,8,7,0,0,0
11,stl#Supervisor:"manage individuals" button-->Supervisor:"manage individuals" button-->"manage individuals" button:Redirects to the management individusal page-->Redirects to the management individusal page:Individual details page-->Individual details page:Redirects to the update individual form page-->Redirects to the update individual form page:Update Individual Form Page-->Update Individual Form Page:Update individual's record-->Update individual's record:Redirects to the manage individuals page-->Redirects to the manage individuals page:Management Individuals Page,Manage individuals in the database,9,8,0,0,0
12,stl#Supervisor:"manage individuals" button-->Supervisor:"manage individuals" button-->"manage individuals" button:Redirects to the management individusal page-->Redirects to the management individusal page:Individual details page-->Individual details page:Redirects to the update individual form page-->Redirects to the update individual form page:Validates input-->Validates input:Update individual's record-->Update individual's record:Individual records,Manage individuals in the database,8,6,1,0,0
13,stl#Supervisor:"manage individuals" button-->Supervisor:"manage individuals" button-->"manage individuals" button:Redirects to the management individusal page-->Redirects to the management individusal page:Individual details page-->Individual details page:Redirects to the update individual form page-->Redirects to the update individual form page:Validates input-->Validates input:Update individual's record-->Update individual's record:Redirects to the manage individuals page-->Redirects to the manage individuals page:Management Individuals Page,Manage individuals in the database,9,7,1,0,0
14,stl#Supervisor:Update Individual Form Page-->Supervisor:Update Individual Form Page-->Update Individual Form Page:Redirect to delete page-->Redirect to delete page:Delete Page,Manage individuals in the database,4,3,0,0,0
15,stl#Supervisor:Update Individual Form Page-->Supervisor:Update Individual Form Page-->Update Individual Form Page:Update individual's record-->Update individual's record:Individual records,Manage individuals in the database,4,3,0,0,0
16,stl#Supervisor:Update Individual Form Page-->Supervisor:Update Individual Form Page-->Update Individual Form Page:Update individual's record-->Update individual's record:Redirects to the manage individuals page-->Redirects to the manage individuals page:Management Individuals Page,Manage individuals in the database,5,4,0,0,0
17,stl#Supervisor:Management Individuals Page-->Supervisor:Management Individuals Page,Manage individuals in the database,2,1,0,0,0
