id,transaction,useCase,transactional, TL, DETs, TD, TC, Arch_Diff
1,User:"Add EMT Assignment" button-->"Add EMT Assignment" button:Redirects to the building assignments page-->Redirects to the building assignments page:Volunteer assignment and EMT assignment DB,Add EMT building assignment in emergency,TRAN_NA,4,0,6,3,24
2,User:"Add EMT Assignment" button-->"Add EMT Assignment" button:Redirects to the building assignments page-->Redirects to the building assignments page:Building Assignments Page-->Building Assignments Page:returns add EMT from page-->returns add EMT from page:Validates Input-->Validates Input:submitted add EMT Form page,Add EMT building assignment in emergency,TRAN_NA,7,1,6.833333333333333,6,47.83333333333333
3,User:"Add EMT Assignment" button-->"Add EMT Assignment" button:Redirects to the building assignments page-->Redirects to the building assignments page:Building Assignments Page-->Building Assignments Page:returns add EMT from page-->returns add EMT from page:Validates Input-->Validates Input:Prints out the list of victims-->Prints out the list of victims:Triage category,Add EMT building assignment in emergency,TRAN_NA,8,0,6,7,48
4,User:"Add EMT Assignment" button-->"Add EMT Assignment" button:Redirects to the building assignments page-->Redirects to the building assignments page:Building Assignments Page-->Building Assignments Page:returns add EMT from page-->returns add EMT from page:Validates Input-->Validates Input:Prints out the list of victims-->Prints out the list of victims:Supervisors' emergency homepage,Add EMT building assignment in emergency,TRAN_NA,8,0,6,7,48
5,User:"Add EMT Assignment" button-->"Add EMT Assignment" button:Redirects to the building assignments page-->Redirects to the building assignments page:Building Assignments Page-->Building Assignments Page:returns add EMT from page-->returns add EMT from page:Validates Input-->Validates Input:EMT form page,Add EMT building assignment in emergency,TRAN_NA,7,1,6.833333333333333,6,47.83333333333333
6,User:"Add EMT Assignment" button-->"Add EMT Assignment" button:Redirects to the building assignments page-->Redirects to the building assignments page:Building Assignments Page-->Building Assignments Page:returns add EMT from page-->returns add EMT from page:EMT form page,Add EMT building assignment in emergency,TRAN_NA,6,0,8,5,48
7,User:submitted add EMT Form page,Add EMT building assignment in emergency,CTRL;EXTCLL;INT,2,1,11,1,22
8,User:Building Assignments Page-->Building Assignments Page:returns add EMT from page-->returns add EMT from page:Validates Input-->Validates Input:submitted add EMT Form page,Add EMT building assignment in emergency,TRAN_NA,5,1,7.25,4,36.25
9,User:Building Assignments Page-->Building Assignments Page:returns add EMT from page-->returns add EMT from page:Validates Input-->Validates Input:Prints out the list of victims-->Prints out the list of victims:Triage category,Add EMT building assignment in emergency,TRAN_NA,6,0,6,5,36
10,User:Building Assignments Page-->Building Assignments Page:returns add EMT from page-->returns add EMT from page:Validates Input-->Validates Input:Prints out the list of victims-->Prints out the list of victims:Supervisors' emergency homepage,Add EMT building assignment in emergency,TRAN_NA,6,0,6,5,36
11,User:Building Assignments Page-->Building Assignments Page:returns add EMT from page-->returns add EMT from page:Validates Input-->Validates Input:EMT form page,Add EMT building assignment in emergency,TRAN_NA,5,1,7.25,4,36.25
12,User:Building Assignments Page-->Building Assignments Page:returns add EMT from page-->returns add EMT from page:EMT form page,Add EMT building assignment in emergency,TRAN_NA,4,0,9.333333333333334,3,37.333333333333336
13,User:Supervisors' emergency homepage,Add EMT building assignment in emergency,CTRL;EXTCLL;INT,2,0,11,1,22
14,User:EMT form page,Add EMT building assignment in emergency,CTRL;EXTCLL;INT,2,0,11,1,22
15,Supervisor:Building/hub form page-->Building/hub form page:System validates input-->System validates input:Insert the new record into db-->Insert the new record into db:building/hubdb,Add buildings/hubs to the datbase,TRAN_NA,5,2,7,4,35
16,Supervisor:Building/hub form page-->Building/hub form page:System validates input-->System validates input:Input invalid error-->Input invalid error:Validates input as being correct-->Validates input as being correct:null input informaiton error,Add buildings/hubs to the datbase,TRAN_NA,6,2,9,5,54
17,Supervisor:Building/hub form page-->Building/hub form page:System validates input-->System validates input:Input invalid error-->Input invalid error:Validates input as being correct-->Validates input as being correct:System updates record in the database-->System updates record in the database:building/hubdb,Add buildings/hubs to the datbase,TRAN_NA,7,3,9,6,63
18,Supervisor:Building/hub form page-->Building/hub form page:System validates input-->System validates input:Input invalid error-->Input invalid error:Validates input as being correct-->Validates input as being correct:System updates record in the database-->System updates record in the database:Redirects to the management buildings/hubs/disasters page-->Redirects to the management buildings/hubs/disasters page:Manage bildings/hubs/disasters page,Add buildings/hubs to the datbase,TRAN_NA,8,4,9,7,72
19,Supervisor:Manage bildings/hubs/disasters page,Add buildings/hubs to the datbase,CTRL;EXTCLL;DM;EI,2,0,9,1,18
20,Supervisor:Input invalid error-->Input invalid error:Validates input as being correct-->Validates input as being correct:null input informaiton error,Add buildings/hubs to the datbase,CTRL,4,2,9,3,36
21,Supervisor:Input invalid error-->Input invalid error:Validates input as being correct-->Validates input as being correct:System updates record in the database-->System updates record in the database:building/hubdb,Add buildings/hubs to the datbase,CTRL;EXTCLL;DM;EI,5,3,9,4,45
22,Supervisor:Input invalid error-->Input invalid error:Validates input as being correct-->Validates input as being correct:System updates record in the database-->System updates record in the database:Redirects to the management buildings/hubs/disasters page-->Redirects to the management buildings/hubs/disasters page:Manage bildings/hubs/disasters page,Add buildings/hubs to the datbase,TRAN_NA,6,4,9,5,54
23,Supervisor:null input informaiton error,Add buildings/hubs to the datbase,CTRL,2,0,9,1,18
24,Supervisor:Add building/hub button-->Add building/hub button:Redirects to the add building/hub form page-->Redirects to the add building/hub form page:Building/hub form page-->Building/hub form page:System validates input-->System validates input:Insert the new record into db-->Insert the new record into db:building/hubdb,Add buildings/hubs to the datbase,TRAN_NA,7,4,7.666666666666667,6,53.66666666666667
25,Supervisor:Add building/hub button-->Add building/hub button:Redirects to the add building/hub form page-->Redirects to the add building/hub form page:Building/hub form page-->Building/hub form page:System validates input-->System validates input:Input invalid error-->Input invalid error:Validates input as being correct-->Validates input as being correct:null input informaiton error,Add buildings/hubs to the datbase,TRAN_NA,8,4,9,7,72
26,Supervisor:Add building/hub button-->Add building/hub button:Redirects to the add building/hub form page-->Redirects to the add building/hub form page:Building/hub form page-->Building/hub form page:System validates input-->System validates input:Input invalid error-->Input invalid error:Validates input as being correct-->Validates input as being correct:System updates record in the database-->System updates record in the database:building/hubdb,Add buildings/hubs to the datbase,TRAN_NA,9,5,9,8,81
27,Supervisor:Add building/hub button-->Add building/hub button:Redirects to the add building/hub form page-->Redirects to the add building/hub form page:Building/hub form page-->Building/hub form page:System validates input-->System validates input:Input invalid error-->Input invalid error:Validates input as being correct-->Validates input as being correct:System updates record in the database-->System updates record in the database:Redirects to the management buildings/hubs/disasters page-->Redirects to the management buildings/hubs/disasters page:Manage bildings/hubs/disasters page,Add buildings/hubs to the datbase,TRAN_NA,10,6,9,9,90
28,Supervisor:Add invidual form page-->Add invidual form page:validates input-->validates input:invalidate error message,Add individuals to the list of allowed users,TRAN_NA,4,1,5,3,20
29,Supervisor:Add invidual form page-->Add invidual form page:validates input-->validates input:Insert the new individual's record into db-->Insert the new individual's record into db:individuals record db,Add individuals to the list of allowed users,TRAN_NA,5,1,5.5,4,27.5
30,Supervisor:Add invidual form page-->Add invidual form page:validates input-->validates input:Insert the new individual's record into db-->Insert the new individual's record into db:Redirect View Individual's Page-->Redirect View Individual's Page:View Individual's page,Add individuals to the list of allowed users,TRAN_NA,6,1,5.6,5,33.599999999999994
31,Supervisor:Add invidual form page-->Add invidual form page:validates input-->validates input:Insert the new individual's record into db-->Insert the new individual's record into db:Redirect View Individual's Page-->Redirect View Individual's Page:send ot device-->send ot device:receive and storate device id at local storage-->receive and storate device id at local storage:individuals record db,Add individuals to the list of allowed users,TRAN_NA,8,2,5,7,40
32,Supervisor:OTP empty error message,Add individuals to the list of allowed users,CTRL;EXTCLL;INT,2,0,5,1,10
33,Supervisor:invalidate error message,Add individuals to the list of allowed users,CTRL,2,1,5,1,10
34,Supervisor:View Individual's page,Add individuals to the list of allowed users,CTRL;EXTCLL;INT,2,0,5,1,10
35,Supervisor:"add individual" button-->"add individual" button:redirects to the add individual form page-->redirects to the add individual form page:Add invidual form page-->Add invidual form page:validates input-->validates input:invalidate error message,Add individuals to the list of allowed users,TRAN_NA,6,2,5,5,30
36,Supervisor:"add individual" button-->"add individual" button:redirects to the add individual form page-->redirects to the add individual form page:Add invidual form page-->Add invidual form page:validates input-->validates input:Insert the new individual's record into db-->Insert the new individual's record into db:individuals record db,Add individuals to the list of allowed users,TRAN_NA,7,2,5.333333333333333,6,37.33333333333333
37,Supervisor:"add individual" button-->"add individual" button:redirects to the add individual form page-->redirects to the add individual form page:Add invidual form page-->Add invidual form page:validates input-->validates input:Insert the new individual's record into db-->Insert the new individual's record into db:Redirect View Individual's Page-->Redirect View Individual's Page:View Individual's page,Add individuals to the list of allowed users,TRAN_NA,8,2,5.428571428571429,7,43.42857142857143
38,Supervisor:"add individual" button-->"add individual" button:redirects to the add individual form page-->redirects to the add individual form page:Add invidual form page-->Add invidual form page:validates input-->validates input:Insert the new individual's record into db-->Insert the new individual's record into db:Redirect View Individual's Page-->Redirect View Individual's Page:send ot device-->send ot device:receive and storate device id at local storage-->receive and storate device id at local storage:individuals record db,Add individuals to the list of allowed users,TRAN_NA,10,3,5,9,50
39,Supervisor:"add individual" button-->"add individual" button:redirects to the add individual form page-->redirects to the add individual form page:Add invidual form page-->Add invidual form page:validates input-->validates input:Insert the new individual's record into db-->Insert the new individual's record into db:generate one time pass (OTP) and send it to users-->generate one time pass (OTP) and send it to users:redirect to individua's page-->redirect to individua's page:View Individual's page,Add volunteers to the system,TRAN_NA,9,2,5.25,8,47.25
40,Supervisor:Add invidual form page-->Add invidual form page:validates input-->validates input:Insert the new individual's record into db-->Insert the new individual's record into db:generate one time pass (OTP) and send it to users-->generate one time pass (OTP) and send it to users:redirect to individua's page-->redirect to individua's page:View Individual's page,Add volunteers to the system,TRAN_NA,7,2,4.666666666666667,6,32.66666666666667
41,User:Superviser's emergency disaster homepage,Add/Chose Disaster,CTRL;EXTCLL;INT,2,0,4,1,8
42,User:Disaster page-->Disaster page:validate theat all fields are non-empty-->validate theat all fields are non-empty:System inserts the disaster record in the database-->System inserts the disaster record in the database:Superviser's emergency disaster homepage,Add/Chose Disaster,CTRL;EXTCLL;INT,5,1,4.25,4,21.25
43,User:Disaster page-->Disaster page:validate theat all fields are non-empty-->validate theat all fields are non-empty:System inserts the disaster record in the database-->System inserts the disaster record in the database:Disaster record db,Add/Chose Disaster,CTRL,5,1,4.5,4,22.5
44,User:Disaster page-->Disaster page:validate theat all fields are non-empty-->validate theat all fields are non-empty:Superviser's emergency disaster homepage,Add/Chose Disaster,CTRL;EXTCLL;INT,4,1,4,3,16
45,User:"Emergency" button-->"Emergency" button:System redirects to Disaste page-->System redirects to Disaste page:Disaster page-->Disaster page:validate theat all fields are non-empty-->validate theat all fields are non-empty:System inserts the disaster record in the database-->System inserts the disaster record in the database:Superviser's emergency disaster homepage,Add/Chose Disaster,TRAN_NA,7,1,3.6666666666666665,6,25.666666666666664
46,User:"Emergency" button-->"Emergency" button:System redirects to Disaste page-->System redirects to Disaste page:Disaster page-->Disaster page:validate theat all fields are non-empty-->validate theat all fields are non-empty:System inserts the disaster record in the database-->System inserts the disaster record in the database:Disaster record db,Add/Chose Disaster,TRAN_NA,7,1,3.8333333333333335,6,26.833333333333336
47,User:"Emergency" button-->"Emergency" button:System redirects to Disaste page-->System redirects to Disaste page:Disaster page-->Disaster page:validate theat all fields are non-empty-->validate theat all fields are non-empty:Superviser's emergency disaster homepage,Add/Chose Disaster,TRAN_NA,6,1,3.4,5,20.4
48,Transport Coordinator:Respiration/perfusion/metal status page-->Respiration/perfusion/metal status page:Categorizes the victim-->Categorizes the victim:Redirects to category's page-->Redirects to category's page:category's page,Enter Victim Data,TRAN_NA,5,3,7.75,4,38.75
49,Transport Coordinator:Respiration/perfusion/metal status page-->Respiration/perfusion/metal status page:Categorizes the victim-->Categorizes the victim:Redirects to category's page-->Redirects to category's page:Vaidates the input-->Vaidates the input:add new victim record to db-->add new victim record to db:db,Enter Victim Data,TRAN_NA,7,5,5.166666666666667,6,36.16666666666667
50,Transport Coordinator:Respiration/perfusion/metal status page-->Respiration/perfusion/metal status page:Categorizes the victim-->Categorizes the victim:Redirects to category's page-->Redirects to category's page:Vaidates the input-->Vaidates the input:add new victim record to db-->add new victim record to db:volunteer homepage,Enter Victim Data,TRAN_NA,7,4,5.5,6,38.5
51,Transport Coordinator:Respiration/perfusion/metal status page-->Respiration/perfusion/metal status page:Categorizes the victim-->Categorizes the victim:Redirects to category's page-->Redirects to category's page:Vaidates the input-->Vaidates the input:add new victim record to db-->add new victim record to db:Vlunteer Diaster Homepage,Enter Victim Data,TRAN_NA,7,4,5.5,6,38.5
52,Transport Coordinator:Respiration/perfusion/metal status page-->Respiration/perfusion/metal status page:Categorizes the victim-->Categorizes the victim:Redirects to category's page-->Redirects to category's page:Vaidates the input-->Vaidates the input:Error message,Enter Victim Data,TRAN_NA,6,4,6.6,5,39.599999999999994
53,Transport Coordinator:Respiration/perfusion/metal status page-->Respiration/perfusion/metal status page:Categorizes the victim-->Categorizes the victim:Category page,Enter Victim Data,TRAN_NA,4,2,7.333333333333333,3,29.333333333333332
54,Transport Coordinator:"add victim" button-->"add victim" button:Redirects to the "is he breathing" page-->Redirects to the "is he breathing" page:"is he breathing" page-->"is he breathing" page:Redirects to respiration/perfusion/metal status page-->Redirects to respiration/perfusion/metal status page:Updates the database for building information-->Updates the database for building information:Categorizes the victim-->Categorizes the victim:Redirects to category's page-->Redirects to category's page:category's page,Enter Victim Data,TRAN_NA,9,6,7,8,63
55,Transport Coordinator:"add victim" button-->"add victim" button:Redirects to the "is he breathing" page-->Redirects to the "is he breathing" page:"is he breathing" page-->"is he breathing" page:Redirects to respiration/perfusion/metal status page-->Redirects to respiration/perfusion/metal status page:Updates the database for building information-->Updates the database for building information:Categorizes the victim-->Categorizes the victim:Redirects to category's page-->Redirects to category's page:Vaidates the input-->Vaidates the input:add new victim record to db-->add new victim record to db:db,Enter Victim Data,TRAN_NA,11,8,5.6,10,61.599999999999994
56,Transport Coordinator:"add victim" button-->"add victim" button:Redirects to the "is he breathing" page-->Redirects to the "is he breathing" page:"is he breathing" page-->"is he breathing" page:Redirects to respiration/perfusion/metal status page-->Redirects to respiration/perfusion/metal status page:Updates the database for building information-->Updates the database for building information:Categorizes the victim-->Categorizes the victim:Redirects to category's page-->Redirects to category's page:Vaidates the input-->Vaidates the input:add new victim record to db-->add new victim record to db:volunteer homepage,Enter Victim Data,TRAN_NA,11,7,5.8,10,63.8
57,Transport Coordinator:"add victim" button-->"add victim" button:Redirects to the "is he breathing" page-->Redirects to the "is he breathing" page:"is he breathing" page-->"is he breathing" page:Redirects to respiration/perfusion/metal status page-->Redirects to respiration/perfusion/metal status page:Updates the database for building information-->Updates the database for building information:Categorizes the victim-->Categorizes the victim:Redirects to category's page-->Redirects to category's page:Vaidates the input-->Vaidates the input:add new victim record to db-->add new victim record to db:Vlunteer Diaster Homepage,Enter Victim Data,TRAN_NA,11,7,5.8,10,63.8
58,Transport Coordinator:"add victim" button-->"add victim" button:Redirects to the "is he breathing" page-->Redirects to the "is he breathing" page:"is he breathing" page-->"is he breathing" page:Redirects to respiration/perfusion/metal status page-->Redirects to respiration/perfusion/metal status page:Updates the database for building information-->Updates the database for building information:Categorizes the victim-->Categorizes the victim:Redirects to category's page-->Redirects to category's page:Vaidates the input-->Vaidates the input:Error message,Enter Victim Data,TRAN_NA,10,7,6.444444444444445,9,64.44444444444444
59,Transport Coordinator:"add victim" button-->"add victim" button:Redirects to the "is he breathing" page-->Redirects to the "is he breathing" page:"is he breathing" page-->"is he breathing" page:Redirects to respiration/perfusion/metal status page-->Redirects to respiration/perfusion/metal status page:Updates the database for building information-->Updates the database for building information:Categorizes the victim-->Categorizes the victim:Category page,Enter Victim Data,TRAN_NA,8,5,6.714285714285714,7,53.714285714285715
60,Transport Coordinator:"add victim" button-->"add victim" button:Redirects to the "is he breathing" page-->Redirects to the "is he breathing" page:"is he breathing" page-->"is he breathing" page:Redirects to respiration/perfusion/metal status page-->Redirects to respiration/perfusion/metal status page:Respiration/perfusion/metal status page-->Respiration/perfusion/metal status page:Categorizes the victim-->Categorizes the victim:Redirects to category's page-->Redirects to category's page:category's page,Enter Victim Data,TRAN_NA,9,5,7.875,8,70.875
61,Transport Coordinator:"add victim" button-->"add victim" button:Redirects to the "is he breathing" page-->Redirects to the "is he breathing" page:"is he breathing" page-->"is he breathing" page:Redirects to respiration/perfusion/metal status page-->Redirects to respiration/perfusion/metal status page:Respiration/perfusion/metal status page-->Respiration/perfusion/metal status page:Categorizes the victim-->Categorizes the victim:Redirects to category's page-->Redirects to category's page:Vaidates the input-->Vaidates the input:add new victim record to db-->add new victim record to db:db,Enter Victim Data,TRAN_NA,11,7,6.3,10,69.3
62,Transport Coordinator:"add victim" button-->"add victim" button:Redirects to the "is he breathing" page-->Redirects to the "is he breathing" page:"is he breathing" page-->"is he breathing" page:Redirects to respiration/perfusion/metal status page-->Redirects to respiration/perfusion/metal status page:Respiration/perfusion/metal status page-->Respiration/perfusion/metal status page:Categorizes the victim-->Categorizes the victim:Redirects to category's page-->Redirects to category's page:Vaidates the input-->Vaidates the input:add new victim record to db-->add new victim record to db:volunteer homepage,Enter Victim Data,TRAN_NA,11,6,6.5,10,71.5
63,Transport Coordinator:"add victim" button-->"add victim" button:Redirects to the "is he breathing" page-->Redirects to the "is he breathing" page:"is he breathing" page-->"is he breathing" page:Redirects to respiration/perfusion/metal status page-->Redirects to respiration/perfusion/metal status page:Respiration/perfusion/metal status page-->Respiration/perfusion/metal status page:Categorizes the victim-->Categorizes the victim:Redirects to category's page-->Redirects to category's page:Vaidates the input-->Vaidates the input:add new victim record to db-->add new victim record to db:Vlunteer Diaster Homepage,Enter Victim Data,TRAN_NA,11,6,6.5,10,71.5
64,Transport Coordinator:"add victim" button-->"add victim" button:Redirects to the "is he breathing" page-->Redirects to the "is he breathing" page:"is he breathing" page-->"is he breathing" page:Redirects to respiration/perfusion/metal status page-->Redirects to respiration/perfusion/metal status page:Respiration/perfusion/metal status page-->Respiration/perfusion/metal status page:Categorizes the victim-->Categorizes the victim:Redirects to category's page-->Redirects to category's page:Vaidates the input-->Vaidates the input:Error message,Enter Victim Data,TRAN_NA,10,6,7.222222222222222,9,72.22222222222223
