id,element,useCase,type,component
1,Neon CRM:Invalid checkin information,Onsite user checkin,boundary,Checkinbutton
2,Validate feedback data:Neon CRM,Onsite user checkin,actor,NeonCRM
3,Rest cal for validating checkin information:Neon CRM,Onsite user checkin,actor,NeonCRM
4,User:Checkin button,Onsite user checkin,boundary,Checkinbutton
5,User:Invalid checkin information,Onsite user checkin,boundary,Checkinbutton
6,User:checkin page,Onsite user checkin,boundary,Checkinbutton
7,Checkin button:display checkin page,Onsite user checkin,boundary,Checkinbutton
8,save checkin information:Checkin information,Onsite user checkin,boundary,Checkinbutton
9,Invalid checkin information:save checkin information,Onsite user checkin,boundary,Checkinbutton
10,Rest cal for validating checkin information:Validate feedback data,Onsite user checkin,control,Invaliderrormessage
11,checkin page:Rest cal for validating checkin information,Onsite user checkin,control,Invaliderrormessage
12,Validate feedback data:save checkin information,Onsite user checkin,boundary,Checkinbutton
13,display checkin page:checkin page,Onsite user checkin,boundary,Checkinbutton
14,stl#Neon CRM:Invalid checkin information,Onsite user checkin,Stimulus,undefined
15,stl#User:Checkin button,Onsite user checkin,Stimulus,undefined
16,stl#User:Invalid checkin information,Onsite user checkin,Stimulus,undefined
17,stl#User:checkin page,Onsite user checkin,Stimulus,undefined
