id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,Administrator:Administrator's dashboard-->Administrator's dashboard:Display the submitted comments screen-->Display the submitted comments screen:Comments,Accept/Reject Comment,3,0,3,0,0
2,Administrator:Administrator's dashboard-->Administrator's dashboard:Display the submitted comments screen-->Display the submitted comments screen:submitted comments  screen-->submitted comments  screen:Retrieve comment and user info-->Retrieve comment and user info:Comments,Accept/Reject Comment,5,0,5,0,0
3,Administrator:Administrator's dashboard-->Administrator's dashboard:Display the submitted comments screen-->Display the submitted comments screen:submitted comments  screen-->submitted comments  screen:Retrieve comment and user info-->Retrieve comment and user info:User Info,Accept/Reject Comment,5,0,5,0,0
4,Administrator:submitted comments  screen-->submitted comments  screen:Retrieve comment and user info-->Retrieve comment and user info:Comments,Accept/Reject Comment,3,0,3,0,0
5,Administrator:submitted comments  screen-->submitted comments  screen:Retrieve comment and user info-->Retrieve comment and user info:User Info,Accept/Reject Comment,3,0,3,0,0
6,Administrator:Comment View-->Comment View:Update acceptance status-->Update acceptance status:Change the status of the task-->Change the status of the task:Task,Accept/Reject Comment,4,1,3,0,0
7,Administrator:Comment View-->Comment View:Update acceptance status-->Update acceptance status:Comments,Accept/Reject Comment,3,1,2,0,0
8,Administrator:Comment View-->Comment View:Update acceptance status-->Update acceptance status:pend the task-->pend the task:Task,Accept/Reject Comment,4,1,3,0,0
9,Administrator:approve sign up screen-->approve sign up screen:retrieve request detail-->retrieve request detail:signup request,Approve Signup,3,0,1,2,0
10,Administrator:approve sign up screen-->approve sign up screen:retrieve request detail-->retrieve request detail:signup request details-->signup request details:update user info-->update user info:user info,Approve Signup,5,0,3,2,0
11,Administrator:approve sign up screen-->approve sign up screen:retrieve signup requests-->retrieve signup requests:approve sign up screen-->approve sign up screen:retrieve request detail-->retrieve request detail:signup request,Approve Signup,5,0,2,3,0
12,Administrator:approve sign up screen-->approve sign up screen:retrieve signup requests-->retrieve signup requests:approve sign up screen-->approve sign up screen:retrieve request detail-->retrieve request detail:signup request details-->signup request details:update user info-->update user info:user info,Approve Signup,7,0,4,3,0
13,Administrator:approve sign up screen-->approve sign up screen:retrieve signup requests-->retrieve signup requests:approve sign up screen-->approve sign up screen:retrieve signup requests,Approve Signup,4,0,2,2,0
14,Administrator:approve sign up screen-->approve sign up screen:retrieve signup requests-->retrieve signup requests:signup request,Approve Signup,3,0,1,2,0
15,Administrator:signup request details-->signup request details:update user info-->update user info:user info,Approve Signup,3,0,2,1,0
16,Actor:Project detail,Change Project,1,0,1,0,0
17,Actor:Selecting settings button-->Selecting settings button:Display dropdown settings menu-->Display dropdown settings menu:dropdown settings menu-->dropdown settings menu:query projects-->query projects:Project,Change Project,5,3,2,0,0
18,Actor:Selecting settings button-->Selecting settings button:Display dropdown settings menu-->Display dropdown settings menu:dropdown settings menu-->dropdown settings menu:query projects-->query projects:Projects list screen-->Projects list screen:Query project detail-->Query project detail:Project,Change Project,7,3,4,0,0
19,Actor:Selecting settings button-->Selecting settings button:Display dropdown settings menu-->Display dropdown settings menu:dropdown settings menu-->dropdown settings menu:query projects-->query projects:Projects list screen-->Projects list screen:Query project detail-->Query project detail:Project detail,Change Project,7,3,4,0,0
20,Actor:Projects list screen-->Projects list screen:Query project detail-->Query project detail:Project,Change Project,3,0,3,0,0
21,Actor:Projects list screen-->Projects list screen:Query project detail-->Query project detail:Project detail,Change Project,3,0,3,0,0
22,Actor:dropdown settings menu-->dropdown settings menu:query projects-->query projects:Project,Change Project,3,1,2,0,0
23,Actor:dropdown settings menu-->dropdown settings menu:query projects-->query projects:Projects list screen-->Projects list screen:Query project detail-->Query project detail:Project,Change Project,5,1,4,0,0
24,Actor:dropdown settings menu-->dropdown settings menu:query projects-->query projects:Projects list screen-->Projects list screen:Query project detail-->Query project detail:Project detail,Change Project,5,1,4,0,0
25,Administrator:Attendee is not available,Create New Project,1,1,0,0,0
26,Administrator:Create a project screen-->Create a project screen:Verify project information-->Verify project information:Edit default attendee list-->Edit default attendee list:verify attendee information-->verify attendee information:Attendee is not available,Create New Project,5,4,1,0,0
27,Administrator:Create a project screen-->Create a project screen:Verify project information-->Verify project information:Edit default attendee list-->Edit default attendee list:verify attendee information-->verify attendee information:attendee information list,Create New Project,5,4,1,0,0
