NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,NI,NE,EXT,ERY,RED,WRT,SWTI,SWTII,SWTIII
1,Accept/Reject Comment,8,18,0,5,1,4,0,0,0,0,0,5,0,0,3,5,7.6,4.6,6,0.8,34.959999999999994,0,0,32,8,8,8,0.99,2.0100000000000002,0,0,8.1184,19.2992,12.9064
2,Approve Signup,7,12,0,3,0,2,1,0,0,0,0,0,0,0,7,0,0,5.2,0,0,0,8,5,16,7,6,5,0,0,7.699999999999999,7.300000000000001,7.1036,25.8527,14.2896
3,Change Project,9,16,0,2,1,1,0,0,0,0,0,3,0,0,6,3,16,8.153846153846153,13,2,130.46153846153845,24,0,12,9,9,3,0,12,0,0,9.133199999999999,48.149,27.2572
4,Create New Project,8,15,0,3,2,1,0,0,0,2,0,2,0,2,6,2,16,4.5,12,2,72,0,0,32,8,8,8,6.6000000000000005,13.4,0,0,8.1184,16.4174,11.3104
5,Create meeting,7,14,0,5,2,2,1,0,0,0,0,1,0,0,6,1,32,2.96,25,6,94.72,4,0,24,7,7,6,3.3,7.700000000000001,0,1,7.1036,11.328999999999999,9.1081
6,Edit Profile,3,8,0,3,2,1,0,0,0,0,0,1,0,0,2,1,11,2.875,8,0,31.625,4,0,8,3,3,2,0.66,2.34,0,0,3.0443999999999996,3.4254,3.5953999999999997
7,Edit meeting,6,13,0,4,2,2,0,0,0,0,0,1,0,0,5,1,28,3.227272727272727,22,9,90.36363636363636,8,0,15,6,6,4,2.64,9.36,0,0,6.0888,10.458400000000001,7.9887999999999995
8,Edit project,6,13,0,3,1,1,1,0,0,0,0,1,0,0,5,1,28,5.136363636363637,22,9,143.8181818181818,8,15,3,6,3,4,1,0,6,8,6.0888,19.124299999999998,10.6813
9,Generate log,7,13,0,3,2,0,1,0,0,1,0,1,0,1,6,1,30,6.913043478260869,23,11,207.39130434782606,8,0,19,7,7,5,4.95,16.05,0,2,7.1036,24.6409,15.0876
10,Login,10,18,0,4,2,2,0,0,0,1,0,3,0,1,7,3,12.666666666666666,3.892857142857143,9.333333333333334,2.3333333333333335,49.3095238095238,16,0,24,10,10,6,2.31,8.69,0,0,10.147999999999998,15.327099999999998,13.596499999999999
11,Publish Meeting,10,15,0,5,3,2,0,0,0,1,0,2,0,1,8,2,24,2.8157894736842106,19,12.5,67.57894736842105,4,20,19,10,6,9,14.96,10.040000000000001,0,0,10.147999999999998,15.6911,12.703500000000002
12,Send notification,4,12,0,3,1,2,0,0,0,0,0,2,0,0,2,2,9,3.2857142857142856,7,3,29.57142857142857,4,0,12,4,4,3,0.99,4.01,0,0,4.0592,6.1693999999999996,4.7622
13,Signup,29,28,0,6,3,3,0,0,0,2,0,5,0,2,24,5,31.2,7.606299212598425,25.4,6.4,237.31653543307087,64,0,52,29,29,13,9.9,60.1,0,0,29.42920000000001,157.07759999999996,92.8732
14,Submit comments to assigned task,7,12,0,3,1,1,1,1,0,0,1,4,0,1,3,4,8,6.6,6.25,0,52.8,16,0,12,7,7,3,0,3,0,2,7.1036,26.220700000000004,15.291099999999998
15,View Pending Tasks,7,13,0,3,2,1,0,0,0,0,0,1,0,0,6,1,30,4.608695652173913,23,6,138.2608695652174,4,10,15,7,5,6,7.63,9.370000000000001,0,0,7.1036,13.5717,10.0486
16,View Status of Submitted Comment,5,10,0,2,1,1,0,0,0,2,0,5,0,2,0,5,3.2,4.454545454545454,2.2,1.4,14.254545454545454,0,5,15,5,4,5,1.33,0.67,0,0,5.074,8.2818,6.023999999999999
17,View assigned tasks,5,10,0,2,2,0,0,0,0,2,0,2,0,2,3,2,8,3.5454545454545454,5.5,4,28.363636363636363,0,0,19,5,5,5,3.63,7.370000000000001,0,0,5.074,5.7768,5.881500000000001
18,View meeting,5,10,0,2,1,1,0,0,0,2,0,2,0,2,3,2,8,4.636363636363637,5.5,1,37.09090909090909,0,0,19,5,5,5,2.64,5.36,0,0,5.074,7.5485,7.6675
