id,element,useCase,type,component
1,User:Homepage,Cancel Client Appointment,boundary,Homepage
2,User:Cancel Client Appointment,Cancel Client Appointment,control,Removechosenappointment
3,Cancel Client Appointment:Choose one of existing appointments,Cancel Client Appointment,control,Removechosenappointment
4,Show confirmation page:Cancel Client Appointment,Cancel Client Appointment,control,Removechosenappointment
5,Choose one of existing appointments:Remove chosen appointment,Cancel Client Appointment,control,Removechosenappointment
6,Show confirmation page:Homepage,Cancel Client Appointment,boundary,Homepage
7,Remove chosen appointment:Show confirmation page,Cancel Client Appointment,boundary,Homepage
8,stl#User:Homepage,Cancel Client Appointment,Stimulus,undefined
9,stl#User:Cancel Client Appointment,Cancel Client Appointment,Stimulus,undefined
10,User:Homepage,Cancel Volunteer Appointment,boundary,Homepage
11,User:Cancel Volunteer Appointment,Cancel Volunteer Appointment,control,CancelVolunteerAppointment
12,Cancel Volunteer Appointment:Choose one of existing appointments,Cancel Volunteer Appointment,control,CancelVolunteerAppointment
13,Show confirmation page:Cancel Volunteer Appointment,Cancel Volunteer Appointment,control,CancelVolunteerAppointment
14,Choose one of existing appointments:Remove chosen appointment,Cancel Volunteer Appointment,control,CancelVolunteerAppointment
15,Show confirmation page:Homepage,Cancel Volunteer Appointment,boundary,Homepage
16,Remove chosen appointment:Show confirmation page,Cancel Volunteer Appointment,boundary,Homepage
17,stl#User:Homepage,Cancel Volunteer Appointment,Stimulus,undefined
18,stl#User:Cancel Volunteer Appointment,Cancel Volunteer Appointment,Stimulus,undefined
19,User:Make new client appointment page,Make New Client Appointment,boundary,Homepage
20,User:Homepage,Make New Client Appointment,boundary,Homepage
21,Check the require information:Show confirmation page,Make New Client Appointment,control,Checktherequireinformation
22,Enter required information  for new client appointment:Check the require information,Make New Client Appointment,control,Checktherequireinformation
23,Make new client appointment page:Enter required information  for new client appointment,Make New Client Appointment,control,Checktherequireinformation
24,Show confirmation page:Homepage,Make New Client Appointment,boundary,Homepage
25,Show confirmation page:Make new client appointment page,Make New Client Appointment,boundary,Homepage
26,stl#User:Make new client appointment page,Make New Client Appointment,Stimulus,undefined
27,stl#User:Homepage,Make New Client Appointment,Stimulus,undefined
28,User:Make new volunteer appointment page,Make Volunteer Appointment,boundary,Homepage
29,User:Homepage,Make Volunteer Appointment,boundary,Homepage
30,Check chosen time slot :Show confirmation page,Make Volunteer Appointment,boundary,Homepage
31,Choose one of available time slots :Check chosen time slot ,Make Volunteer Appointment,control,Checkchosentimeslot
32,Make new volunteer appointment page:Choose one of available time slots ,Make Volunteer Appointment,control,Checkchosentimeslot
33,Show confirmation page:Homepage,Make Volunteer Appointment,boundary,Homepage
34,Show confirmation page:Make new volunteer appointment page,Make Volunteer Appointment,boundary,Homepage
35,stl#User:Make new volunteer appointment page,Make Volunteer Appointment,Stimulus,undefined
36,stl#User:Homepage,Make Volunteer Appointment,Stimulus,undefined
37,User:volunteer submission page,Submit New Volunteer Application,boundary,Homepage
38,User:Homepage,Submit New Volunteer Application,boundary,Homepage
39,Check all required information :Show confirmation page,Submit New Volunteer Application,control,Checkallrequiredinformation
40,Fill out required information :Check all required information ,Submit New Volunteer Application,control,Checkallrequiredinformation
41,volunteer submission page:Fill out required information ,Submit New Volunteer Application,control,Checkallrequiredinformation
42,Show confirmation page:Homepage,Submit New Volunteer Application,boundary,Homepage
43,Show confirmation page:volunteer submission page,Submit New Volunteer Application,boundary,Homepage
44,stl#User:volunteer submission page,Submit New Volunteer Application,Stimulus,undefined
45,stl#User:Homepage,Submit New Volunteer Application,Stimulus,undefined
46,User:Homepage,View Client Schedule,boundary,Homepage
47,User:View Client Schedule Page,View Client Schedule,boundary,Chooseoneofclientappointmentspreadsheet
48,Choose one of  client appointment spreadsheet:Show confirmation page,View Client Schedule,boundary,Homepage
49,Choose one of  client appointment spreadsheet:Remove chosen appointment,View Client Schedule,boundary,Chooseoneofclientappointmentspreadsheet
50,View Client Schedule Page:Choose one of  client appointment spreadsheet,View Client Schedule,boundary,Chooseoneofclientappointmentspreadsheet
51,Show confirmation page:Homepage,View Client Schedule,boundary,Homepage
52,Remove chosen appointment:Show confirmation page,View Client Schedule,boundary,Homepage
53,Show confirmation page:View Client Schedule Page,View Client Schedule,boundary,Chooseoneofclientappointmentspreadsheet
54,stl#User:Homepage,View Client Schedule,Stimulus,undefined
55,stl#User:View Client Schedule Page,View Client Schedule,Stimulus,undefined
56,User:View volunteer application  Page,View Volunteer Application,boundary,ViewvolunteerapplicationPage
57,User:Homepage,View Volunteer Application,boundary,Homepage
58,Choose one of  volunteer application:Show confirmation page,View Volunteer Application,boundary,Homepage
59,View volunteer application  Page:Choose one of  volunteer application,View Volunteer Application,boundary,ViewvolunteerapplicationPage
60,Show confirmation page:Homepage,View Volunteer Application,boundary,Homepage
61,Show confirmation page:View volunteer application  Page,View Volunteer Application,boundary,ViewvolunteerapplicationPage
62,stl#User:View volunteer application  Page,View Volunteer Application,Stimulus,undefined
63,stl#User:Homepage,View Volunteer Application,Stimulus,undefined
64,User:View volunteer list Page,View Volunteer List,boundary,Chooseoneofvolunteerlist
65,User:Homepage,View Volunteer List,boundary,Homepage
66,Choose one of  volunteer list:Show confirmation page,View Volunteer List,boundary,Homepage
67,View volunteer list Page:Choose one of  volunteer list,View Volunteer List,boundary,Chooseoneofvolunteerlist
68,Show confirmation page:Homepage,View Volunteer List,boundary,Homepage
69,Show confirmation page:View volunteer list Page,View Volunteer List,boundary,Chooseoneofvolunteerlist
70,stl#User:View volunteer list Page,View Volunteer List,Stimulus,undefined
71,stl#User:Homepage,View Volunteer List,Stimulus,undefined
72,User:View volunteer schedule  Page,View Volunteer Schedule,boundary,Chooseoneofvolunteerschedule
73,User:Homepage,View Volunteer Schedule,boundary,Homepage
74,Choose one of  volunteer schedule:Show confirmation page,View Volunteer Schedule,boundary,Homepage
75,View volunteer schedule  Page:Choose one of  volunteer schedule,View Volunteer Schedule,boundary,Chooseoneofvolunteerschedule
76,Show confirmation page:Homepage,View Volunteer Schedule,boundary,Homepage
77,Show confirmation page:View volunteer schedule  Page,View Volunteer Schedule,boundary,Chooseoneofvolunteerschedule
78,stl#User:View volunteer schedule  Page,View Volunteer Schedule,Stimulus,undefined
79,stl#User:Homepage,View Volunteer Schedule,Stimulus,undefined
