id,element,useCase,type,component
1,User :click user tab in his/her homepage,add_user,boundary,Homepage
2,User :click "new-user" button,add_user,boundary,Clicksubmit
3,User :type in information of new user,add_user,control,Showconfirmation
4,User :Homepage,add_user,boundary,Homepage
5,User :Click submit,add_user,boundary,Clicksubmit
6,Approval manager��s request:add contacts into Salesforce,add_user,control,addcontactsintoSalesforce
7,type in information of new user:Approval manager��s request,add_user,control,Approvalmanager��srequest
8,Display a text field for input:Approval manager��s request,add_user,control,Approvalmanager��srequest
9,Click submit:Approval manager��s request,add_user,control,Approvalmanager��srequest
10,Display user list:Display a text field for input,add_user,control,Displayatextfiledforinput
11,click "new-user" button:Display a text field for input,add_user,control,Displayatextfiledforinput
12,click user tab in his/her homepage:Display user list,add_user,control,Displayatextfiledforinput
13,add contacts into Salesforce:Homepage,add_user,boundary,Homepage
14,stl#User :click user tab in his/her homepage,add_user,Stimulus,undefined
15,stl#User :click "new-user" button,add_user,Stimulus,undefined
16,stl#User :type in information of new user,add_user,Stimulus,undefined
17,stl#User :Homepage,add_user,Stimulus,undefined
18,stl#User :Click submit,add_user,Stimulus,undefined
