id,element,useCase,type,component
1,undefined,Use Case1,control,Object1
2,stl#undefined,Use Case1,Stimulus,undefined
3,User:Homepage,access all student's data,control,Homepage
4,User:Access all student information,access all student's data,control,Accessallstudentinformation
5,Access all student information:Show all students data,access all student's data,control,Accessallstudentinformation
6,Show all students data:Database,access all student's data,entity,Database
7,Homepage:Show all students data,access all student's data,control,Accessallstudentinformation
8,stl#User:Homepage,access all student's data,Stimulus,undefined
9,stl#User:Access all student information,access all student's data,Stimulus,undefined
10,User:close resources,access list & status of resources,control,closeresources
11,User:Homepage,access list & status of resources,control,Homepage
12,User:Chose resources,access list & status of resources,control,closeresources
13,User:Access all resources button,access list & status of resources,control,closeresources
14,Access all resources button:Show lists of resources,access list & status of resources,control,closeresources
15,Chose resources:Show resources information,access list & status of resources,control,Accessallstudentinformation
16,Show resources information:Homepage,access list & status of resources,control,Homepage
17,Show lists of resources:Show resources information,access list & status of resources,control,Accessallstudentinformation
18,close resources:Show resources information,access list & status of resources,control,Accessallstudentinformation
19,stl#User:close resources,access list & status of resources,Stimulus,undefined
20,stl#User:Homepage,access list & status of resources,Stimulus,undefined
21,stl#User:Chose resources,access list & status of resources,Stimulus,undefined
22,stl#User:Access all resources button,access list & status of resources,Stimulus,undefined
23,input user imformation:Display user information,input User's info,control,Accessallstudentinformation
24,User:input user imformation,input User's info,control,Accessallstudentinformation
25,stl#User:input user imformation,input User's info,Stimulus,undefined
26,User:Input users information,input student's performance,control,Accessallstudentinformation
27,User:input user imformation,input student's performance,control,Accessallstudentinformation
28,User:select class,input student's performance,control,Object1
29,User:Select attendance and semester,input student's performance,control,Accessallstudentinformation
30,User:Homepage,input student's performance,control,Homepage
31,User:Select class,input student's performance,control,Object1
32,User:Input user information page,input student's performance,control,Accessallstudentinformation
33,User:input user imformation,input student's performance,control,Accessallstudentinformation
34,User:Select attendance and semester,input student's performance,control,Accessallstudentinformation
35,Display user information:Database,input student's performance,entity,Database
36,Save changes in database:Database,input student's performance,entity,Database
37,Display user information:Homepage,input student's performance,control,Homepage
38,Display user information:Save changes in database,input student's performance,entity,Database
39,Input users information:Display user information,input student's performance,control,Accessallstudentinformation
40,Input user information page:Display user information,input student's performance,control,Accessallstudentinformation
41,input user imformation:Display user information,input student's performance,control,Accessallstudentinformation
42,Select class:Display user information,input student's performance,control,Accessallstudentinformation
43,input user imformation:Display user information,input student's performance,control,Accessallstudentinformation
44,select class:Display user information,input student's performance,control,Accessallstudentinformation
45,Show user:Display user information,input student's performance,control,Accessallstudentinformation
46,Save changes in database:Homepage,input student's performance,control,Homepage
47,Input user information page:Show options,input student's performance,control,Showuser
48,Input users information:Save changes in database,input student's performance,entity,Database
49,input user imformation:Save changes in database,input student's performance,entity,Database
50,Select attendance and semester:Show user,input student's performance,control,Showuser
