id,element,useCase,type,component
1,User:Homepage,set constraints,boundary,Homepage
2,User:Constraints management page,set constraints,boundary,Homepage
3,User:Make some changes,set constraints,boundary,Homepage
4,Confirm button:Update changed information,set constraints,control,Displaycomfirminformation
5,Make some changes:Confirm button,set constraints,boundary,Exportbutton
6,Constraints management page:Display constraint details,set constraints,control,Displaycomfirminformation
7,Display constraint details:Update changed information,set constraints,control,Displaycomfirminformation
8,Display information:Homepage,set constraints,boundary,Homepage
9,Update changed information:Display information,set constraints,control,Displaycomfirminformation
10,stl#User:Homepage,set constraints,Stimulus,undefined
11,stl#User:Constraints management page,set constraints,Stimulus,undefined
12,stl#User:Make some changes,set constraints,Stimulus,undefined
