id,element,useCase,type,component
1,User:Select  year and semester page,view final teacher schedule,control,Inputusernameandpassword
2,User:Homepage,view final teacher schedule,boundary,Homepage
3,User:Send teacher detail,view final teacher schedule,control,Inputusernameandpassword
4,Display page:Homepage,view final teacher schedule,boundary,Homepage
5,Request teacher detail:Display page,view final teacher schedule,boundary,Homepage
6,Send teacher detail:Request teacher detail,view final teacher schedule,control,Checkiftheidexists
7,Select  year and semester page:Request teacher detail,view final teacher schedule,control,Checkiftheidexists
8,stl#User:Select  year and semester page,view final teacher schedule,Stimulus,undefined
9,stl#User:Homepage,view final teacher schedule,Stimulus,undefined
10,stl#User:Send teacher detail,view final teacher schedule,Stimulus,undefined
