NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,NI,NE,EXT,ERY,RED,WRT,SWTI,SWTII,SWTIII
1,Use Case1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,approve course preference,4,9,0,3,2,1,0,0,0,1,0,1,0,1,3,1,18,3.142857142857143,14,1,56.57142857142857,4,0,12,4,4,3,2.64,7.359999999999999,0,0,4.0592,6.436999999999999,4.809699999999999
3,assign counselor,4,11,0,2,2,0,0,0,0,2,0,2,0,2,2,2,8.5,6.230769230769231,6.5,3,52.96153846153846,0,0,16,4,4,4,4.29,8.71,0,0,4.0592,17.1389,11.276200000000001
4,assign teacher to course,3,9,0,3,1,1,1,0,0,1,0,1,0,1,2,1,13,2.4,10,4,31.2,4,0,8,3,3,2,0.99,3.01,0.67,2.33,3.0443999999999996,4.2604,3.5953999999999997
5,authenticate,4,10,0,5,1,3,1,1,0,2,1,4,0,3,0,4,5,2.625,4,1,13.125,4,5,8,4,3,3,1.33,0.67,0,1,4.0592,7.271999999999999,5.6077
6,export activity info,5,11,0,4,2,1,1,0,0,2,0,2,0,2,3,2,10,2.6,7.5,1,26,0,0,20,5,5,5,3.3000000000000003,6.7,0.67,0.33,5.074,6.5100999999999996,5.976500000000001
7,generate course section,5,12,0,4,3,0,1,0,0,1,0,1,0,1,4,1,22,3.0588235294117645,17,6,67.29411764705881,4,0,16,5,5,4,3.63,9.370000000000001,2.0100000000000002,1.99,5.074,7.6127,6.024
8,import district course list,5,11,0,5,2,2,1,0,0,1,0,2,0,1,3,2,9.5,2.142857142857143,7,3,20.357142857142858,4,0,16,5,5,4,1.65,4.35,2.0100000000000002,2.99,5.074,6.4084,5.928999999999999
9,import final schedule,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,input course preference,7,15,0,4,2,1,1,0,0,1,0,1,0,1,6,1,32,3.84,25,9,122.88,12,0,16,7,7,4,3.3,12.7,0,3,7.1036,14.305,10.0486
11,insert course detail,5,11,0,4,2,1,1,0,0,1,0,1,0,1,4,1,20,2.7333333333333334,15,8,54.66666666666667,8,0,12,5,5,3,2.31,8.69,0,2,5.074,5.5733999999999995,5.929
12,set constraints,3,12,0,3,2,1,0,0,0,1,0,1,0,1,2,1,14,4.181818181818182,11,0,58.54545454545455,0,0,12,3,3,3,1.98,4.0200000000000005,0,0,3.0443999999999996,7.1989,5.2389
13,set current semester course,9,17,0,5,3,1,1,0,0,1,0,1,0,1,8,1,47,3.8947368421052633,38,12,183.05263157894737,20,0,16,9,9,4,3.6300000000000003,20.37,2.0100000000000002,8.99,9.133199999999999,25.3585,15.920199999999998
14,update course preference,7,15,0,4,2,1,1,1,0,2,1,3,0,3,4,3,10.666666666666666,4.32,8.333333333333334,1,46.08,12,5,12,7,6,4,2.9800000000000004,7.0200000000000005,0,3,7.1036,14.305,11.644599999999999
15,view enrolled students,3,11,0,3,3,0,0,0,0,1,0,1,0,1,2,1,12,3.888888888888889,9,3,46.666666666666664,0,0,12,3,3,3,2.97,6.030000000000001,0,0,3.0443999999999996,6.1979999999999995,3.6429
16,view final student schedule,3,10,0,3,3,0,0,0,0,1,0,1,0,1,2,1,11,3.75,8,2,41.25,0,0,12,3,3,3,2.64,5.36,0,0,3.0443999999999996,5.1971,3.6429
17,view final teacher schedule,3,10,0,3,1,2,0,0,0,1,0,1,0,1,2,1,12,3.111111111111111,9,2,37.333333333333336,0,10,4,3,1,3,4.33,0.67,0,0,3.0443999999999996,3.5271,3.6429
18,view registered students,3,11,0,2,2,0,0,0,0,1,0,1,0,1,2,1,12,5,9,3,60,0,0,12,3,3,3,2.97,6.030000000000001,0,0,3.0443999999999996,9.079799999999999,5.2389
19,view student progress,2,6,0,3,2,1,0,0,0,1,0,1,0,1,1,1,6,1.5,4,0,9,0,0,8,2,2,2,0.99,2.0100000000000002,0,0,2.0296,2.148,2.3336
