id,element,useCase,type,component
1,User:Edit student profie,View students,control,Editstudentprofie
2,User:Delete student profile,View students,control,Editstudentprofie
3,User:Edit student profie,View students,control,Editstudentprofie
4,User:Display student profile,View students,control,Editstudentprofie
5,Update student profile:Database,View students,entity,Database
6,Delete profile :Database,View students,entity,Database
7,Delete student profile:Delete profile ,View students,control,Deletecustormer
8,Display student profile:Update student profile,View students,control,Editstudentprofie
9,Edit student profie:Update student profile,View students,control,Editstudentprofie
10,Edit student profie:Update student profile,View students,control,Editstudentprofie
11,stl#User:Edit student profie,View students,Stimulus,undefined
12,stl#User:Delete student profile,View students,Stimulus,undefined
13,stl#User:Edit student profie,View students,Stimulus,undefined
14,stl#User:Display student profile,View students,Stimulus,undefined
