id,element,useCase,type,component
1,undefined,View Courses,undefined,Object1
2,stl#undefined,View Courses,Stimulus,undefined
3,User:Select lesson page,View Courses,control,Lessonvalidated
4,User:Homepage,View Courses,boundary,Homepage
5,Display page:Homepage,View Courses,boundary,Homepage
6,Display page:Select lesson page,View Courses,control,Lessonvalidated
7,Lesson validated:Display page,View Courses,control,Displayconfirmation
8,Validate with database:Lesson validated,View Courses,control,Lessonvalidated
9,Select lesson page:Validate with database,View Courses,entity,Database
10,stl#User:Select lesson page,View Courses,Stimulus,undefined
11,stl#User:Homepage,View Courses,Stimulus,undefined
