id,element,useCase,type,component
1,User:Homepage,Create Posting,boundary,Homepage
2,User:fills out relevant information,Create Posting,boundary,uploadrelevantdocuments
3,User:Clicks Create button,Create Posting,boundary,clicksubmitbutton
4,Clicks Create button:generates posting identification data,Create Posting,boundary,selecttheappropriatepostings
5,generates a message to inform the User :Homepage,Create Posting,boundary,Homepage
6,Show confirmation page:Homepage,Create Posting,boundary,Homepage
7,generates a message to inform the User :Posting db,Create Posting,boundary,selecttheappropriatepostings
8,Show confirmation page:Posting db,Create Posting,boundary,selecttheappropriatepostings
9,Posting is created in the system:generates a message to inform the User ,Create Posting,boundary,selecttheappropriatepostings
10,generates posting identification data:Posting is created in the system,Create Posting,boundary,selecttheappropriatepostings
11,Show confirmation page:fills out relevant information,Create Posting,boundary,uploadrelevantdocuments
12,generates posting identification data:Show confirmation page,Create Posting,boundary,Homepage
13,fills out relevant information:generates posting identification data,Create Posting,boundary,selecttheappropriatepostings
14,stl#User:Homepage,Create Posting,Stimulus,undefined
15,stl#User:fills out relevant information,Create Posting,Stimulus,undefined
16,stl#User:Clicks Create button,Create Posting,Stimulus,undefined
