id,element,useCase,type,component
1,User:select the appropriate postings ,Apply,boundary,selecttheappropriatepostings
2,User:click submit button,Apply,boundary,clicksubmitbutton
3,User:Homepage,Apply,boundary,Homepage
4,User:upload relevant documents,Apply,boundary,uploadrelevantdocuments
5,User:fills out relevant data ,Apply,boundary,uploadrelevantdocuments
6,Show confirmation page:Approve Hire db,Apply,boundary,selecttheappropriatepostings
7,Show confirmation page:Homepage,Apply,boundary,Homepage
8,retrieves the posting selected:Show confirmation page,Apply,boundary,Homepage
9,add candidate to applicant list :generate a message to inform User ,Apply,control,generateamessagetoinformUser
10,click submit button:add candidate to applicant list ,Apply,boundary,selecttheappropriatepostings
11,responds with a message confirming :add candidate to applicant list ,Apply,boundary,selecttheappropriatepostings
12,fills out relevant data :responds with a message confirming ,Apply,control,generateamessagetoinformUser
13,retrieves the posting selected:responds with a message confirming ,Apply,control,generateamessagetoinformUser
14,upload relevant documents:responds with a message confirming ,Apply,control,generateamessagetoinformUser
15,select the appropriate postings :retrieves the posting selected,Apply,boundary,selecttheappropriatepostings
16,stl#User:select the appropriate postings ,Apply,Stimulus,undefined
17,stl#User:click submit button,Apply,Stimulus,undefined
18,stl#User:Homepage,Apply,Stimulus,undefined
19,stl#User:upload relevant documents,Apply,Stimulus,undefined
20,stl#User:fills out relevant data ,Apply,Stimulus,undefined
21,User:Homepage,Approve Hire,boundary,Homepage
22,User:marks the user as approved,Approve Hire,boundary,selecttheappropriatepostings
23,User:Approve Hire,Approve Hire,boundary,selecttheappropriatepostings
24,Approve Hire:returns the correct applicant,Approve Hire,boundary,selecttheappropriatepostings
25,Show confirmation page:Approve Hire,Approve Hire,boundary,selecttheappropriatepostings
26,Approve Hire db:Homepage,Approve Hire,boundary,Homepage
27,Show confirmation page:Approve Hire db,Approve Hire,boundary,selecttheappropriatepostings
28,modifies the Applicant profile to reflect User's change:Approve Hire db,Approve Hire,boundary,selecttheappropriatepostings
29,Show confirmation page:Homepage,Approve Hire,boundary,Homepage
30,returns the correct applicant:Show confirmation page,Approve Hire,boundary,Homepage
31,marks the user as approved:modifies the Applicant profile to reflect User's change,Approve Hire,boundary,selecttheappropriatepostings
32,returns the correct applicant:modifies the Applicant profile to reflect User's change,Approve Hire,boundary,selecttheappropriatepostings
33,stl#User:Homepage,Approve Hire,Stimulus,undefined
34,stl#User:marks the user as approved,Approve Hire,Stimulus,undefined
35,stl#User:Approve Hire,Approve Hire,Stimulus,undefined
36,User:fills out all of the required data correctly,Create Account,control,fillsoutalloftherequireddatacorrectly
37,User:Homepage,Create Account,boundary,Homepage
38,User:selects Create an Account ,Create Account,boundary,selecttheappropriatepostings
39,Show confirmation page:Account db,Create Account,entity,Accountdb
40,creates an account for the User:Account db,Create Account,entity,Accountdb
41,creates an account for the User:Homepage,Create Account,boundary,Homepage
42,Show confirmation page:Homepage,Create Account,boundary,Homepage
43,Show confirmation page:selects Create an Account ,Create Account,entity,Accountdb
44,returns a standard information form :Show confirmation page,Create Account,boundary,Homepage
45,fills out all of the required data correctly:creates an account for the User,Create Account,entity,Accountdb
46,returns a standard information form :creates an account for the User,Create Account,entity,Accountdb
47,selects Create an Account :returns a standard information form ,Create Account,control,returnsastandardinformationform
48,stl#User:fills out all of the required data correctly,Create Account,Stimulus,undefined
49,stl#User:Homepage,Create Account,Stimulus,undefined
50,stl#User:selects Create an Account ,Create Account,Stimulus,undefined
51,User:fills in the rest of the details for the new user ,Create Employee Account,control,fillsoutalloftherequireddatacorrectly
52,User:Homepage,Create Employee Account,boundary,Homepage
53,User:enters in a unique login name for the new user,Create Employee Account,control,entersinauniqueloginnameforthenewuser
54,Show confirmation page:Employee Account db,Create Employee Account,entity,Accountdb
55,creates an account for the user and sends an email :Employee Account db,Create Employee Account,entity,Accountdb
56,show confirmation about that the account created and the email sent:Homepage,Create Employee Account,boundary,Homepage
57,Show confirmation page:Homepage,Create Employee Account,boundary,Homepage
58,Show confirmation page:enters in a unique login name for the new user,Create Employee Account,control,entersinauniqueloginnameforthenewuser
59,check the login name is available:Show confirmation page,Create Employee Account,boundary,Homepage
60,check the login name is available:checks to ensure that the new user has correct credentials,Create Employee Account,control,fillsoutalloftherequireddatacorrectly
61,enters in a unique login name for the new user:check the login name is available,Create Employee Account,control,entersinauniqueloginnameforthenewuser
62,checks to ensure that the new user has correct credentials:creates an account for the user and sends an email ,Create Employee Account,control,entersinauniqueloginnameforthenewuser
63,fills in the rest of the details for the new user :checks to ensure that the new user has correct credentials,Create Employee Account,control,fillsoutalloftherequireddatacorrectly
64,creates an account for the user and sends an email :show confirmation about that the account created and the email sent,Create Employee Account,control,fillsoutalloftherequireddatacorrectly
65,stl#User:fills in the rest of the details for the new user ,Create Employee Account,Stimulus,undefined
66,stl#User:Homepage,Create Employee Account,Stimulus,undefined
67,stl#User:enters in a unique login name for the new user,Create Employee Account,Stimulus,undefined
68,User:Homepage,Create Posting,boundary,Homepage
69,User:fills out relevant information,Create Posting,boundary,uploadrelevantdocuments
70,User:Clicks Create button,Create Posting,boundary,clicksubmitbutton
71,Clicks Create button:generates posting identification data,Create Posting,boundary,selecttheappropriatepostings
72,generates a message to inform the User :Homepage,Create Posting,boundary,Homepage
73,Show confirmation page:Homepage,Create Posting,boundary,Homepage
74,generates a message to inform the User :Posting db,Create Posting,boundary,selecttheappropriatepostings
75,Show confirmation page:Posting db,Create Posting,boundary,selecttheappropriatepostings
76,Posting is created in the system:generates a message to inform the User ,Create Posting,boundary,selecttheappropriatepostings
77,generates posting identification data:Posting is created in the system,Create Posting,boundary,selecttheappropriatepostings
78,Show confirmation page:fills out relevant information,Create Posting,boundary,uploadrelevantdocuments
79,generates posting identification data:Show confirmation page,Create Posting,boundary,Homepage
80,fills out relevant information:generates posting identification data,Create Posting,boundary,selecttheappropriatepostings
81,stl#User:Homepage,Create Posting,Stimulus,undefined
82,stl#User:fills out relevant information,Create Posting,Stimulus,undefined
83,stl#User:Clicks Create button,Create Posting,Stimulus,undefined
84,User:selects an appropriate time period to look for data,Create reports,boundary,selecttheappropriatepostings
85,User:Homepage,Create reports,boundary,Homepage
86,User:selects Export Report,Create reports,boundary,selecttheappropriatepostings
87,outputs its Hiring Data in a readable format:Homepage,Create reports,boundary,Homepage
88,outputs its Hiring Data in a readable format:Posting db,Create reports,boundary,selecttheappropriatepostings
89,returns data from the time period:outputs its Hiring Data in a readable format,Create reports,control,fillsoutalloftherequireddatacorrectly
90,selects Export Report:outputs its Hiring Data in a readable format,Create reports,control,fillsoutalloftherequireddatacorrectly
91,selects an appropriate time period to look for data:returns data from the time period,Create reports,boundary,selecttheappropriatepostings
92,stl#User:selects an appropriate time period to look for data,Create reports,Stimulus,undefined
93,stl#User:Homepage,Create reports,Stimulus,undefined
94,stl#User:selects Export Report,Create reports,Stimulus,undefined
95,User:selects the appropriate posting,Delete Employee Account,boundary,selecttheappropriatepostings
96,User:Homepage,Delete Employee Account,boundary,Homepage
97,User:click delete button,Delete Employee Account,boundary,clicksubmitbutton
98,informs User of the successful post deletion:Homepage,Delete Employee Account,boundary,Homepage
99,archives the posting :removes the posting from online view,Delete Employee Account,boundary,selecttheappropriatepostings
100,click delete button:archives the posting ,Delete Employee Account,boundary,selecttheappropriatepostings
101,selects the appropriate posting:archives the posting ,Delete Employee Account,boundary,selecttheappropriatepostings
102,click delete button:removes the posting from online view,Delete Employee Account,boundary,selecttheappropriatepostings
103,removes the posting from online view:informs User of the successful post deletion,Delete Employee Account,boundary,selecttheappropriatepostings
104,removes the posting from online view:posting db,Delete Employee Account,boundary,selecttheappropriatepostings
105,stl#User:selects the appropriate posting,Delete Employee Account,Stimulus,undefined
106,stl#User:Homepage,Delete Employee Account,Stimulus,undefined
107,stl#User:click delete button,Delete Employee Account,Stimulus,undefined
108,User:Delete Posting Page,Delete Posting,boundary,selecttheappropriatepostings
