id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,User:select the appropriate postings -->select the appropriate postings :retrieves the posting selected-->retrieves the posting selected:Show confirmation page-->Show confirmation page:Approve Hire db,Apply,4,4,0,0,0
2,User:select the appropriate postings -->select the appropriate postings :retrieves the posting selected-->retrieves the posting selected:Show confirmation page-->Show confirmation page:Homepage,Apply,4,4,0,0,0
3,User:select the appropriate postings -->select the appropriate postings :retrieves the posting selected-->retrieves the posting selected:responds with a message confirming -->responds with a message confirming :add candidate to applicant list -->add candidate to applicant list :generate a message to inform User ,Apply,5,3,2,0,0
4,User:click submit button-->click submit button:add candidate to applicant list -->add candidate to applicant list :generate a message to inform User ,Apply,3,2,1,0,0
5,User:Homepage,Apply,1,1,0,0,0
6,User:upload relevant documents-->upload relevant documents:responds with a message confirming -->responds with a message confirming :add candidate to applicant list -->add candidate to applicant list :generate a message to inform User ,Apply,4,2,2,0,0
7,User:fills out relevant data -->fills out relevant data :responds with a message confirming -->responds with a message confirming :add candidate to applicant list -->add candidate to applicant list :generate a message to inform User ,Apply,4,2,2,0,0
8,User:Homepage,Approve Hire,1,1,0,0,0
9,User:marks the user as approved-->marks the user as approved:modifies the Applicant profile to reflect User's change-->modifies the Applicant profile to reflect User's change:Approve Hire db-->Approve Hire db:Homepage,Approve Hire,4,4,0,0,0
10,User:Approve Hire-->Approve Hire:returns the correct applicant-->returns the correct applicant:Show confirmation page-->Show confirmation page:Approve Hire-->Approve Hire:returns the correct applicant,Approve Hire,5,5,0,0,0
11,User:Approve Hire-->Approve Hire:returns the correct applicant-->returns the correct applicant:Show confirmation page-->Show confirmation page:Approve Hire db-->Approve Hire db:Homepage,Approve Hire,5,5,0,0,0
12,User:Approve Hire-->Approve Hire:returns the correct applicant-->returns the correct applicant:Show confirmation page-->Show confirmation page:Homepage,Approve Hire,4,4,0,0,0
13,User:Approve Hire-->Approve Hire:returns the correct applicant-->returns the correct applicant:modifies the Applicant profile to reflect User's change-->modifies the Applicant profile to reflect User's change:Approve Hire db-->Approve Hire db:Homepage,Approve Hire,5,5,0,0,0
14,User:fills out all of the required data correctly-->fills out all of the required data correctly:creates an account for the User-->creates an account for the User:Account db,Create Account,3,0,1,2,0
15,User:fills out all of the required data correctly-->fills out all of the required data correctly:creates an account for the User-->creates an account for the User:Homepage,Create Account,3,1,1,1,0
16,User:Homepage,Create Account,1,1,0,0,0
17,User:selects Create an Account -->selects Create an Account :returns a standard information form -->returns a standard information form :Show confirmation page-->Show confirmation page:Account db,Create Account,4,2,1,1,0
18,User:selects Create an Account -->selects Create an Account :returns a standard information form -->returns a standard information form :Show confirmation page-->Show confirmation page:Homepage,Create Account,4,3,1,0,0
19,User:selects Create an Account -->selects Create an Account :returns a standard information form -->returns a standard information form :Show confirmation page-->Show confirmation page:selects Create an Account -->selects Create an Account :returns a standard information form ,Create Account,5,2,2,1,0
20,User:selects Create an Account -->selects Create an Account :returns a standard information form -->returns a standard information form :creates an account for the User-->creates an account for the User:Account db,Create Account,4,1,1,2,0
21,User:selects Create an Account -->selects Create an Account :returns a standard information form -->returns a standard information form :creates an account for the User-->creates an account for the User:Homepage,Create Account,4,2,1,1,0
22,User:fills in the rest of the details for the new user -->fills in the rest of the details for the new user :checks to ensure that the new user has correct credentials-->checks to ensure that the new user has correct credentials:creates an account for the user and sends an email -->creates an account for the user and sends an email :Employee Account db,Create Employee Account,4,0,3,1,0
23,User:fills in the rest of the details for the new user -->fills in the rest of the details for the new user :checks to ensure that the new user has correct credentials-->checks to ensure that the new user has correct credentials:creates an account for the user and sends an email -->creates an account for the user and sends an email :show confirmation about that the account created and the email sent-->show confirmation about that the account created and the email sent:Homepage,Create Employee Account,5,1,4,0,0
24,User:Homepage,Create Employee Account,1,1,0,0,0
25,User:enters in a unique login name for the new user-->enters in a unique login name for the new user:check the login name is available-->check the login name is available:Show confirmation page-->Show confirmation page:Employee Account db,Create Employee Account,4,1,2,1,0
