id, function, functional, DET, FTR, boundaries, controls, entities, typeStr
1,User:fills out relevant data -->fills out relevant data :responds with a message confirming -->responds with a message confirming :add candidate to applicant list -->add candidate to applicant list :generate a message to inform User ,EQ,0,4,2,2,0,boundary->control->boundary->control
2,User:upload relevant documents-->upload relevant documents:responds with a message confirming -->responds with a message confirming :add candidate to applicant list -->add candidate to applicant list :generate a message to inform User ,EQ,0,4,2,2,0,boundary->control->boundary->control
3,User:Homepage,EQ,0,1,1,0,0,boundary
4,User:click submit button-->click submit button:add candidate to applicant list -->add candidate to applicant list :generate a message to inform User ,EI,0,3,2,1,0,boundary->boundary->control
5,User:select the appropriate postings -->select the appropriate postings :retrieves the posting selected-->retrieves the posting selected:responds with a message confirming -->responds with a message confirming :add candidate to applicant list -->add candidate to applicant list :generate a message to inform User ,EQ,0,5,3,2,0,boundary->boundary->control->boundary->control
6,User:select the appropriate postings -->select the appropriate postings :retrieves the posting selected-->retrieves the posting selected:Show confirmation page-->Show confirmation page:Homepage,EQ,0,4,4,0,0,boundary->boundary->boundary->boundary
7,User:select the appropriate postings -->select the appropriate postings :retrieves the posting selected-->retrieves the posting selected:Show confirmation page-->Show confirmation page:Approve Hire db,EQ,1,4,4,0,0,boundary->boundary->boundary->boundary
8,User:Approve Hire-->Approve Hire:returns the correct applicant-->returns the correct applicant:modifies the Applicant profile to reflect User's change-->modifies the Applicant profile to reflect User's change:Approve Hire db-->Approve Hire db:Homepage,EQ,0,5,5,0,0,boundary->boundary->boundary->boundary->boundary
9,User:Approve Hire-->Approve Hire:returns the correct applicant-->returns the correct applicant:Show confirmation page-->Show confirmation page:Homepage,EQ,0,4,4,0,0,boundary->boundary->boundary->boundary
10,User:Approve Hire-->Approve Hire:returns the correct applicant-->returns the correct applicant:Show confirmation page-->Show confirmation page:Approve Hire db-->Approve Hire db:Homepage,EQ,1,5,5,0,0,boundary->boundary->boundary->boundary->boundary
11,User:Approve Hire-->Approve Hire:returns the correct applicant-->returns the correct applicant:Show confirmation page-->Show confirmation page:Approve Hire-->Approve Hire:returns the correct applicant,EQ,1,5,5,0,0,boundary->boundary->boundary->boundary->boundary
12,User:marks the user as approved-->marks the user as approved:modifies the Applicant profile to reflect User's change-->modifies the Applicant profile to reflect User's change:Approve Hire db-->Approve Hire db:Homepage,EQ,0,4,4,0,0,boundary->boundary->boundary->boundary
13,User:selects Create an Account -->selects Create an Account :returns a standard information form -->returns a standard information form :creates an account for the User-->creates an account for the User:Homepage,EQ,2,4,2,1,1,boundary->control->entity->boundary
14,User:selects Create an Account -->selects Create an Account :returns a standard information form -->returns a standard information form :creates an account for the User-->creates an account for the User:Account db,EI,1,4,1,1,2,boundary->control->entity->entity
15,User:selects Create an Account -->selects Create an Account :returns a standard information form -->returns a standard information form :Show confirmation page-->Show confirmation page:selects Create an Account -->selects Create an Account :returns a standard information form ,EQ,0,5,2,2,1,boundary->control->boundary->entity->control
16,User:selects Create an Account -->selects Create an Account :returns a standard information form -->returns a standard information form :Show confirmation page-->Show confirmation page:Homepage,EQ,0,4,3,1,0,boundary->control->boundary->boundary
17,User:selects Create an Account -->selects Create an Account :returns a standard information form -->returns a standard information form :Show confirmation page-->Show confirmation page:Account db,EQ,1,4,2,1,1,boundary->control->boundary->entity
18,User:fills out all of the required data correctly-->fills out all of the required data correctly:creates an account for the User-->creates an account for the User:Homepage,EO,2,3,1,1,1,control->entity->boundary
19,User:fills out all of the required data correctly-->fills out all of the required data correctly:creates an account for the User-->creates an account for the User:Account db,EI,1,3,0,1,2,control->entity->entity
20,User:enters in a unique login name for the new user-->enters in a unique login name for the new user:check the login name is available-->check the login name is available:checks to ensure that the new user has correct credentials-->checks to ensure that the new user has correct credentials:creates an account for the user and sends an email -->creates an account for the user and sends an email :show confirmation about that the account created and the email sent-->show confirmation about that the account created and the email sent:Homepage,EO,1,6,1,5,0,control->control->control->control->control->boundary
21,User:enters in a unique login name for the new user-->enters in a unique login name for the new user:check the login name is available-->check the login name is available:checks to ensure that the new user has correct credentials-->checks to ensure that the new user has correct credentials:creates an account for the user and sends an email -->creates an account for the user and sends an email :Employee Account db,EI,0,5,0,4,1,control->control->control->control->entity
22,User:enters in a unique login name for the new user-->enters in a unique login name for the new user:check the login name is available-->check the login name is available:Show confirmation page-->Show confirmation page:enters in a unique login name for the new user-->enters in a unique login name for the new user:check the login name is available,EQ,0,5,1,4,0,control->control->boundary->control->control
23,User:enters in a unique login name for the new user-->enters in a unique login name for the new user:check the login name is available-->check the login name is available:Show confirmation page-->Show confirmation page:Homepage,EO,0,4,2,2,0,control->control->boundary->boundary
24,User:enters in a unique login name for the new user-->enters in a unique login name for the new user:check the login name is available-->check the login name is available:Show confirmation page-->Show confirmation page:Employee Account db,EQ,1,4,1,2,1,control->control->boundary->entity
25,User:fills in the rest of the details for the new user -->fills in the rest of the details for the new user :checks to ensure that the new user has correct credentials-->checks to ensure that the new user has correct credentials:creates an account for the user and sends an email -->creates an account for the user and sends an email :show confirmation about that the account created and the email sent-->show confirmation about that the account created and the email sent:Homepage,EO,1,5,1,4,0,control->control->control->control->boundary
26,User:fills in the rest of the details for the new user -->fills in the rest of the details for the new user :checks to ensure that the new user has correct credentials-->checks to ensure that the new user has correct credentials:creates an account for the user and sends an email -->creates an account for the user and sends an email :Employee Account db,EI,0,4,0,3,1,control->control->control->entity
27,User:Clicks Create button-->Clicks Create button:generates posting identification data-->generates posting identification data:Show confirmation page-->Show confirmation page:fills out relevant information-->fills out relevant information:generates posting identification data-->generates posting identification data:Show confirmation page,EQ,3,6,6,0,0,boundary->boundary->boundary->boundary->boundary->boundary
28,User:Clicks Create button-->Clicks Create button:generates posting identification data-->generates posting identification data:Show confirmation page-->Show confirmation page:fills out relevant information-->fills out relevant information:generates posting identification data-->generates posting identification data:Posting is created in the system-->Posting is created in the system:generates a message to inform the User -->generates a message to inform the User :Posting db,EQ,2,8,8,0,0,boundary->boundary->boundary->boundary->boundary->boundary->boundary->boundary
29,User:Clicks Create button-->Clicks Create button:generates posting identification data-->generates posting identification data:Show confirmation page-->Show confirmation page:fills out relevant information-->fills out relevant information:generates posting identification data-->generates posting identification data:Posting is created in the system-->Posting is created in the system:generates a message to inform the User -->generates a message to inform the User :Homepage,EQ,3,8,8,0,0,boundary->boundary->boundary->boundary->boundary->boundary->boundary->boundary
30,User:Clicks Create button-->Clicks Create button:generates posting identification data-->generates posting identification data:Show confirmation page-->Show confirmation page:Posting db,EQ,2,4,4,0,0,boundary->boundary->boundary->boundary
31,User:Clicks Create button-->Clicks Create button:generates posting identification data-->generates posting identification data:Show confirmation page-->Show confirmation page:Homepage,EQ,1,4,4,0,0,boundary->boundary->boundary->boundary
32,User:Clicks Create button-->Clicks Create button:generates posting identification data-->generates posting identification data:Posting is created in the system-->Posting is created in the system:generates a message to inform the User -->generates a message to inform the User :Posting db,EQ,0,5,5,0,0,boundary->boundary->boundary->boundary->boundary
33,User:Clicks Create button-->Clicks Create button:generates posting identification data-->generates posting identification data:Posting is created in the system-->Posting is created in the system:generates a message to inform the User -->generates a message to inform the User :Homepage,EQ,1,5,5,0,0,boundary->boundary->boundary->boundary->boundary
34,User:fills out relevant information-->fills out relevant information:generates posting identification data-->generates posting identification data:Show confirmation page-->Show confirmation page:fills out relevant information-->fills out relevant information:generates posting identification data,EQ,2,5,5,0,0,boundary->boundary->boundary->boundary->boundary
35,User:fills out relevant information-->fills out relevant information:generates posting identification data-->generates posting identification data:Show confirmation page-->Show confirmation page:Posting db,EQ,2,4,4,0,0,boundary->boundary->boundary->boundary
36,User:fills out relevant information-->fills out relevant information:generates posting identification data-->generates posting identification data:Show confirmation page-->Show confirmation page:Homepage,EQ,1,4,4,0,0,boundary->boundary->boundary->boundary
37,User:fills out relevant information-->fills out relevant information:generates posting identification data-->generates posting identification data:Posting is created in the system-->Posting is created in the system:generates a message to inform the User -->generates a message to inform the User :Posting db,EQ,0,5,5,0,0,boundary->boundary->boundary->boundary->boundary
38,User:fills out relevant information-->fills out relevant information:generates posting identification data-->generates posting identification data:Posting is created in the system-->Posting is created in the system:generates a message to inform the User -->generates a message to inform the User :Homepage,EQ,1,5,5,0,0,boundary->boundary->boundary->boundary->boundary
39,User:selects Export Report-->selects Export Report:outputs its Hiring Data in a readable format-->outputs its Hiring Data in a readable format:Posting db,EQ,1,3,2,1,0,boundary->control->boundary
40,User:selects Export Report-->selects Export Report:outputs its Hiring Data in a readable format-->outputs its Hiring Data in a readable format:Homepage,EQ,1,3,2,1,0,boundary->control->boundary
