id, function, functional, DET, FTR, boundaries, controls, entities, typeStr
1,User:success message,EQ,0,1,1,0,0,boundary
2,User:role validation failed message-->role validation failed message:validation failed message,EQ,0,2,2,0,0,boundary->boundary
3,User:user information page-->user information page:insert the new username and password into the user db-->insert the new username and password into the user db:user info,EI,1,3,0,1,2,entity->control->entity
4,User:user information page-->user information page:insert the new username and password into the user db-->insert the new username and password into the user db:return generate success message-->return generate success message:success message,EO,2,4,2,1,1,entity->control->boundary->boundary
5,User:validation failed message,EQ,0,1,1,0,0,boundary
6,User:"create user" button-->"create user" button:validate the role of user-->validate the role of user:user info,EQ,1,3,1,0,2,entity->boundary->entity
7,User:"create user" button-->"create user" button:validate the role of user-->validate the role of user:role validation failed message-->role validation failed message:validation failed message,EO,0,4,3,0,1,entity->boundary->boundary->boundary
8,User:"create user" button-->"create user" button:validate the role of user-->validate the role of user:generate a random password for the username-->generate a random password for the username:user information page-->user information page:insert the new username and password into the user db-->insert the new username and password into the user db:user info,EQ,2,6,1,2,3,entity->boundary->control->entity->control->entity
9,User:"create user" button-->"create user" button:validate the role of user-->validate the role of user:generate a random password for the username-->generate a random password for the username:user information page-->user information page:insert the new username and password into the user db-->insert the new username and password into the user db:return generate success message-->return generate success message:success message,EQ,3,7,3,2,2,entity->boundary->control->entity->control->boundary->boundary
10,User:"create user" button-->"create user" button:validate the role of user-->validate the role of user:generate a random password for the username-->generate a random password for the username:insert the new username and password into the user db-->insert the new username and password into the user db:user info,EQ,1,5,1,2,2,entity->boundary->control->control->entity
11,User:"create user" button-->"create user" button:validate the role of user-->validate the role of user:generate a random password for the username-->generate a random password for the username:insert the new username and password into the user db-->insert the new username and password into the user db:return generate success message-->return generate success message:success message,EQ,2,6,3,2,1,entity->boundary->control->control->boundary->boundary
12,User:file download interface,EQ,0,1,0,1,0,control
13,User:specific document record-->specific document record:validate the role of users-->validate the role of users:validation failed message,EQ,0,3,3,0,0,boundary->boundary->boundary
14,User:specific document record-->specific document record:validate the role of users-->validate the role of users:user,EI,1,3,2,0,1,boundary->boundary->entity
15,User:specific document record-->specific document record:validate the role of users-->validate the role of users:download the document-->download the document:file download interface,EI,0,4,2,2,0,boundary->boundary->control->control
16,User:Create new case button-->Create new case button:validate the role of users-->validate the role of users:validation failed message,EO,0,3,2,1,0,control->boundary->boundary
17,User:Create new case button-->Create new case button:validate the role of users-->validate the role of users:user,EQ,1,3,1,1,1,control->boundary->entity
18,User:Create new case button-->Create new case button:validate the role of users-->validate the role of users:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:validation failed message,EO,1,5,4,1,0,control->boundary->boundary->boundary->boundary
19,User:Create new case button-->Create new case button:validate the role of users-->validate the role of users:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:user,EQ,2,5,3,1,1,control->boundary->boundary->boundary->entity
20,User:Create new case button-->Create new case button:validate the role of users-->validate the role of users:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:insert case into case database-->insert case into case database:case information,EQ,2,6,3,2,1,control->boundary->boundary->boundary->control->entity
21,User:Create new case button-->Create new case button:validate the role of users-->validate the role of users:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:insert case into case database-->insert case into case database:Insert success message-->Insert success message:print the document-->print the document:printer,EQ,4,8,5,2,1,control->boundary->boundary->boundary->control->boundary->boundary->entity
22,User:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:validation failed message,EQ,1,3,3,0,0,boundary->boundary->boundary
23,User:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:user,EI,2,3,2,0,1,boundary->boundary->entity
24,User:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:insert case into case database-->insert case into case database:case information,EI,2,4,2,1,1,boundary->boundary->control->entity
25,User:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:insert case into case database-->insert case into case database:Insert success message-->Insert success message:print the document-->print the document:printer,EQ,4,6,4,1,1,boundary->boundary->control->boundary->boundary->entity
26,User:Insert success message-->Insert success message:print the document-->print the document:printer,EI,1,3,2,0,1,boundary->boundary->entity
27,User:add vew button-->add vew button:return activity description page-->return activity description page:user,EI,1,3,2,0,1,boundary->boundary->entity
28,User:add vew button-->add vew button:return activity description page-->return activity description page:information input page-->information input page:validate the descirpiton of activity-->validate the descirpiton of activity:insert activity into case-->insert activity into case:use information page,EQ,1,6,5,1,0,boundary->boundary->boundary->boundary->control->boundary
29,User:add vew button-->add vew button:return activity description page-->return activity description page:information input page-->information input page:validate the descirpiton of activity-->validate the descirpiton of activity:insert activity into case-->insert activity into case:case info,EI,2,6,4,1,1,boundary->boundary->boundary->boundary->control->entity
30,User:add vew button-->add vew button:return activity description page-->return activity description page:information input page-->information input page:validate the descirpiton of activity-->validate the descirpiton of activity:description should not be blank message,EQ,0,5,5,0,0,boundary->boundary->boundary->boundary->boundary
31,User:information input page-->information input page:validate the descirpiton of activity-->validate the descirpiton of activity:insert activity into case-->insert activity into case:use information page,EQ,1,4,3,1,0,boundary->boundary->control->boundary
32,User:information input page-->information input page:validate the descirpiton of activity-->validate the descirpiton of activity:insert activity into case-->insert activity into case:case info,EI,2,4,2,1,1,boundary->boundary->control->entity
33,User:information input page-->information input page:validate the descirpiton of activity-->validate the descirpiton of activity:description should not be blank message,EQ,0,3,3,0,0,boundary->boundary->boundary
34,User:use information page,EQ,0,1,1,0,0,boundary
35,User:description should not be blank message,EQ,0,1,1,0,0,boundary
36,User:login page-->login page:validate the entries-->validate the entries:wrong user info message,EI,2,3,2,0,1,boundary->boundary->entity
37,User:login page-->login page:validate the entries-->validate the entries:check existing users-->check existing users:redirect the user to the corresponding role's main page-->redirect the user to the corresponding role's main page:corresponding role's main page,EQ,2,5,3,1,1,boundary->boundary->entity->control->boundary
38,User:login page-->login page:validate the entries-->validate the entries:check existing users-->check existing users:User info,EI,1,4,2,0,2,boundary->boundary->entity->entity
39,User:login page-->login page:validate the entries-->validate the entries:User info,EI,2,3,2,0,1,boundary->boundary->entity
40,User:corresponding role's main page,EQ,0,1,1,0,0,boundary
41,User:wrong user info message,EQ,1,1,0,0,1,entity
42,User:status chage success message,EQ,0,1,1,0,0,boundary
43,User:wrong action message,EQ,0,1,1,0,0,boundary
44,User:role validation failed message,EQ,0,1,1,0,0,boundary
45,User:"Use Management" button-->"Use Management" button:validate the role of user-->validate the role of user:user info,EI,1,3,2,0,1,boundary->boundary->entity
46,User:"Use Management" button-->"Use Management" button:validate the role of user-->validate the role of user:role validation failed message,EQ,0,3,3,0,0,boundary->boundary->boundary
