id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,User:specific document record-->specific document record:validate the role of users-->validate the role of users:download the document-->download the document:file download interface,Create a limited user_admin,4,2,2,0,0
2,User:specific document record-->specific document record:validate the role of users-->validate the role of users:user,Create a limited user_admin,3,2,0,1,0
3,User:specific document record-->specific document record:validate the role of users-->validate the role of users:validation failed message,Create a limited user_admin,3,3,0,0,0
4,User:validation failed message,Create a limited user_admin,1,1,0,0,0
5,User:file download interface,Create a limited user_admin,1,0,1,0,0
6,User:"create user" button-->"create user" button:validate the role of user-->validate the role of user:generate a random password for the username-->generate a random password for the username:insert the new username and password into the user db-->insert the new username and password into the user db:return generate success message-->return generate success message:success message,Create a limited user_admin,6,3,2,1,0
7,User:"create user" button-->"create user" button:validate the role of user-->validate the role of user:generate a random password for the username-->generate a random password for the username:insert the new username and password into the user db-->insert the new username and password into the user db:user info,Create a limited user_admin,5,1,2,2,0
8,User:"create user" button-->"create user" button:validate the role of user-->validate the role of user:generate a random password for the username-->generate a random password for the username:user information page-->user information page:insert the new username and password into the user db-->insert the new username and password into the user db:return generate success message-->return generate success message:success message,Create a limited user_admin,7,3,2,2,0
9,User:"create user" button-->"create user" button:validate the role of user-->validate the role of user:generate a random password for the username-->generate a random password for the username:user information page-->user information page:insert the new username and password into the user db-->insert the new username and password into the user db:user info,Create a limited user_admin,6,1,2,3,0
10,User:"create user" button-->"create user" button:validate the role of user-->validate the role of user:role validation failed message-->role validation failed message:validation failed message,Create a limited user_admin,4,3,0,1,0
11,User:"create user" button-->"create user" button:validate the role of user-->validate the role of user:user info,Create a limited user_admin,3,1,0,2,0
12,User:validation failed message,Create a limited user_admin,1,1,0,0,0
13,User:user information page-->user information page:insert the new username and password into the user db-->insert the new username and password into the user db:return generate success message-->return generate success message:success message,Create a limited user_admin,4,2,1,1,0
14,User:user information page-->user information page:insert the new username and password into the user db-->insert the new username and password into the user db:user info,Create a limited user_admin,3,0,1,2,0
15,User:role validation failed message-->role validation failed message:validation failed message,Create a limited user_admin,2,2,0,0,0
16,User:success message,Create a limited user_admin,1,1,0,0,0
17,User:validation failed message,Create new case,1,1,0,0,0
18,User:Insert success message-->Insert success message:print the document-->print the document:printer,Create new case,3,2,0,1,0
19,User:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:insert case into case database-->insert case into case database:Insert success message-->Insert success message:print the document-->print the document:printer,Create new case,6,4,1,1,0
20,User:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:insert case into case database-->insert case into case database:case information,Create new case,4,2,1,1,0
21,User:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:user,Create new case,3,2,0,1,0
22,User:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:validation failed message,Create new case,3,3,0,0,0
23,User:validation failed message,Create new case,1,1,0,0,0
24,User:Create new case button-->Create new case button:validate the role of users-->validate the role of users:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:insert case into case database-->insert case into case database:Insert success message-->Insert success message:print the document-->print the document:printer,Create new case,8,5,2,1,0
25,User:Create new case button-->Create new case button:validate the role of users-->validate the role of users:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:insert case into case database-->insert case into case database:case information,Create new case,6,3,2,1,0
26,User:Create new case button-->Create new case button:validate the role of users-->validate the role of users:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:user,Create new case,5,3,1,1,0
27,User:Create new case button-->Create new case button:validate the role of users-->validate the role of users:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:validation failed message,Create new case,5,4,1,0,0
28,User:Create new case button-->Create new case button:validate the role of users-->validate the role of users:user,Create new case,3,1,1,1,0
29,User:Create new case button-->Create new case button:validate the role of users-->validate the role of users:validation failed message,Create new case,3,2,1,0,0
30,User:description should not be blank message,Log activity,1,1,0,0,0
31,User:use information page,Log activity,1,1,0,0,0
32,User:information input page-->information input page:validate the descirpiton of activity-->validate the descirpiton of activity:description should not be blank message,Log activity,3,3,0,0,0
33,User:information input page-->information input page:validate the descirpiton of activity-->validate the descirpiton of activity:insert activity into case-->insert activity into case:case info,Log activity,4,2,1,1,0
34,User:information input page-->information input page:validate the descirpiton of activity-->validate the descirpiton of activity:insert activity into case-->insert activity into case:use information page,Log activity,4,3,1,0,0
35,User:add vew button-->add vew button:return activity description page-->return activity description page:information input page-->information input page:validate the descirpiton of activity-->validate the descirpiton of activity:description should not be blank message,Log activity,5,5,0,0,0
36,User:add vew button-->add vew button:return activity description page-->return activity description page:information input page-->information input page:validate the descirpiton of activity-->validate the descirpiton of activity:insert activity into case-->insert activity into case:case info,Log activity,6,4,1,1,0
37,User:add vew button-->add vew button:return activity description page-->return activity description page:information input page-->information input page:validate the descirpiton of activity-->validate the descirpiton of activity:insert activity into case-->insert activity into case:use information page,Log activity,6,5,1,0,0
38,User:add vew button-->add vew button:return activity description page-->return activity description page:user,Log activity,3,2,0,1,0
39,User:wrong user info message,View document,1,0,0,1,0
40,User:corresponding role's main page,View document,1,1,0,0,0
41,User:login page-->login page:validate the entries-->validate the entries:User info,View document,3,2,0,1,0
42,User:login page-->login page:validate the entries-->validate the entries:check existing users-->check existing users:User info,View document,4,2,0,2,0
43,User:login page-->login page:validate the entries-->validate the entries:check existing users-->check existing users:redirect the user to the corresponding role's main page-->redirect the user to the corresponding role's main page:corresponding role's main page,View document,5,3,1,1,0
44,User:login page-->login page:validate the entries-->validate the entries:wrong user info message,View document,3,2,0,1,0
45,User:user information page-->user information page:check the status of user-->check the status of user:activate user status-->activate user status:user info,activate user,4,0,0,4,0
46,User:user information page-->user information page:check the status of user-->check the status of user:activate user status-->activate user status:status chage success message,activate user,4,1,0,3,0
47,User:user information page-->user information page:check the status of user-->check the status of user:wrong action message,activate user,3,1,0,2,0
48,User:"Use Management" button-->"Use Management" button:validate the role of user-->validate the role of user:return to the user information page-->return to the user information page:user information page-->user information page:check the status of user-->check the status of user:activate user status-->activate user status:user info,activate user,7,2,0,5,0
49,User:"Use Management" button-->"Use Management" button:validate the role of user-->validate the role of user:return to the user information page-->return to the user information page:user information page-->user information page:check the status of user-->check the status of user:activate user status-->activate user status:status chage success message,activate user,7,3,0,4,0
50,User:"Use Management" button-->"Use Management" button:validate the role of user-->validate the role of user:return to the user information page-->return to the user information page:user information page-->user information page:check the status of user-->check the status of user:wrong action message,activate user,6,3,0,3,0
51,User:"Use Management" button-->"Use Management" button:validate the role of user-->validate the role of user:role validation failed message,activate user,3,3,0,0,0
52,User:"Use Management" button-->"Use Management" button:validate the role of user-->validate the role of user:user info,activate user,3,2,0,1,0
53,User:role validation failed message,activate user,1,1,0,0,0
54,User:wrong action message,activate user,1,1,0,0,0
55,User:status chage success message,activate user,1,1,0,0,0
56,User:corresponding role's main page,check case information,1,1,0,0,0
57,User:case list-->case list:Send request to case database-->Send request to case database:return to the case information page-->return to the case information page:case information page,check case information,4,4,0,0,0
