id,transaction,useCase,transactional, TL, DETs, TD, TC, Arch_Diff
1,User:success message,Create a limited user_admin,CTRL;EXTCLL;INT,2,0,13,1,26
2,User:role validation failed message-->role validation failed message:validation failed message,Create a limited user_admin,TRAN_NA,3,0,13,2,39
3,User:user information page-->user information page:insert the new username and password into the user db-->insert the new username and password into the user db:user info,Create a limited user_admin,TRAN_NA,4,1,6,3,24
4,User:user information page-->user information page:insert the new username and password into the user db-->insert the new username and password into the user db:return generate success message-->return generate success message:success message,Create a limited user_admin,TRAN_NA,5,2,9.25,4,46.25
5,User:validation failed message,Create a limited user_admin,CTRL;EXTCLL;INT,2,0,13,1,26
6,User:"create user" button-->"create user" button:validate the role of user-->validate the role of user:user info,Create a limited user_admin,TRAN_NA,4,1,9,3,36
7,User:"create user" button-->"create user" button:validate the role of user-->validate the role of user:role validation failed message-->role validation failed message:validation failed message,Create a limited user_admin,TRAN_NA,5,0,11.5,4,57.5
8,User:"create user" button-->"create user" button:validate the role of user-->validate the role of user:generate a random password for the username-->generate a random password for the username:user information page-->user information page:insert the new username and password into the user db-->insert the new username and password into the user db:user info,Create a limited user_admin,TRAN_NA,7,2,7,6,49
9,User:"create user" button-->"create user" button:validate the role of user-->validate the role of user:generate a random password for the username-->generate a random password for the username:user information page-->user information page:insert the new username and password into the user db-->insert the new username and password into the user db:return generate success message-->return generate success message:success message,Create a limited user_admin,TRAN_NA,8,3,8.714285714285714,7,69.71428571428571
10,User:"create user" button-->"create user" button:validate the role of user-->validate the role of user:generate a random password for the username-->generate a random password for the username:insert the new username and password into the user db-->insert the new username and password into the user db:user info,Create a limited user_admin,TRAN_NA,6,1,7,5,42
11,User:"create user" button-->"create user" button:validate the role of user-->validate the role of user:generate a random password for the username-->generate a random password for the username:insert the new username and password into the user db-->insert the new username and password into the user db:return generate success message-->return generate success message:success message,Create a limited user_admin,TRAN_NA,7,2,9,6,63
12,User:file download interface,Create a limited user_admin,CTRL,2,0,3,1,6
13,User:specific document record-->specific document record:validate the role of users-->validate the role of users:validation failed message,Create a limited user_admin,TRAN_NA,4,0,9,3,36
14,User:specific document record-->specific document record:validate the role of users-->validate the role of users:user,Create a limited user_admin,TRAN_NA,4,1,7,3,28
15,User:specific document record-->specific document record:validate the role of users-->validate the role of users:download the document-->download the document:file download interface,Create a limited user_admin,TRAN_NA,5,0,5,4,25
16,User:Create new case button-->Create new case button:validate the role of users-->validate the role of users:validation failed message,Create new case,TRAN_NA,4,0,8,3,32
17,User:Create new case button-->Create new case button:validate the role of users-->validate the role of users:user,Create new case,TRAN_NA,4,1,5.666666666666667,3,22.666666666666668
18,User:Create new case button-->Create new case button:validate the role of users-->validate the role of users:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:validation failed message,Create new case,TRAN_NA,6,1,9.2,5,55.199999999999996
19,User:Create new case button-->Create new case button:validate the role of users-->validate the role of users:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:user,Create new case,TRAN_NA,6,2,7.8,5,46.8
20,User:Create new case button-->Create new case button:validate the role of users-->validate the role of users:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:insert case into case database-->insert case into case database:case information,Create new case,TRAN_NA,7,2,6.833333333333333,6,47.83333333333333
21,User:Create new case button-->Create new case button:validate the role of users-->validate the role of users:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:insert case into case database-->insert case into case database:Insert success message-->Insert success message:print the document-->print the document:printer,Create new case,TRAN_NA,9,4,6.75,8,60.75
22,User:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:validation failed message,Create new case,TRAN_NA,4,1,11,3,44
23,User:case information page-->case information page:validate the ifnoramtion from case information page-->validate the ifnoramtion from case information page:user,Create new case,TRAN_NA,4,2,8.666666666666666,3,34.666666666666664
