id,element,useCase,type,component
1,administrator:survey list,start a new survey,boundary,questionlist
2,administrator:new survey button,start a new survey,boundary,quitwithoutsavingbutton
3,administrator:path list,start a new survey,boundary,questionlist
4,administrator:shcool list,start a new survey,boundary,questionlist
5,retrive school path and survey:answer,start a new survey,control,answerstorage
6,display path list:path list,start a new survey,boundary,questionlist
7,display path list:display survey list and question list,start a new survey,boundary,questionlist
8,display path list:survey list,start a new survey,boundary,questionlist
9,shcool list:display path list,start a new survey,entity,executefeaturenaanddisplaycategories
10,display school list:shcool list,start a new survey,boundary,questionlist
11,retrive school path and survey:display school list,start a new survey,entity,executefeaturenaanddisplaycategories
12,display survey list and question list:survey list,start a new survey,boundary,questionlist
13,display survey list and question list:question db,start a new survey,boundary,questionlist
14,new survey button:send request,start a new survey,boundary,questionlist
15,new survey button:retrive school path and survey,start a new survey,entity,executefeaturenaanddisplaycategories
16,retrive school path and survey:survey list,start a new survey,boundary,questionlist
17,send request:retrive school path and survey,start a new survey,entity,executefeaturenaanddisplaycategories
18,send request:survey list,start a new survey,boundary,questionlist
19,stl#administrator:survey list,start a new survey,Stimulus,undefined
20,stl#administrator:new survey button,start a new survey,Stimulus,undefined
21,stl#administrator:path list,start a new survey,Stimulus,undefined
22,stl#administrator:shcool list,start a new survey,Stimulus,undefined
