id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#administrator:success message-->administrator:success message,delete a path,CTRL;EXTCLL;INT,2,0,4,1,8
2,stl#administrator:no answer under path message-->administrator:no answer under path message,delete a path,CTRL;EXTCLL;INT,2,0,4,1,8
3,stl#administrator:path list-->administrator:path list-->path list:check related answers under paths-->check related answers under paths:path and location information,delete a path,TRAN_NA,4,1,6,3,24
4,stl#administrator:path list-->administrator:path list-->path list:check related answers under paths-->check related answers under paths:school informaiton,delete a path,TRAN_NA,4,1,6,3,24
5,stl#administrator:path list-->administrator:path list-->path list:check related answers under paths-->check related answers under paths:prompt confirmation page-->prompt confirmation page:confirmation page-->confirmation page:delete the path and answers-->delete the path and answers:success message,delete a path,TRAN_NA,7,2,5.833333333333333,6,40.83333333333333
6,stl#administrator:path list-->administrator:path list-->path list:check related answers under paths-->check related answers under paths:prompt confirmation page-->prompt confirmation page:confirmation page-->confirmation page:delete the path and answers-->delete the path and answers:no answer under path message,delete a path,TRAN_NA,7,2,5.833333333333333,6,40.83333333333333
7,stl#administrator:path list-->administrator:path list-->path list:check related answers under paths-->check related answers under paths:prompt confirmation page-->prompt confirmation page:confirmation page-->confirmation page:delete the path and answers-->delete the path and answers:path and location information,delete a path,TRAN_NA,7,2,6.333333333333333,6,44.33333333333333
8,stl#administrator:confirmation page-->administrator:confirmation page-->confirmation page:delete the path and answers-->delete the path and answers:success message,delete a path,TRAN_NA,4,1,5.666666666666667,3,22.666666666666668
9,stl#administrator:confirmation page-->administrator:confirmation page-->confirmation page:delete the path and answers-->delete the path and answers:no answer under path message,delete a path,TRAN_NA,4,1,5.666666666666667,3,22.666666666666668
10,stl#administrator:confirmation page-->administrator:confirmation page-->confirmation page:delete the path and answers-->delete the path and answers:path and location information,delete a path,TRAN_NA,4,1,6.666666666666667,3,26.666666666666668
11,stl#administrator:school list page-->administrator:school list page-->school list page:load path list form db-->load path list form db:path list-->path list:check related answers under paths-->check related answers under paths:path and location information,delete a path,TRAN_NA,6,1,5.6,5,33.599999999999994
12,stl#administrator:school list page-->administrator:school list page-->school list page:load path list form db-->load path list form db:path list-->path list:check related answers under paths-->check related answers under paths:school informaiton,delete a path,TRAN_NA,6,1,5.6,5,33.599999999999994
13,stl#administrator:school list page-->administrator:school list page-->school list page:load path list form db-->load path list form db:path list-->path list:check related answers under paths-->check related answers under paths:prompt confirmation page-->prompt confirmation page:confirmation page-->confirmation page:delete the path and answers-->delete the path and answers:success message,delete a path,TRAN_NA,9,2,5.625,8,50.625
14,stl#administrator:school list page-->administrator:school list page-->school list page:load path list form db-->load path list form db:path list-->path list:check related answers under paths-->check related answers under paths:prompt confirmation page-->prompt confirmation page:confirmation page-->confirmation page:delete the path and answers-->delete the path and answers:no answer under path message,delete a path,TRAN_NA,9,2,5.625,8,50.625
15,stl#administrator:school list page-->administrator:school list page-->school list page:load path list form db-->load path list form db:path list-->path list:check related answers under paths-->check related answers under paths:prompt confirmation page-->prompt confirmation page:confirmation page-->confirmation page:delete the path and answers-->delete the path and answers:path and location information,delete a path,TRAN_NA,9,2,6,8,54
16,stl#administrator:school list page-->administrator:school list page-->school list page:load path list form db-->load path list form db:path db,delete a path,TRAN_NA,4,1,5.333333333333333,3,21.333333333333332
17,stl#administrator:school list page-->administrator:school list page-->school list page:load path list form db-->load path list form db:school informaiton,delete a path,TRAN_NA,4,0,5.666666666666667,3,22.666666666666668
18,stl#administrator:school list page-->administrator:school list page-->school list page:load path list form db-->load path list form db:display error message for same name and address-->display error message for same name and address:path list-->path list:check related answers under paths-->check related answers under paths:path and location information,delete a path,TRAN_NA,7,1,4.833333333333333,6,33.83333333333333
19,stl#administrator:school list page-->administrator:school list page-->school list page:load path list form db-->load path list form db:display error message for same name and address-->display error message for same name and address:path list-->path list:check related answers under paths-->check related answers under paths:school informaiton,delete a path,TRAN_NA,7,1,4.833333333333333,6,33.83333333333333
20,stl#administrator:school list page-->administrator:school list page-->school list page:load path list form db-->load path list form db:display error message for same name and address-->display error message for same name and address:path list-->path list:check related answers under paths-->check related answers under paths:prompt confirmation page-->prompt confirmation page:confirmation page-->confirmation page:delete the path and answers-->delete the path and answers:success message,delete a path,TRAN_NA,10,2,5.111111111111111,9,51.11111111111111
21,stl#administrator:school list page-->administrator:school list page-->school list page:load path list form db-->load path list form db:display error message for same name and address-->display error message for same name and address:path list-->path list:check related answers under paths-->check related answers under paths:prompt confirmation page-->prompt confirmation page:confirmation page-->confirmation page:delete the path and answers-->delete the path and answers:no answer under path message,delete a path,TRAN_NA,10,2,5.111111111111111,9,51.11111111111111
22,stl#administrator:school list page-->administrator:school list page-->school list page:load path list form db-->load path list form db:display error message for same name and address-->display error message for same name and address:path list-->path list:check related answers under paths-->check related answers under paths:prompt confirmation page-->prompt confirmation page:confirmation page-->confirmation page:delete the path and answers-->delete the path and answers:path and location information,delete a path,TRAN_NA,10,2,5.444444444444445,9,54.44444444444444
