id,element,attributeNum,operationNum,instanceVarNum,externalOperNum,parameterNum,weightedOperNum,numberOfDerivedClasses,numberOfChildren,numberOfClassesInherited,depthInheritanceTree,numberOfDerivingClasses,isTopLevelClass,numberOfClassesInheritedFrom,numberOfInheritanceRelationships,numberOfAssociatedClasses,numberOfAssociatingClasses,numberOfAssociationRelationships,numberOfUsedClasses,numberOfUsingClasses,numberOfUsageRelationships,couplingBetweenObjects
1,updatesurveyindb,0,3,0,0,0,0.8999999999999999,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
2,User,0,2,0,0,0,0.6,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
3,Object1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
4,questionlist,0,11,0,0,0,3.2999999999999994,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
5,successmessage,0,7,0,0,0,2.1,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
6,mapofselectedpaths,0,6,0,0,0,1.8,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
7,mapview,0,1,0,0,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
8,executefeaturenaanddisplaycategories,0,7,0,0,0,2.1,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
9,quitwithoutsavingbutton,0,2,0,0,0,0.6,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
10,answerstorage,0,6,0,0,0,1.8,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
