id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,administrator:survey import page-->survey import page:retrieve survey detail-->retrieve survey detail:prompt error message-->prompt error message:error message,Import a survey from survey monkey,4,0,4,0,0
2,administrator:survey import page-->survey import page:retrieve survey detail-->retrieve survey detail:survey monkey,Import a survey from survey monkey,3,0,3,0,0
3,administrator:error message,Import a survey from survey monkey,1,0,1,0,0
4,administrator:survey list page-->survey list page:retrieve the survey detail-->retrieve the survey detail:check survey and insert to data to database-->check survey and insert to data to database:survey import page-->survey import page:retrieve survey detail-->retrieve survey detail:prompt error message-->prompt error message:error message,Import a survey from survey monkey,7,0,7,0,0
5,administrator:survey list page-->survey list page:retrieve the survey detail-->retrieve the survey detail:check survey and insert to data to database-->check survey and insert to data to database:survey import page-->survey import page:retrieve survey detail-->retrieve survey detail:survey monkey,Import a survey from survey monkey,6,0,6,0,0
6,administrator:survey list page-->survey list page:retrieve the survey detail-->retrieve the survey detail:check survey and insert to data to database-->check survey and insert to data to database:survey database,Import a survey from survey monkey,4,0,4,0,0
7,administrator:survey list page-->survey list page:retrieve the survey detail-->retrieve the survey detail:check survey and insert to data to database-->check survey and insert to data to database:survey monkey,Import a survey from survey monkey,4,0,4,0,0
8,administrator:survey list page-->survey list page:retrieve the survey detail-->retrieve the survey detail:survey detail,Import a survey from survey monkey,3,0,3,0,0
9,administrator:logout button-->logout button:logout user-->logout user:redirect to HKZ login page,Logout,3,2,0,1,0
10,administrator:redirect to HKZ login page,Logout,1,1,0,0,0
11,administrator:question list,Navigate in the category list,1,1,0,0,0
12,administrator:question,Navigate in the category list,1,1,0,0,0
13,administrator:question category list-->question category list:display a quesiton list of selected question type-->display a quesiton list of selected question type:display question list-->display question list:answer,Navigate in the category list,4,3,0,1,0
14,administrator:question category list-->question category list:display a quesiton list of selected question type-->display a quesiton list of selected question type:display question list-->display question list:display question-->display question:question,Navigate in the category list,5,5,0,0,0
15,administrator:question category list-->question category list:display a quesiton list of selected question type-->display a quesiton list of selected question type:display question list-->display question list:display question-->display question:question list,Navigate in the category list,5,5,0,0,0
16,administrator:question category list-->question category list:display a quesiton list of selected question type-->display a quesiton list of selected question type:display question list-->display question list:question list,Navigate in the category list,4,4,0,0,0
17,administrator:question category list-->question category list:display a quesiton list of selected question type-->display a quesiton list of selected question type:question list,Navigate in the category list,3,3,0,0,0
18,administrator:shcool list-->shcool list:display path list-->display path list:display survey list and question list-->display survey list and question list:survey list,Navigate in the category list,4,4,0,0,0
19,administrator:shcool list-->shcool list:display path list-->display path list:path list,Navigate in the category list,3,3,0,0,0
20,administrator:shcool list-->shcool list:display path list-->display path list:survey list,Navigate in the category list,3,3,0,0,0
21,administrator:survey list,Navigate in the category list,1,1,0,0,0
22,administrator:path list,Navigate in the category list,1,1,0,0,0
23,administrator:new survey button-->new survey button:retrive school path and survey-->retrive school path and survey:display school list-->display school list:shcool list-->shcool list:display path list-->display path list:display survey list and question list-->display survey list and question list:survey list,Navigate in the category list,7,4,3,0,0
24,administrator:new survey button-->new survey button:retrive school path and survey-->retrive school path and survey:display school list-->display school list:shcool list-->shcool list:display path list-->display path list:path list,Navigate in the category list,6,3,3,0,0
25,administrator:new survey button-->new survey button:retrive school path and survey-->retrive school path and survey:display school list-->display school list:shcool list-->shcool list:display path list-->display path list:survey list,Navigate in the category list,6,3,3,0,0
26,administrator:new survey button-->new survey button:retrive school path and survey-->retrive school path and survey:survey list,Navigate in the category list,3,1,2,0,0
27,administrator:success message,add a school by name or address,1,1,0,0,0
28,administrator:same school and name message,add a school by name or address,1,1,0,0,0
29,administrator:school list page-->school list page:retrieve school information from db-->retrieve school information from db:display error message for same name and address-->display error message for same name and address:same school and name message,add a school by name or address,4,2,2,0,0
30,administrator:school list page-->school list page:retrieve school information from db-->retrieve school information from db:insert the school and address-->insert the school and address:school informaiton,add a school by name or address,4,0,4,0,0
