id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:no site information-->User:no site information,Get Directions,CTRL,2,0,5,1,10
2,stl#User:map with directions to site-->User:map with directions to site,Get Directions,CTRL;EXTCLL;INT,2,0,7,1,14
3,stl#User:"direction" button-->User:"direction" button-->"direction" button:Display the map with directions-->Display the map with directions:directions,Get Directions,TRAN_NA,4,1,4.333333333333333,3,17.333333333333332
4,stl#User:"direction" button-->User:"direction" button-->"direction" button:Display the map with directions-->Display the map with directions:no site information,Get Directions,TRAN_NA,4,0,4.333333333333333,3,17.333333333333332
5,stl#User:"direction" button-->User:"direction" button-->"direction" button:Display the map with directions-->Display the map with directions:Display a map with with selection form for transportation-->Display a map with with selection form for transportation:map with selection form for transportation-->map with selection form for transportation:display map with directions to specific location-->display map with directions to specific location:map with directions to site,Get Directions,TRAN_NA,7,2,4.166666666666667,6,29.166666666666668
6,stl#User:"direction" button-->User:"direction" button-->"direction" button:Display the map with directions-->Display the map with directions:Display a map with with selection form for transportation-->Display a map with with selection form for transportation:map with selection form for transportation-->map with selection form for transportation:display map with directions to specific location-->display map with directions to specific location:directions,Get Directions,TRAN_NA,7,2,3.8333333333333335,6,26.833333333333336
7,stl#User:"direction" button-->User:"direction" button-->"direction" button:Display the map with directions-->Display the map with directions:Display a map with with selection form for transportation-->Display a map with with selection form for transportation:map with directions,Get Directions,TRAN_NA,5,1,4,4,20
8,stl#User:"direction" button-->User:"direction" button-->"direction" button:Display the map with directions-->Display the map with directions:Display a map with with selection form for transportation-->Display a map with with selection form for transportation:directions,Get Directions,TRAN_NA,5,1,3.5,4,17.5
9,stl#User:map with directions-->User:map with directions,Get Directions,CTRL;EXTCLL;INT,2,0,7,1,14
10,stl#User:map with selection form for transportation-->User:map with selection form for transportation-->map with selection form for transportation:display map with directions to specific location-->display map with directions to specific location:map with directions to site,Get Directions,TRAN_NA,4,2,5.333333333333333,3,21.333333333333332
11,stl#User:map with selection form for transportation-->User:map with selection form for transportation-->map with selection form for transportation:display map with directions to specific location-->display map with directions to specific location:directions,Get Directions,TRAN_NA,4,2,4.666666666666667,3,18.666666666666668
