id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:display invalid email format-->User:display invalid email format,Add User,CTRL,2,0,6,1,12
2,stl#User:error lert about confliect-->User:error lert about confliect,Add User,CTRL;EXTCLL;INT,2,0,3,1,6
3,stl#User:success message-->User:success message,Add User,CTRL,2,0,5,1,10
4,stl#User:user management page-->User:user management page-->user management page:display form with text input area-->display form with text input area:user information input page-->user information input page:check usc id exist or not-->check usc id exist or not:display invalid email format,Add User,TRAN_NA,6,1,6,5,36
5,stl#User:user management page-->User:user management page-->user management page:display form with text input area-->display form with text input area:user information input page-->user information input page:check usc id exist or not-->check usc id exist or not:empty announcement form-->empty announcement form:add user into db-->add user into db:error lert about confliect,Add User,TRAN_NA,8,2,5.857142857142857,7,46.857142857142854
6,stl#User:user management page-->User:user management page-->user management page:display form with text input area-->display form with text input area:user information input page-->user information input page:check usc id exist or not-->check usc id exist or not:empty announcement form-->empty announcement form:add user into db-->add user into db:display success message-->display success message:success message,Add User,TRAN_NA,9,2,6,8,54
7,stl#User:user management page-->User:user management page-->user management page:display form with text input area-->display form with text input area:user information input page-->user information input page:check usc id exist or not-->check usc id exist or not:empty announcement form-->empty announcement form:add user into db-->add user into db:display success message-->display success message:direct back to announcement page-->direct back to announcement page:success message,Add User,TRAN_NA,10,3,5.777777777777778,9,57.77777777777778
8,stl#User:user management page-->User:user management page-->user management page:display form with text input area-->display form with text input area:user information input page-->user information input page:check usc id exist or not-->check usc id exist or not:add user into db-->add user into db:error lert about confliect,Add User,TRAN_NA,7,2,6.166666666666667,6,43.16666666666667
9,stl#User:user management page-->User:user management page-->user management page:display form with text input area-->display form with text input area:user information input page-->user information input page:check usc id exist or not-->check usc id exist or not:add user into db-->add user into db:display success message-->display success message:success message,Add User,TRAN_NA,8,2,6.285714285714286,7,50.285714285714285
10,stl#User:user management page-->User:user management page-->user management page:display form with text input area-->display form with text input area:user information input page-->user information input page:check usc id exist or not-->check usc id exist or not:add user into db-->add user into db:display success message-->display success message:direct back to announcement page-->direct back to announcement page:success message,Add User,TRAN_NA,9,3,6,8,54
11,stl#User:user management page-->User:user management page-->user management page:display form with text input area-->display form with text input area:user information input page-->user information input page:check usc id exist or not-->check usc id exist or not:USC ID existing error,Add User,TRAN_NA,6,1,6.8,5,40.8
12,stl#User:user management page-->User:user management page-->user management page:display form with text input area-->display form with text input area:user information input page-->user information input page:check usc id exist or not-->check usc id exist or not:Display usc Id empty error,Add User,TRAN_NA,6,1,6,5,36
13,stl#User:user management page-->User:user management page-->user management page:display form with text input area-->display form with text input area:site list,Add User,TRAN_NA,4,2,6,3,24
14,stl#User:USC ID existing error-->User:USC ID existing error,Add User,CTRL;EXTCLL;INT,2,0,10,1,20
15,stl#User:empty announcement form-->User:empty announcement form-->empty announcement form:add user into db-->add user into db:error lert about confliect,Add User,TRAN_NA,4,1,5.666666666666667,3,22.666666666666668
16,stl#User:empty announcement form-->User:empty announcement form-->empty announcement form:add user into db-->add user into db:display success message-->display success message:success message,Add User,TRAN_NA,5,1,6,4,30
