id,element,useCase,type,component
1,User:error lert about confliect,Add Ammouncement,boundary,errorlertaboutconfliect
2,User:empty announcement form,Add Ammouncement,boundary,emptyannouncementform
3,User:"announcement" link,Add Ammouncement,boundary,emptyannouncementform
4,User:announcement list,Add Ammouncement,boundary,emptyannouncementform
5,User:announcement page,Add Ammouncement,boundary,emptyannouncementform
6,User:site list page,Add Ammouncement,entity,sitelist
7,"announcement" link:display page with announcement list,Add Ammouncement,boundary,emptyannouncementform
8,display page with announcement list:announcement info,Add Ammouncement,boundary,emptyannouncementform
9,announcement list:display site list,Add Ammouncement,entity,sitelist
10,display page with announcement list:announcement list,Add Ammouncement,boundary,emptyannouncementform
11,direct back to announcement page:announcement page,Add Ammouncement,boundary,emptyannouncementform
12,check conflict situation:error lert about confliect,Add Ammouncement,boundary,errorlertaboutconfliect
13,check conflict situation:record the announcement to db,Add Ammouncement,boundary,emptyannouncementform
14,empty announcement form:check conflict situation,Add Ammouncement,boundary,errorlertaboutconfliect
15,record the announcement to db:direct back to announcement page,Add Ammouncement,boundary,emptyannouncementform
16,display an empty form for announcement:empty announcement form,Add Ammouncement,boundary,emptyannouncementform
17,site list page:display an empty form for announcement,Add Ammouncement,boundary,emptyannouncementform
18,display site list:site list page,Add Ammouncement,entity,sitelist
19,display site list:site list,Add Ammouncement,entity,sitelist
20,stl#User:error lert about confliect,Add Ammouncement,Stimulus,undefined
21,stl#User:empty announcement form,Add Ammouncement,Stimulus,undefined
22,stl#User:"announcement" link,Add Ammouncement,Stimulus,undefined
23,stl#User:announcement list,Add Ammouncement,Stimulus,undefined
24,stl#User:announcement page,Add Ammouncement,Stimulus,undefined
25,stl#User:site list page,Add Ammouncement,Stimulus,undefined
26,User:add site page,Add Site,entity,addsiteinformationdb
27,User:site list,Add Site,entity,addsiteinformationdb
28,User:existing site error message,Add Site,entity,addsiteinformationdb
29,User:"sites" link,Add Site,entity,addsiteinformationdb
30,User:success message,Add Site,control,successmessage
31,"sites" link:redirect to a page with the curernt sites list,Add Site,boundary,redirecttoapagewiththecurerntsiteslist
32,add site information db:success message,Add Site,control,successmessage
33,add site information db:site information,Add Site,entity,addsiteinformationdb
34,check existing situation for the new site:add site information db,Add Site,entity,addsiteinformationdb
35,add site page:check existing situation for the new site,Add Site,entity,addsiteinformationdb
36,display the add site info page:add site page,Add Site,entity,addsiteinformationdb
37,check existing situation for the new site:existing site error message,Add Site,control,successmessage
38,display the add site info page:site information,Add Site,entity,addsiteinformationdb
39,site list:display the add site info page,Add Site,entity,addsiteinformationdb
40,redirect to a page with the curernt sites list:site information,Add Site,entity,addsiteinformationdb
41,redirect to a page with the curernt sites list:site list,Add Site,boundary,redirecttoapagewiththecurerntsiteslist
42,stl#User:add site page,Add Site,Stimulus,undefined
43,stl#User:site list,Add Site,Stimulus,undefined
44,stl#User:existing site error message,Add Site,Stimulus,undefined
45,stl#User:"sites" link,Add Site,Stimulus,undefined
46,stl#User:success message,Add Site,Stimulus,undefined
47,User:"manage user" link,Add User,boundary,adduserintodb
48,User:Display usc Id empty error,Add User,boundary,emptyannouncementform
49,User:user information input page,Add User,boundary,adduserintodb
50,User:empty announcement form,Add User,boundary,emptyannouncementform
51,User:USC ID existing error,Add User,boundary,adduserintodb
52,User:user management page,Add User,boundary,adduserintodb
53,User:success message,Add User,control,successmessage
54,User:error lert about confliect,Add User,boundary,errorlertaboutconfliect
55,User:display invalid email format,Add User,control,displayinvalidemailformat
56,"manage user" link:redirect to a pgage for user management,Add User,boundary,redirecttoapagewiththecurerntsiteslist
57,check usc id exist or not:Display usc Id empty error,Add User,control,displayinvalidemailformat
58,check usc id exist or not:USC ID existing error,Add User,boundary,adduserintodb
59,add user into db:display success message,Add User,control,successmessage
60,add user into db:error lert about confliect,Add User,boundary,errorlertaboutconfliect
61,check usc id exist or not:add user into db,Add User,boundary,adduserintodb
62,empty announcement form:add user into db,Add User,boundary,adduserintodb
63,check usc id exist or not:empty announcement form,Add User,boundary,emptyannouncementform
64,check usc id exist or not:display invalid email format,Add User,control,displayinvalidemailformat
65,user information input page:check usc id exist or not,Add User,entity,checkuscidexistornot
66,direct back to announcement page:success message,Add User,control,successmessage
67,display success message:direct back to announcement page,Add User,boundary,emptyannouncementform
68,display form with text input area:site list,Add User,boundary,redirecttoapagewiththecurerntsiteslist
69,display form with text input area:user information input page,Add User,control,displayinvalidemailformat
70,user management page:display form with text input area,Add User,control,displayinvalidemailformat
71,display success message:success message,Add User,control,successmessage
72,redirect to a pgage for user management:user management,Add User,boundary,adduserintodb
73,redirect to a pgage for user management:user management page,Add User,boundary,adduserintodb
74,stl#User:"manage user" link,Add User,Stimulus,undefined
75,stl#User:Display usc Id empty error,Add User,Stimulus,undefined
76,stl#User:user information input page,Add User,Stimulus,undefined
77,stl#User:empty announcement form,Add User,Stimulus,undefined
78,stl#User:USC ID existing error,Add User,Stimulus,undefined
79,stl#User:user management page,Add User,Stimulus,undefined
80,stl#User:success message,Add User,Stimulus,undefined
81,stl#User:error lert about confliect,Add User,Stimulus,undefined
82,stl#User:display invalid email format,Add User,Stimulus,undefined
83,User:log out message,Browse Volunteer,control,successmessage
84,User:empty table,Browse Volunteer,boundary,emptyannouncementform
85,User:search panal,Browse Volunteer,boundary,searchpanal
86,User:logout button,Browse Volunteer,boundary,logoutbutton
