id,operation,element
1,volunteer,volunteer
2,showtableofvolunteerbasedoncriteria,volunteer
3,errorlertaboutconfliect,errorlertaboutconfliect
4,checkconflictsituation,errorlertaboutconfliect
5,mapwithselectionformfortransportation,errorlertaboutconfliect
6,emptyannouncementform,emptyannouncementform
7,displaypagewithannouncementlist,emptyannouncementform
8,DisplayuscIdemptyerror,emptyannouncementform
9,emptytable,emptyannouncementform
10,failurecheckinannouncement,emptyannouncementform
11,savetherevisedannouncmentinfo,emptyannouncementform
12,studentinfo,emptyannouncementform
13,usermanagement,emptyannouncementform
14,documents,emptyannouncementform
15,successmessage,successmessage
16,existingsiteerrormessage,successmessage
17,Displayapagewithmessages,successmessage
18,norecordmessage,successmessage
19,addsuccessinformation,successmessage
20,filedescirptionpage,successmessage
21,redirecttoapagewiththecurerntsiteslist,redirecttoapagewiththecurerntsiteslist
22,sitelist,redirecttoapagewiththecurerntsiteslist
23,redirecttoapgageforusermanagement,redirecttoapagewiththecurerntsiteslist
24,Openanewpagewithalistofsites,redirecttoapagewiththecurerntsiteslist
25,comparethecurrentlocationandsitelocation,redirecttoapagewiththecurerntsiteslist
26,siteslink,redirecttoapagewiththecurerntsiteslist
27,siteinformationeditionpage,redirecttoapagewiththecurerntsiteslist
28,selectdirectoryandfilenamedialog,redirecttoapagewiththecurerntsiteslist
29,recordsofthestudentpage,redirecttoapagewiththecurerntsiteslist
30,popouttheframetoasksuertochoosedirectoryandfilename,redirecttoapagewiththecurerntsiteslist
31,mapwithdirections,redirecttoapagewiththecurerntsiteslist
32,redirecttospecificindexpage,redirecttoapagewiththecurerntsiteslist
33,linktodorniferegistrationsystemforgetpassword,redirecttoapagewiththecurerntsiteslist
34,listofdocumentpage,redirecttoapagewiththecurerntsiteslist
35,Verifytheexistenceofdocuments,redirecttoapagewiththecurerntsiteslist
36,myschedulepage,redirecttoapagewiththecurerntsiteslist
37,displayinvalidemailformat,displayinvalidemailformat
38,DisplayuscIdemptyerror,displayinvalidemailformat
39,userinformationinputpage,displayinvalidemailformat
40,displayformwithtextinputarea,displayinvalidemailformat
41,confirmationdeletiondialog,displayinvalidemailformat
42,displayconfirmatiomessage,displayinvalidemailformat
43,displaythespecificsiteinformaitonform,displayinvalidemailformat
44,Displayamapwithwithselectionformfortransportation,displayinvalidemailformat
45,invalidformatdocumentmessage,displayinvalidemailformat
46,displayapagethatcontentsaformforuploadingdocuments,displayinvalidemailformat
47,displaydocumentdetailpage,displayinvalidemailformat
48,Displaymyschedulepagewithscheduleinformation,displayinvalidemailformat
49,checkuscidexistornot,checkuscidexistornot
50,checkintabinthemaintab,checkuscidexistornot
51,checkexistingsituationforthenewsite,checkuscidexistornot
52,USCIDexistingerror,checkuscidexistornot
53,showtherecordofthestudent,checkuscidexistornot
54,specificindexpage,checkuscidexistornot
55,checkusersroleindb,checkuscidexistornot
56,localstorage,checkuscidexistornot
57,nonexistencealert,checkuscidexistornot
58,checktheexistenceschedule,checkuscidexistornot
59,schedule,checkuscidexistornot
60,searchpanal,searchpanal
61,usermanagementpage,searchpanal
62,searchwithcriteriapanel,searchpanal
63,logoutbutton,logoutbutton
64,logtheuserout,logoutbutton
65,manageuserbutton,logoutbutton
66,directionbutton,logoutbutton
67,loginpage,logoutbutton
68,ddd,ddd
69,viewlink,viewlink
70,MyDocumentslink,viewlink
71,Myschedulelink,viewlink
72,addstudentinfo,addstudentinfo
73,displaystudentspage,addstudentinfo
74,recordsofthestudentpage,addstudentinfo
75,downloaddocumentstolocalmachine,addstudentinfo
