id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#Weight loser:redirect to login page-->Weight loser:redirect to login page,Login,2,0,1,0,0
2,stl#Weight loser:credential already exist-->Weight loser:credential already exist,Login,2,0,1,0,0
3,stl#Weight loser:Home page-->Weight loser:Home page,Login,2,1,0,0,0
4,stl#Weight loser:exceed the time limite-->Weight loser:exceed the time limite,Login,2,0,1,0,0
5,stl#Weight loser:"URL expired" message-->Weight loser:"URL expired" message,Login,2,1,0,0,0
6,stl#Weight loser:invlid pattern-->Weight loser:invlid pattern,Login,2,1,0,0,0
7,stl#Weight loser:login page-->Weight loser:login page-->login page:check email and password valid-->check email and password valid:invlid pattern,Login,4,2,0,0,1
8,stl#Weight loser:login page-->Weight loser:login page-->login page:check email and password valid-->check email and password valid:check time limit-->check time limit:check if supplied credentials exist-->check if supplied credentials exist:user info,Login,6,2,2,0,1
9,stl#Weight loser:login page-->Weight loser:login page-->login page:check email and password valid-->check email and password valid:check time limit-->check time limit:check if supplied credentials exist-->check if supplied credentials exist:redirect the user to homepage-->redirect the user to homepage:Home page,Login,7,2,3,0,1
10,stl#Weight loser:login page-->Weight loser:login page-->login page:check email and password valid-->check email and password valid:check time limit-->check time limit:check if supplied credentials exist-->check if supplied credentials exist:credential already exist,Login,6,1,3,0,1
11,stl#Weight loser:login page-->Weight loser:login page-->login page:check email and password valid-->check email and password valid:check time limit-->check time limit:exceed the time limite,Login,5,1,2,0,1
12,stl#Weight loser:login page-->Weight loser:login page-->login page:check email and password valid-->check email and password valid:check time limit-->check time limit:user info,Login,5,2,1,0,1
13,stl#Weight loser:login page-->Weight loser:login page-->login page:check email and password valid-->check email and password valid:check time limit-->check time limit:goal,Login,5,1,1,1,1
14,stl#Weight loser:login page-->Weight loser:login page-->login page:check email and password valid-->check email and password valid:user info,Login,4,2,0,0,1
15,stl#Weight loser:login page-->Weight loser:login page-->login page:redirect to forgot password page-->redirect to forgot password page:generate a url with random token-->generate a url with random token:forgot password page-->forgot password page:check url validity-->check url validity:"URL expired" message,Login,7,4,2,0,0
16,stl#Weight loser:login page-->Weight loser:login page-->login page:redirect to forgot password page-->redirect to forgot password page:generate a url with random token-->generate a url with random token:forgot password page-->forgot password page:check url validity-->check url validity:email doesn't exist,Login,7,3,2,0,1
17,stl#Weight loser:login page-->Weight loser:login page-->login page:redirect to forgot password page-->redirect to forgot password page:generate a url with random token-->generate a url with random token:forgot password page-->forgot password page:check url validity-->check url validity:redirect to new password page-->redirect to new password page:new password page-->new password page:check if password matches-->check if password matches:update the user's password-->update the user's password:redirect to login page,Login,11,5,5,0,0
18,stl#Weight loser:login page-->Weight loser:login page-->login page:redirect to forgot password page-->redirect to forgot password page:generate a url with random token-->generate a url with random token:forgot password page-->forgot password page:check url validity-->check url validity:redirect to new password page-->redirect to new password page:new password page-->new password page:check if password matches-->check if password matches:update the user's password-->update the user's password:user info,Login,11,6,4,0,0
19,stl#Weight loser:login page-->Weight loser:login page-->login page:redirect to forgot password page-->redirect to forgot password page:generate a url with random token-->generate a url with random token:forgot password page-->forgot password page:check url validity-->check url validity:redirect to new password page-->redirect to new password page:new password page-->new password page:check if password matches-->check if password matches:user info,Login,10,6,3,0,0
20,stl#Weight loser:login page-->Weight loser:login page-->login page:redirect to forgot password page-->redirect to forgot password page:generate a url with random token-->generate a url with random token:forgot password page-->forgot password page:check url validity-->check url validity:redirect to new password page-->redirect to new password page:new password page-->new password page:check if password matches-->check if password matches:redirect to login page,Login,10,5,4,0,0
21,stl#Weight loser:login page-->Weight loser:login page-->login page:redirect to forgot password page-->redirect to forgot password page:generate a url with random token-->generate a url with random token:forgot password page-->forgot password page:check url validity-->check url validity:user info,Login,7,4,2,0,0
22,stl#Weight loser:new password page-->Weight loser:new password page-->new password page:check if password matches-->check if password matches:update the user's password-->update the user's password:redirect to login page,Login,5,2,2,0,0
