id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#Weight loser:invalid error message-->Weight loser:invalid error message,Login via facebook,CTRL;EXTCLL;INT,2,0,3,1,6
2,stl#Weight loser:login facebook button-->Weight loser:login facebook button-->login facebook button:get information from facebook-->get information from facebook:facebook,Login via facebook,TRAN_NA,4,1,6,3,24
3,stl#Weight loser:login facebook button-->Weight loser:login facebook button-->login facebook button:get information from facebook-->get information from facebook:check if response contains user inform-->check if response contains user inform:invalid error message,Login via facebook,TRAN_NA,5,1,5.25,4,26.25
4,stl#Weight loser:login facebook button-->Weight loser:login facebook button-->login facebook button:get information from facebook-->get information from facebook:check if response contains user inform-->check if response contains user inform:add user into the system if not registered-->add user into the system if not registered:user,Login via facebook,TRAN_NA,6,2,4.2,5,25.200000000000003
5,stl#Weight loser:login facebook button-->Weight loser:login facebook button-->login facebook button:get information from facebook-->get information from facebook:check if response contains user inform-->check if response contains user inform:add user into the system if not registered-->add user into the system if not registered:redirect to homepage-->redirect to homepage:goal,Login via facebook,TRAN_NA,7,3,3.6666666666666665,6,25.666666666666664
6,stl#Weight loser:login facebook button-->Weight loser:login facebook button-->login facebook button:get information from facebook-->get information from facebook:check if response contains user inform-->check if response contains user inform:add user into the system if not registered-->add user into the system if not registered:redirect to homepage-->redirect to homepage:display success message,Login via facebook,TRAN_NA,7,2,4.166666666666667,6,29.166666666666668
7,stl#Weight loser:login facebook button-->Weight loser:login facebook button-->login facebook button:get information from facebook-->get information from facebook:add new weight page-->add new weight page:check if response contains user inform-->check if response contains user inform:invalid error message,Login via facebook,TRAN_NA,6,2,5,5,30
8,stl#Weight loser:login facebook button-->Weight loser:login facebook button-->login facebook button:get information from facebook-->get information from facebook:add new weight page-->add new weight page:check if response contains user inform-->check if response contains user inform:add user into the system if not registered-->add user into the system if not registered:user,Login via facebook,TRAN_NA,7,3,4.166666666666667,6,29.166666666666668
9,stl#Weight loser:login facebook button-->Weight loser:login facebook button-->login facebook button:get information from facebook-->get information from facebook:add new weight page-->add new weight page:check if response contains user inform-->check if response contains user inform:add user into the system if not registered-->add user into the system if not registered:redirect to homepage-->redirect to homepage:goal,Login via facebook,TRAN_NA,8,4,3.7142857142857144,7,29.714285714285715
10,stl#Weight loser:login facebook button-->Weight loser:login facebook button-->login facebook button:get information from facebook-->get information from facebook:add new weight page-->add new weight page:check if response contains user inform-->check if response contains user inform:add user into the system if not registered-->add user into the system if not registered:redirect to homepage-->redirect to homepage:display success message,Login via facebook,TRAN_NA,8,3,4.142857142857143,7,33.142857142857146
11,stl#Weight loser:display success message-->Weight loser:display success message,Login via facebook,CTRL;EXTCLL;INT,2,0,4,1,8
12,stl#Weight loser:add new weight page-->Weight loser:add new weight page-->add new weight page:check if response contains user inform-->check if response contains user inform:invalid error message,Login via facebook,TRAN_NA,4,0,4.333333333333333,3,17.333333333333332
13,stl#Weight loser:add new weight page-->Weight loser:add new weight page-->add new weight page:check if response contains user inform-->check if response contains user inform:add user into the system if not registered-->add user into the system if not registered:user,Login via facebook,TRAN_NA,5,1,3.25,4,16.25
14,stl#Weight loser:add new weight page-->Weight loser:add new weight page-->add new weight page:check if response contains user inform-->check if response contains user inform:add user into the system if not registered-->add user into the system if not registered:redirect to homepage-->redirect to homepage:goal,Login via facebook,TRAN_NA,6,2,2.8,5,16.799999999999997
15,stl#Weight loser:add new weight page-->Weight loser:add new weight page-->add new weight page:check if response contains user inform-->check if response contains user inform:add user into the system if not registered-->add user into the system if not registered:redirect to homepage-->redirect to homepage:display success message,Login via facebook,TRAN_NA,6,1,3.4,5,20.4
