id,element,attributeNum,operationNum,instanceVarNum,externalOperNum,parameterNum,weightedOperNum,numberOfDerivedClasses,numberOfChildren,numberOfClassesInherited,depthInheritanceTree,numberOfDerivingClasses,isTopLevelClass,numberOfClassesInheritedFrom,numberOfInheritanceRelationships,numberOfAssociatedClasses,numberOfAssociatingClasses,numberOfAssociationRelationships,numberOfUsedClasses,numberOfUsingClasses,numberOfUsageRelationships,couplingBetweenObjects
1,weight,0,4,0,0,0,1.2,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
2,Theweightloseraddonesponsorsuccessfullymessage,0,10,0,0,0,2.9999999999999996,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
3,redirecttheusertocreatgoalpage,0,13,0,0,0,3.899999999999999,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
4,invokeaddcharityusecase,0,9,0,0,0,2.6999999999999997,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
5,errorinaccessfacebookinformation,0,15,0,0,0,4.499999999999999,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
6,emailprototocol,0,4,0,0,0,1.2,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
7,Homepage,0,7,0,0,0,2.1,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
8,exceedthetimelimite,0,3,0,0,0,0.8999999999999999,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
9,invlidpattern,0,4,0,0,0,1.2,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
10,goal,0,6,0,0,0,1.8,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
11,updatethebenchmark,0,1,0,0,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
