id,element,useCase,type,component
1,User:File selector,Loading the executable file,control,File
2,User:Compiling success message,Loading the executable file,control,Compilingprogressbar
3,User:Load button,Loading the executable file,boundary,Buildbutton
4,display file selector:WinAVR,Loading the executable file,actor,WinAVR
5,Display compiling message:Compiling success message,Loading the executable file,control,Compilingprogressbar
6,Load program to microcontroller:Display compiling message,Loading the executable file,control,Compilingprogressbar
7,File selector:File,Loading the executable file,control,File
8,File selector:Load program to microcontroller,Loading the executable file,control,parametersetdialog
9,display file selector:File selector,Loading the executable file,control,File
10,Load button:display file selector,Loading the executable file,control,File
11,stl#User:File selector,Loading the executable file,Stimulus,undefined
12,stl#User:Compiling success message,Loading the executable file,Stimulus,undefined
13,stl#User:Load button,Loading the executable file,Stimulus,undefined
