id, function, functional, DET, FTR, boundaries, controls, entities, typeStr
1,User:Build button-->Build button:compile C/C++-->compile C/C++:WinAVR,EQ,2,3,1,1,1,boundary->control->actor
2,User:Build button-->Build button:compile C/C++-->compile C/C++:Compiling success message,EI,2,3,1,2,0,boundary->control->control
3,User:Build button-->Build button:compile C/C++-->compile C/C++:Compiling progress bar,EI,1,3,1,2,0,boundary->control->control
4,User:Compiling success message,EQ,1,1,0,1,0,control
5,User:Compiling progress bar,EQ,0,1,0,1,0,control
6,User:navigation instruction create panel-->navigation instruction create panel:display the dragged and dropped navigation instructions-->display the dragged and dropped navigation instructions:popup parameter change dialog-->popup parameter change dialog:parameter set dialog-->parameter set dialog:change the parameters of the elements-->change the parameters of the elements:save parameters-->save parameters:instructions,EI,2,7,0,4,3,entity->entity->control->control->control->control->entity
7,User:navigation instruction create panel-->navigation instruction create panel:display the dragged and dropped navigation instructions-->display the dragged and dropped navigation instructions:popup parameter change dialog-->popup parameter change dialog:parameter set dialog-->parameter set dialog:change the parameters of the elements-->change the parameters of the elements:save parameters-->save parameters:Program is updated message,EO,2,7,0,5,2,entity->entity->control->control->control->control->control
8,User:Program is updated message,EQ,0,1,0,1,0,control
9,User:parameter set dialog-->parameter set dialog:change the parameters of the elements-->change the parameters of the elements:save parameters-->save parameters:instructions,EI,0,4,0,3,1,control->control->control->entity
10,User:parameter set dialog-->parameter set dialog:change the parameters of the elements-->change the parameters of the elements:save parameters-->save parameters:Program is updated message,EQ,0,4,0,4,0,control->control->control->control
11,User:parameter set dialog-->parameter set dialog:change the parameters of the elements-->change the parameters of the elements:save parameters-->save parameters:light,EI,1,4,0,3,1,control->control->control->entity
12,User:light instruction create panel-->light instruction create panel:display the dragged and dropped instructions-->display the dragged and dropped instructions:popup parameter change dialog-->popup parameter change dialog:parameter set dialog-->parameter set dialog:change the parameters of the elements-->change the parameters of the elements:save parameters-->save parameters:light,EI,2,7,0,4,3,entity->entity->control->control->control->control->entity
13,User:light instruction create panel-->light instruction create panel:display the dragged and dropped instructions-->display the dragged and dropped instructions:popup parameter change dialog-->popup parameter change dialog:parameter set dialog-->parameter set dialog:change the parameters of the elements-->change the parameters of the elements:save parameters-->save parameters:Program is updated message,EO,1,7,0,5,2,entity->entity->control->control->control->control->control
14,User:parameter set dialog-->parameter set dialog:change the parameters of the elements-->change the parameters of the elements:save parameters-->save parameters:sensor,EI,1,4,0,3,1,control->control->control->entity
15,User:sensor instruction create panel-->sensor instruction create panel:display the dragged and dropped instructions-->display the dragged and dropped instructions:popup parameter change dialog-->popup parameter change dialog:parameter set dialog-->parameter set dialog:change the parameters of the elements-->change the parameters of the elements:save parameters-->save parameters:sensor,EI,2,7,0,4,3,entity->entity->control->control->control->control->entity
16,User:sensor instruction create panel-->sensor instruction create panel:display the dragged and dropped instructions-->display the dragged and dropped instructions:popup parameter change dialog-->popup parameter change dialog:parameter set dialog-->parameter set dialog:change the parameters of the elements-->change the parameters of the elements:save parameters-->save parameters:Program is updated message,EO,1,7,0,5,2,entity->entity->control->control->control->control->control
17,User:parameter set dialog-->parameter set dialog:change the parameters of the elements-->change the parameters of the elements:save parameters-->save parameters:sound,EI,1,4,0,3,1,control->control->control->entity
18,User:sound instruction create panel-->sound instruction create panel:display the dragged and dropped instructions-->display the dragged and dropped instructions:popup parameter change dialog-->popup parameter change dialog:parameter set dialog-->parameter set dialog:change the parameters of the elements-->change the parameters of the elements:save parameters-->save parameters:sound,EI,2,7,0,4,3,entity->entity->control->control->control->control->entity
19,User:sound instruction create panel-->sound instruction create panel:display the dragged and dropped instructions-->display the dragged and dropped instructions:popup parameter change dialog-->popup parameter change dialog:parameter set dialog-->parameter set dialog:change the parameters of the elements-->change the parameters of the elements:save parameters-->save parameters:Program is updated message,EO,1,7,0,5,2,entity->entity->control->control->control->control->control
20,User:demo is saved message,EQ,0,1,1,0,0,boundary
21,User:demo selector-->demo selector:save demo instructions-->save demo instructions:demo is saved message,EQ,0,3,3,0,0,boundary->boundary->boundary
22,User:demo selector-->demo selector:save demo instructions-->save demo instructions:demo,EQ,1,3,3,0,0,boundary->boundary->boundary
23,User:demo selector-->demo selector:change the parameters of the elements-->change the parameters of the elements:save demo instructions-->save demo instructions:demo is saved message,EQ,1,4,3,1,0,boundary->control->boundary->boundary
24,User:demo selector-->demo selector:change the parameters of the elements-->change the parameters of the elements:save demo instructions-->save demo instructions:demo,EQ,2,4,3,1,0,boundary->control->boundary->boundary
25,User:demo instruction create panel-->demo instruction create panel:display the dragged and dropped demo instructions-->display the dragged and dropped demo instructions:popup demo change dialog-->popup demo change dialog:demo selector-->demo selector:save demo instructions-->save demo instructions:demo is saved message,EQ,2,6,5,1,0,boundary->boundary->control->boundary->boundary->boundary
26,User:demo instruction create panel-->demo instruction create panel:display the dragged and dropped demo instructions-->display the dragged and dropped demo instructions:popup demo change dialog-->popup demo change dialog:demo selector-->demo selector:save demo instructions-->save demo instructions:demo,EQ,3,6,5,1,0,boundary->boundary->control->boundary->boundary->boundary
27,User:demo instruction create panel-->demo instruction create panel:display the dragged and dropped demo instructions-->display the dragged and dropped demo instructions:popup demo change dialog-->popup demo change dialog:demo selector-->demo selector:change the parameters of the elements-->change the parameters of the elements:save demo instructions-->save demo instructions:demo is saved message,EQ,3,7,5,2,0,boundary->boundary->control->boundary->control->boundary->boundary
28,User:demo instruction create panel-->demo instruction create panel:display the dragged and dropped demo instructions-->display the dragged and dropped demo instructions:popup demo change dialog-->popup demo change dialog:demo selector-->demo selector:change the parameters of the elements-->change the parameters of the elements:save demo instructions-->save demo instructions:demo,EQ,4,7,5,2,0,boundary->boundary->control->boundary->control->boundary->boundary
29,User:Load button-->Load button:display file selector-->display file selector:WinAVR,EQ,2,3,1,1,1,boundary->control->actor
30,User:Load button-->Load button:display file selector-->display file selector:File selector-->File selector:Load program to microcontroller-->Load program to microcontroller:Display compiling message-->Display compiling message:Compiling success message,EI,3,6,1,5,0,boundary->control->control->control->control->control
31,User:Load button-->Load button:display file selector-->display file selector:File selector-->File selector:File,EI,1,4,1,3,0,boundary->control->control->control
32,User:File selector-->File selector:Load program to microcontroller-->Load program to microcontroller:Display compiling message-->Display compiling message:Compiling success message,EQ,2,4,0,4,0,control->control->control->control
33,User:File selector-->File selector:File,EQ,0,2,0,2,0,control->control
34,User:open file button-->open file button:display file selector-->display file selector:File selector-->File selector:open file-->open file:file,EI,2,5,1,0,4,boundary->entity->entity->entity->entity
35,User:File selector-->File selector:open file-->open file:file,EQ,0,3,0,0,3,entity->entity->entity
36,User:New file button-->New file button:create new file-->create new file:popup parameter change dialog-->popup parameter change dialog:open file button-->open file button:display file selector-->display file selector:File selector-->File selector:open file-->open file:file,EQ,3,8,3,1,4,boundary->boundary->control->boundary->entity->entity->entity->entity
37,User:New file button-->New file button:create new file-->create new file:file,EI,2,3,2,0,1,boundary->boundary->entity
38,User:File save success,EQ,0,1,0,1,0,control
39,User:Save file button-->Save file button:popup file information save dialog-->popup file information save dialog:file information input page-->file information input page:validate filename-->validate filename:save file-->save file:file,EQ,3,6,2,4,0,boundary->control->boundary->control->control->control
40,User:Save file button-->Save file button:popup file information save dialog-->popup file information save dialog:file information input page-->file information input page:validate filename-->validate filename:File save success,EQ,1,5,2,3,0,boundary->control->boundary->control->control
41,User:file information input page-->file information input page:validate filename-->validate filename:save file-->save file:file,EI,2,4,1,3,0,boundary->control->control->control
